genes,logFC,logCPM,PValue,FDR,Annotation
LOC105181150,-7.270863725,6.688209599,8.11E-80,1.03E-75,uncharacterized protein LOC105181150
LOC112588788,-7.650281193,6.912250941,2.02E-75,1.28E-71,glutamyl aminopeptidase-like isoform X2
LOC105190357,-8.1451749,6.179354117,1.27E-73,4.11E-70,flexible cuticle protein 12
LOC112588046,-7.267648269,6.906078044,1.30E-73,4.11E-70,uncharacterized protein LOC112588046
LOC105181077,-7.77763734,6.610510812,9.27E-73,2.35E-69,uncharacterized protein LOC105181077
LOC105188829,-7.408760835,8.518168481,2.10E-71,4.43E-68,uncharacterized protein LOC105188829
LOC105181146,-5.415907126,6.583421293,2.97E-70,5.37E-67,uncharacterized protein LOC105181146 isoform X1
LOC105181759,-6.815820565,7.020883176,2.06E-69,3.26E-66,mitochondrial amidoxime reducing component 2-like
LOC105190303,-7.644785153,6.165243858,1.20E-68,1.69E-65,elongation of very long chain fatty acids protein AAEL008004
LOC109503713,-6.738009258,6.365102593,5.95E-67,7.53E-64,mitochondrial amidoxime reducing component 2-like isoform X1
LOC105188812,-6.70162822,7.449581491,5.78E-66,6.65E-63,aminopeptidase N
LOC105188671,-8.984087114,6.010238254,4.61E-65,4.86E-62,uncharacterized protein LOC105188671
LOC105181189,-6.648951798,6.650648758,8.98E-65,8.74E-62,uncharacterized protein LOC105181189
LOC105189153,-7.099323041,6.838829924,4.65E-63,4.20E-60,uncharacterized protein LOC105189153 isoform X1
LOC112588781,-5.619262058,6.82316432,5.47E-62,4.61E-59,thyrotropin-releasing hormone-degrading ectoenzyme-like isoform X2
LOC109503712,-8.140990137,7.517583422,1.02E-60,8.04E-58,mitochondrial amidoxime-reducing component 1-like isoform X1
LOC105191573,-7.054869095,8.130981353,1.11E-60,8.28E-58,arylsulfatase B isoform X1
LOC105188815,-6.116189055,7.798329811,7.10E-60,4.99E-57,uncharacterized protein LOC105188815
LOC105187559,-4.883817058,6.929679085,2.19E-59,1.46E-56,pancreatic triacylglycerol lipase isoform X2
LOC105180903,-7.382012043,8.498178758,4.14E-58,2.62E-55,aminopeptidase N
LOC105186970,-7.413596093,5.699733432,4.66E-58,2.81E-55,uncharacterized protein LOC105186970
LOC105191249,-6.64231527,5.551817345,5.04E-58,2.90E-55,uncharacterized protein LOC105191249
LOC105181151,-6.658854175,7.096916824,1.17E-57,6.44E-55,uncharacterized protein LOC105181151
LOC105191881,-7.169525278,5.83201151,1.68E-56,8.85E-54,histidine decarboxylase
LOC105182442,-7.330843776,7.193119931,2.36E-53,1.19E-50,ejaculatory bulb-specific protein 3
LOC105182345,-6.735630803,6.016276633,1.61E-52,7.85E-50,uncharacterized protein LOC105182345
LOC105189997,-7.95926952,7.925139051,4.24E-52,1.99E-49,uncharacterized protein LOC105189997
LOC112588075,-7.702956505,5.691249387,5.03E-52,2.27E-49,uncharacterized protein LOC112588075
LOC105181766,-7.218682378,5.820027744,7.58E-52,3.31E-49,mitochondrial amidoxime reducing component 2
LOC105190883,-5.806011362,5.516878621,2.07E-51,8.74E-49,uncharacterized protein LOC105190883
LOC105189706,-6.126116423,5.771974251,2.50E-51,1.02E-48,insulin-degrading enzyme-like isoform X1
LOC109504543,-6.496253465,6.258251021,5.31E-51,2.10E-48,aminopeptidase Ey-like
LOC105187403,-7.708604422,5.515356382,2.12E-50,8.12E-48,uncharacterized protein LOC105187403
LOC105190727,-7.006032292,5.221000016,3.10E-50,1.15E-47,selenocysteine methyltransferase
LOC105181752,-6.434491747,6.366116472,5.79E-50,2.09E-47,mitochondrial amidoxime reducing component 2 isoform X1
LOC105181750,-6.964072674,5.453568818,8.96E-50,3.15E-47,uncharacterized protein LOC105181750 isoform X1
LOC105188858,-7.137679039,5.397797946,2.21E-49,7.57E-47,zinc finger Y-chromosomal protein
LOC105182906,-8.000362384,10.21708301,2.67E-49,8.88E-47,chymotrypsin-2 isoform X1
LOC105184038,-4.618708901,6.449068057,3.89E-49,1.26E-46,glutamyl aminopeptidase
LOC105184427,-4.927620392,6.366271033,3.40E-48,1.08E-45,piwi-like protein Siwi
LOC105189162,-5.583936544,5.454189753,3.83E-48,1.18E-45,uncharacterized protein LOC105189162
LOC105184778,-7.770720857,5.420273302,7.84E-48,2.36E-45,uncharacterized protein LOC105184778
