genes,logFC,logCPM,PValue,FDR,Annotation
LOC105183918,-6.5875325,6.98018856,1.78E-101,2.25E-97,uncharacterized protein LOC105183918 isoform X1
LOC105189590,-8.0457633,8.57222671,3.94E-101,2.49E-97,uncharacterized protein LOC105189590
LOC105189997,-8.361734,7.92534688,3.21E-93,1.35E-89,uncharacterized protein LOC105189997
LOC112588046,-8.8874843,6.90337423,5.28E-90,1.67E-86,uncharacterized protein LOC112588046
LOC105181759,-7.4192427,7.02005379,2.04E-86,5.17E-83,mitochondrial amidoxime reducing component 2-like
LOC105181602,-8.6338304,7.82687142,7.85E-84,1.66E-80,uncharacterized protein LOC105181602
LOC109503713,-7.5011355,6.36526799,2.44E-83,4.40E-80,mitochondrial amidoxime reducing component 2-like isoform X1
LOC105181150,-6.4617322,6.69586816,8.42E-83,1.33E-79,uncharacterized protein LOC105181150
LOC105180903,-8.0862873,8.49551772,2.78E-82,3.90E-79,aminopeptidase N
LOC105190303,-8.9733804,6.16670845,1.25E-81,1.58E-78,elongation of very long chain fatty acids protein AAEL008004
LOC109503712,-8.5396929,7.5180055,1.86E-81,2.14E-78,mitochondrial amidoxime-reducing component 1-like isoform X1
LOC105182906,-9.1818355,10.214543,1.57E-80,1.65E-77,chymotrypsin-2 isoform X1
LOC105181257,-8.5269644,15.0800827,2.00E-79,1.95E-76,uncharacterized protein LOC105181257 isoform X3
LOC112588788,-7.083508,6.91716162,5.25E-78,4.75E-75,glutamyl aminopeptidase-like isoform X2
LOC105185605,-6.4633107,7.81175051,1.11E-72,9.37E-70,cylicin-2
LOC105188671,-13.176104,6.01179585,2.94E-72,2.33E-69,uncharacterized protein LOC105188671
LOC105188812,-7.5894084,7.44632305,1.06E-71,7.88E-69,aminopeptidase N
LOC105191573,-7.1282783,8.13131374,1.28E-67,8.96E-65,arylsulfatase B isoform X1
LOC105181189,-6.4296765,6.65283688,1.73E-64,1.15E-61,uncharacterized protein LOC105181189
LOC105186562,-8.2552636,5.48915675,7.67E-62,4.85E-59,lipase 3
LOC105181754,-8.0793807,5.9095136,3.78E-61,2.28E-58,mitochondrial amidoxime reducing component 2-like
LOC105186640,-7.3038921,8.73016623,7.43E-61,4.27E-58,lipase 3
LOC112588781,-5.6591885,6.82639246,1.48E-60,8.12E-58,thyrotropin-releasing hormone-degrading ectoenzyme-like isoform X2
LOC105182442,-6.6723939,7.19951014,5.23E-60,2.76E-57,ejaculatory bulb-specific protein 3
LOC105189706,-7.4149906,5.76265226,3.54E-59,1.79E-56,insulin-degrading enzyme-like isoform X1
LOC112588075,-9.3716822,5.6942266,2.34E-58,1.14E-55,uncharacterized protein LOC112588075
LOC105187403,-9.2167325,5.51762729,9.05E-58,4.24E-55,uncharacterized protein LOC105187403
LOC105190883,-6.8264099,5.50759942,1.13E-57,5.09E-55,uncharacterized protein LOC105190883
