genes,logFC,logCPM,PValue,FDR,Annotation
LOC105189919,-8.368447892,6.457236113,5.98E-26,4.85E-22,uncharacterized protein LOC105189919
LOC105185161,-9.032705462,7.415662842,7.67E-26,4.85E-22,arylphorin subunit alpha
LOC109504166,-5.403349692,2.71926131,6.85E-21,2.89E-17,uncharacterized protein LOC109504166
LOC105184204,-7.785113453,2.579510023,2.57E-20,8.14E-17,uncharacterized protein LOC105184204
LOC105189488,1.368494054,8.585253626,4.44E-19,1.12E-15,mitogen-activated protein kinase kinase kinase 3
LOC105191388,-4.730864969,2.46074402,7.84E-17,1.65E-13,uncharacterized protein LOC105191388
LOC112588669,-5.659774234,2.943039685,9.25E-17,1.67E-13,uncharacterized protein LOC112588669
LOC109504231,-5.44327913,2.343961018,6.54E-16,1.03E-12,uncharacterized protein LOC109504231 isoform X2
LOC105181726,-4.859540843,14.07645017,1.85E-15,2.60E-12,vitellogenin-like
LOC112589664,2.566787818,5.124603073,6.22E-14,7.87E-11,Krueppel homolog 1-like
LOC105185443,0.986310602,10.17338375,3.33E-13,3.83E-10,voltage-dependent calcium channel type A subunit alpha-1 isoform X8
LOC105187308,1.293351431,6.595418076,7.18E-13,6.78E-10,carboxypeptidase M isoform X1
LOC105191954,2.898264846,5.078861611,7.39E-13,6.78E-10,pro-corazonin
LOC105190004,1.234171198,6.795784059,8.37E-13,6.78E-10,cytochrome P450 9e2
LOC105185653,1.423196873,5.773223195,8.48E-13,6.78E-10,probable nuclear hormone receptor HR38 isoform X5
LOC105181259,-2.610016063,9.591919419,8.57E-13,6.78E-10,uncharacterized protein LOC105181259
LOC105188568,-1.011557735,10.60769325,1.92E-12,1.43E-09,centrosomal protein of 78 kDa
LOC112589399,-4.225713056,5.043574708,6.43E-12,4.52E-09,chymotrypsin inhibitor-like
LOC105192616,2.077267987,6.041681947,1.35E-11,9.01E-09,heparan sulfate glucosamine 3-O-sulfotransferase 5
LOC105189119,1.062684732,7.419727446,1.57E-11,9.92E-09,mediator of RNA polymerase II transcription subunit 15
LOC105180927,1.049622894,9.194450683,2.69E-11,1.62E-08,"calcium/calmodulin-dependent 3\\',5\\'-cyclic nucleotide phosphodiesterase 1 isoform X5"
LOC105189200,2.103712559,4.205552794,3.80E-11,2.19E-08,"dynein heavy chain 2, axonemal"
LOC105184288,1.384617933,5.494766241,1.49E-10,8.01E-08,facilitated trehalose transporter Tret1-2 homolog
LOC105186981,3.600506209,3.213219372,1.52E-10,8.01E-08,cytochrome P450 9e2
LOC105186685,2.613813622,4.62094582,2.71E-10,1.37E-07,somatostatin receptor type 2
LOC105188195,-1.649522936,4.705395741,7.43E-10,3.62E-07,LIRP
LOC105191384,3.988378276,2.798377392,1.19E-09,5.57E-07,venom carboxylesterase-6 isoform X2
LOC105191070,0.895478105,7.549129315,1.71E-09,7.72E-07,E3 ubiquitin-protein ligase CBL-B isoform X2
LOC105185169,1.453084559,5.145822233,2.85E-09,1.24E-06,alkaline phosphatase 4
LOC105185214,-5.393789602,3.307549563,3.12E-09,1.32E-06,venom allergen 2-like
LOC105186942,1.014608832,7.031349206,4.69E-09,1.91E-06,proton channel OtopLc isoform X1
LOC105183446,1.249399533,5.367167715,7.27E-09,2.88E-06,neural/ectodermal development factor IMP-L2 isoform X2
LOC105187714,2.009237241,3.911443492,2.14E-08,8.21E-06,cytochrome P450 9e2-like
LOC109504628,-2.557384681,4.102738502,2.61E-08,9.73E-06,cytochrome P450 6B5-like
LOC112588090,-4.822309907,1.314016422,3.40E-08,1.23E-05,protein ALP1-like
LOC105191523,1.089753737,5.995131725,3.49E-08,1.23E-05,"peptidyl-prolyl cis-trans isomerase, rhodopsin-specific isozyme"
LOC105182903,-6.449389715,2.735149162,3.88E-08,1.33E-05,nose resistant to fluoxetine protein 6
LOC105187464,7.699758182,3.035419926,5.04E-08,1.68E-05,scavenger receptor class B member 1
LOC105187972,1.117498265,6.157794174,5.67E-08,1.84E-05,CAPA peptides-like isoform X2
LOC105182578,-4.938132877,5.886862728,1.35E-07,4.12E-05,cytochrome P450 4g15
LOC105188370,-4.214962485,1.418206874,1.36E-07,4.12E-05,protein FAM76A
LOC105184473,1.33342402,7.751932939,1.37E-07,4.12E-05,acetylcholinesterase
LOC105187611,-2.142986714,8.759204787,1.82E-07,5.35E-05,phosphoenolpyruvate carboxykinase
LOC105188025,1.347356143,5.737774366,2.20E-07,6.33E-05,acetylcholine receptor subunit beta-like 1 isoform X1
LOC105185658,0.90550862,6.682873329,2.32E-07,6.53E-05,4-coumarate--CoA ligase 2
LOC105186141,-1.925433324,3.494559372,2.71E-07,7.46E-05,histone H2B
LOC105180621,-2.3740957,6.732800645,3.06E-07,8.25E-05,endothelin-converting enzyme homolog
LOC105183782,-1.801609901,3.747198609,3.51E-07,9.24E-05,uncharacterized protein LOC105183782 isoform X3
LOC105185904,0.757931409,9.075001196,5.00E-07,0.000129046,DEAD-box ATP-dependent RNA helicase 20 isoform X1
LOC105185395,0.992371344,6.463692542,7.96E-07,0.000201493,facilitated trehalose transporter Tret1
LOC105192254,-2.248803518,3.660568318,8.66E-07,0.000214984,uncharacterized protein LOC105192254 isoform X1
LOC105184175,-1.070404305,5.463115396,9.42E-07,0.000229294,vicilin-like seed storage protein At2g18540
LOC105184411,0.811958238,6.795758561,1.05E-06,0.000250924,proton-coupled amino acid transporter-like protein CG1139
LOC105187788,0.870842279,8.189350693,1.25E-06,0.000292965,uncharacterized protein LOC105187788 isoform X2
LOC105180840,-2.73769327,4.542083965,1.45E-06,0.000333514,kunitz-type serine protease inhibitor HCRG1
LOC105191859,0.966986627,6.198462506,1.51E-06,0.000342091,serine/threonine-protein kinase NLK isoform X1
LOC105185095,0.949656143,8.965608138,1.55E-06,0.000343459,cAMP-dependent protein kinase catalytic subunit
LOC105187298,1.744903644,3.889188493,1.98E-06,0.000429743,Kv channel-interacting protein 1
LOC105192558,0.753574435,7.640676398,2.00E-06,0.000429743,complexin isoform X1
LOC105183350,1.042715436,6.765292481,2.13E-06,0.000449178,zinc finger protein rotund isoform X3
LOC105181586,0.879860904,9.311372575,2.26E-06,0.000469608,neurotrimin isoform X1
LOC105190405,1.064926075,6.383583798,2.44E-06,0.000486497,zinc finger protein 395
LOC105189790,1.431773165,4.487006362,2.45E-06,0.000486497,uncharacterized protein LOC105189790
LOC105185529,-1.954812658,3.369030389,2.46E-06,0.000486497,methyltransferase-like protein 7A
LOC105187830,1.375847775,4.980202576,2.71E-06,0.000527172,SIFamide-related peptide
LOC105185160,-4.878413878,7.860455676,2.89E-06,0.000553421,hexamerin
LOC105184194,0.997075716,5.764073469,2.96E-06,0.000559288,putative uncharacterized protein DDB_G0274435
LOC105190577,1.596147934,6.772388564,3.06E-06,0.00056568,DNA fragmentation factor subunit alpha
LOC105190517,-4.398181649,3.470519868,3.08E-06,0.00056568,uncharacterized protein LOC105190517
LOC105185090,4.611080591,2.698737388,3.15E-06,0.000570018,uncharacterized protein LOC105185090
LOC105189872,-2.614755266,3.138357883,4.10E-06,0.000730765,uncharacterized protein LOC105189872 isoform X2
LOC112588043,1.90343407,3.129018922,4.24E-06,0.000745216,uncharacterized protein LOC112588043 isoform X2
LOC105185172,0.732494258,6.889686935,4.42E-06,0.000766203,solute carrier family 41 member 1 isoform X2
LOC105181138,2.062425872,3.49897835,4.49E-06,0.000768054,uncharacterized protein LOC105181138 isoform X2
LOC105185545,0.820843301,6.56413338,4.72E-06,0.0007964,"dipeptidase 1, partial"
LOC112589038,-1.93396135,2.898946155,5.38E-06,0.000895139,uncharacterized protein LOC112589038
LOC112589384,-6.332406269,1.387552628,5.63E-06,0.000925737,uncharacterized protein LOC112589384
LOC109503618,1.144095602,6.483925262,5.91E-06,0.000951355,sex determination protein fruitless-like
LOC105186083,1.976066593,5.299686656,5.94E-06,0.000951355,glucose dehydrogenase
LOC105183823,-6.029202294,1.172198634,6.05E-06,0.000956457,cytochrome P450 4C1
LOC105182732,0.766864068,7.285425842,6.74E-06,0.001053005,dopamine receptor 1 isoform X1
LOC105188755,-0.719909363,6.911766894,7.63E-06,0.001177694,replication factor C subunit 1
LOC105183133,0.950615098,5.5320734,8.78E-06,0.001332077,corticotropin-releasing factor-binding protein
LOC105192578,0.648867219,9.15351199,8.84E-06,0.001332077,myocyte-specific enhancer factor 2 isoform X2
LOC105182028,0.721116696,7.550442233,9.44E-06,0.001404921,uncharacterized protein LOC105182028 isoform X1
LOC112589526,3.689244922,2.664785305,9.86E-06,0.001451348,glucose dehydrogenase
LOC105187187,3.679245621,2.650529674,1.00E-05,0.001457657,ornithine decarboxylase isoform X1
LOC105186969,2.781253032,3.267563732,1.02E-05,0.001465006,insulin-like growth factor I isoform X1
LOC112588226,1.568387169,4.262493357,1.26E-05,0.001795351,zinc finger protein 628-like
LOC105183526,2.966206914,2.69337026,1.59E-05,0.002234725,glucose dehydrogenase
LOC105182798,0.906719331,8.928674665,1.62E-05,0.002255484,uncharacterized protein LOC105182798 isoform X1
LOC105180521,0.699638174,7.048673813,1.66E-05,0.002282071,feline leukemia virus subgroup C receptor-related protein 2
LOC105183313,0.808660812,6.601070256,1.81E-05,0.002460394,uncharacterized protein LOC105183313
LOC105189766,0.730318167,6.237281661,1.94E-05,0.002614436,uncharacterized protein LOC105189766 isoform X2
LOC105185567,0.763684237,6.374607328,2.11E-05,0.002810211,GTP-binding protein RAD
LOC105184066,0.577710446,11.05928459,2.25E-05,0.002964786,neurobeachin isoform X1
LOC105188827,1.490400834,3.662225472,2.30E-05,0.003002787,leucine-rich repeat-containing protein 58
LOC105185811,-1.776057569,5.148042382,2.54E-05,0.003280708,probable cytochrome P450 6a13
LOC105191639,1.159588898,5.832942395,2.66E-05,0.003386544,cadherin-87A
LOC105182155,0.971160422,5.294867294,2.68E-05,0.003386544,mucin-19
LOC105189530,1.17822748,5.957810003,2.71E-05,0.003396751,facilitated trehalose transporter Tret1 isoform X1
LOC105182836,-3.339169477,3.229273138,2.94E-05,0.00364375,ABC transporter G family member 23 isoform X1
LOC105186983,1.039137433,7.311211802,3.06E-05,0.003760317,cytochrome P450 9e2-like
LOC112589573,3.350727141,1.581267334,3.20E-05,0.003895464,uncharacterized protein LOC112589573
LOC105188434,3.795412829,3.774194437,3.26E-05,0.003932584,pheromone-binding protein Gp-9-like
LOC105192480,3.077821759,1.792624513,3.57E-05,0.00419832,uncharacterized protein LOC105192480
LOC105183346,-2.348504408,3.91027711,3.57E-05,0.00419832,uncharacterized protein LOC105183346
LOC105182773,0.665035334,9.079788355,3.58E-05,0.00419832,uncharacterized protein LOC105182773 isoform X1
LOC105187122,0.98830086,4.955060505,3.83E-05,0.00438859,photoreceptor-specific nuclear receptor isoform X2
LOC105183532,2.809168523,2.352172659,3.84E-05,0.00438859,glucose dehydrogenase
LOC105184868,0.77393893,6.277539378,3.85E-05,0.00438859,uncharacterized protein LOC105184868 isoform X2
LOC112588306,-5.455600648,0.827022011,3.93E-05,0.004439659,protein ALP1-like
LOC105191888,0.829376154,8.232486805,4.11E-05,0.004597315,potassium voltage-gated channel protein Shal isoform X6
LOC105190681,0.7993146,5.892295773,4.14E-05,0.004597315,"alpha-2 adrenergic receptor, partial"
LOC105187398,1.629345794,3.358218804,4.27E-05,0.004702519,"uncharacterized protein LOC105187398, partial"
LOC105189006,0.63770926,7.039737266,4.75E-05,0.005177654,protein phosphatase Slingshot homolog 2
LOC112588479,1.65272381,4.449887896,4.94E-05,0.005309588,proline-rich receptor-like protein kinase PERK9
LOC105185574,1.096172431,7.014113851,4.95E-05,0.005309588,toll-like receptor 6
LOC105191023,1.554331832,6.02331325,4.99E-05,0.005309588,G1/S-specific cyclin-D2
LOC105187561,-0.668398694,6.488632558,5.13E-05,0.005412922,tight junction protein ZO-1 isoform X1
LOC105181891,0.631153804,7.059500909,5.22E-05,0.005463321,neprilysin-4
LOC112590236,0.88438004,6.247196715,5.70E-05,0.005885022,adenylate kinase 7-like
LOC105190572,1.33557107,4.800950969,5.76E-05,0.005885022,LHFPL tetraspan subfamily member 6 protein
LOC105191783,0.699836669,7.401519616,5.77E-05,0.005885022,acetylcholine receptor subunit alpha-like 1
LOC105182095,0.653420865,8.810574933,5.95E-05,0.006023447,glutamate receptor 1
LOC105191387,0.719520841,6.279019871,6.31E-05,0.006340273,"glypican-6, partial"
LOC105184469,0.642137494,6.998490942,6.59E-05,0.006568489,CD151 antigen
LOC105188373,0.739709156,5.803264259,6.65E-05,0.0065752,serine/arginine-rich splicing factor 2 isoform X2
LOC105188010,0.714344708,7.434071308,7.12E-05,0.006988031,attractin isoform X3
LOC105190355,-2.87602184,1.330141533,7.27E-05,0.007078238,uncharacterized protein LOC105190355
LOC105191842,-1.393085845,3.682736715,7.90E-05,0.007628272,cysteine dioxygenase type 1 isoform X1
LOC105184487,1.087676161,5.846340958,7.97E-05,0.007636461,innexin inx2
LOC105191746,0.647406916,8.329422568,8.34E-05,0.007931397,neurofibromin isoform X1
LOC105192378,1.788992617,3.870334173,9.42E-05,0.008891643,venom dipeptidyl peptidase 4 isoform X3
LOC105184629,5.292301988,1.087219213,9.59E-05,0.008940252,uncharacterized protein LOC105184629
LOC105183089,-1.470301582,3.73246445,9.61E-05,0.008940252,uncharacterized protein LOC105183089
