GO.ID	Term	Annotated	Significant	Expected	elimFisher
GO:0007528	neuromuscular junction development	135	94	45.43	1.7e-12
GO:0009987	cellular process	10685	3831	3595.81	1.7e-10
GO:0030154	cell differentiation	1528	789	514.22	1.2e-08
GO:0045944	positive regulation of transcription by RNA polymerase II	85	54	28.6	1.6e-08
GO:0045214	sarcomere organization	38	32	12.79	2.8e-08
GO:0008152	metabolic process	7209	2909	2426.04	3.2e-08
GO:0032268	regulation of cellular protein metabolic process	1213	608	408.21	3.5e-08
GO:0046627	negative regulation of insulin receptor signaling pathway	19	18	6.39	3.9e-08
GO:1901606	alpha-amino acid catabolic process	36	28	12.12	7.2e-08
GO:0018105	peptidyl-serine phosphorylation	63	44	21.2	9.9e-08
GO:0051093	negative regulation of developmental process	307	161	103.31	1.7e-07
GO:0072659	protein localization to plasma membrane	152	101	51.15	2.6e-07
GO:0051491	positive regulation of filopodium assembly	34	26	11.44	3.9e-07
GO:0042325	regulation of phosphorylation	489	268	164.56	4.5e-07
GO:0006895	Golgi to endosome transport	22	19	7.4	4.9e-07
GO:0009063	cellular amino acid catabolic process	49	36	16.49	6e-07
GO:0051241	negative regulation of multicellular organismal process	388	193	130.57	6.1e-07
GO:0071417	cellular response to organonitrogen compound	332	185	111.73	6.4e-07
GO:0018107	peptidyl-threonine phosphorylation	46	32	15.48	6.8e-07
GO:0061024	membrane organization	318	185	107.02	1.2e-06
GO:0032981	mitochondrial respiratory chain complex I assembly	12	12	4.04	2.1e-06
GO:0006734	NADH metabolic process	34	25	11.44	2.3e-06
GO:0042632	cholesterol homeostasis	60	38	20.19	2.4e-06
GO:0009967	positive regulation of signal transduction	558	323	187.78	2.5e-06
GO:0007030	Golgi organization	75	45	25.24	2.5e-06
GO:0032024	positive regulation of insulin secretion	62	41	20.86	3.2e-06
GO:0043525	positive regulation of neuron apoptotic process	29	22	9.76	4e-06
GO:0043170	macromolecule metabolic process	4351	1845	1464.24	4e-06
GO:0060976	coronary vasculature development	22	18	7.4	4.8e-06
GO:0000281	mitotic cytokinesis	75	48	25.24	5.1e-06
GO:0071345	cellular response to cytokine stimulus	342	184	115.09	6.8e-06
GO:1902532	negative regulation of intracellular signal transduction	212	123	71.34	7.1e-06
GO:0090162	establishment of epithelial cell polarity	26	20	8.75	7.8e-06
GO:1903078	positive regulation of protein localization to plasma membrane	19	16	6.39	8.3e-06
GO:0070555	response to interleukin-1	58	36	19.52	8.5e-06
