GO.ID	Term	Annotated	Significant	Expected	elimFisher
GO:0045214	sarcomere organization	56	43	22.46	2.3e-08
GO:0007616	long-term memory	66	48	26.47	7.1e-08
GO:0016203	muscle attachment	45	35	18.04	2.8e-07
GO:0031532	actin cytoskeleton reorganization	47	35	18.85	1.7e-06
GO:0090263	positive regulation of canonical Wnt signaling pathway	62	43	24.86	2.8e-06
GO:0048488	synaptic vesicle endocytosis	55	39	22.05	3.4e-06
GO:0061024	membrane organization	407	216	163.21	5.9e-06
GO:0048010	vascular endothelial growth factor receptor signaling pathway	45	33	18.04	6.1e-06
GO:0071363	cellular response to growth factor stimulus	337	201	135.14	1.1e-05
GO:0009069	serine family amino acid metabolic process	262	148	105.06	1.2e-05
GO:0006869	lipid transport	163	97	65.36	1.6e-05
GO:1903688	positive regulation of border follicle cell migration	24	20	9.62	1.8e-05
GO:0072659	protein localization to plasma membrane	141	89	56.54	2.4e-05
GO:0007274	neuromuscular synaptic transmission	83	52	33.28	2.6e-05
GO:0006099	tricarboxylic acid cycle	38	28	15.24	2.7e-05
GO:0002181	cytoplasmic translation	169	94	67.77	2.8e-05
GO:0042060	wound healing	228	127	91.43	2.9e-05
GO:0048513	animal organ development	2228	1091	893.42	3.5e-05
GO:0045807	positive regulation of endocytosis	60	42	24.06	3.6e-05
GO:0030866	cortical actin cytoskeleton organization	59	39	23.66	4.6e-05
GO:0048813	dendrite morphogenesis	221	124	88.62	4.8e-05
GO:0050796	regulation of insulin secretion	79	55	31.68	5e-05
GO:0007155	cell adhesion	461	269	184.86	5.6e-05
GO:1901739	regulation of myoblast fusion	14	13	5.61	6e-05
GO:0008610	lipid biosynthetic process	486	241	194.88	1e-04
GO:0006103	2-oxoglutarate metabolic process	19	16	7.62	1e-04
GO:0006537	glutamate biosynthetic process	10	10	4.01	0.00011
GO:0030837	negative regulation of actin filament polymerization	24	19	9.62	0.00011
GO:0034394	protein localization to cell surface	24	19	9.62	0.00011
GO:0009888	tissue development	1577	805	632.37	0.00012
GO:0030010	establishment of cell polarity	117	67	46.92	0.00012
GO:0006544	glycine metabolic process	40	28	16.04	0.00012
GO:0016063	rhodopsin biosynthetic process	13	12	5.21	0.00014
GO:1904064	positive regulation of cation transmembrane transport	63	40	25.26	0.00014
GO:0006936	muscle contraction	139	82	55.74	0.00014
GO:0051491	positive regulation of filopodium assembly	26	20	10.43	0.00015
GO:0005977	glycogen metabolic process	83	50	33.28	0.00016
GO:0072337	modified amino acid transport	21	17	8.42	0.00016
GO:0098659	inorganic cation import across plasma membrane	21	17	8.42	0.00016
GO:0006886	intracellular protein transport	526	269	210.92	0.00016
GO:0042632	cholesterol homeostasis	37	26	14.84	0.00019
GO:0030036	actin cytoskeleton organization	399	249	160	0.00019
GO:0030154	cell differentiation	2391	1187	958.78	2e-04
GO:0008582	regulation of synaptic assembly at neuromuscular junction	91	58	36.49	2e-04
GO:0046578	regulation of Ras protein signal transduction	111	69	44.51	2e-04
GO:0007476	imaginal disc-derived wing morphogenesis	260	154	104.26	0.00022
GO:0061343	cell adhesion involved in heart morphogenesis	18	15	7.22	0.00022
GO:0021680	cerebellar Purkinje cell layer development	23	18	9.22	0.00022
GO:0008360	regulation of cell shape	90	53	36.09	0.00023
GO:0030336	negative regulation of cell migration	103	64	41.3	0.00023
GO:0010977	negative regulation of neuron projection development	64	40	25.66	0.00023
GO:0051602	response to electrical stimulus	9	9	3.61	0.00027
GO:0045663	positive regulation of myoblast differentiation	9	9	3.61	0.00027
GO:0007269	neurotransmitter secretion	136	79	54.54	0.00029
GO:0043547	positive regulation of GTPase activity	105	60	42.1	0.00029
