GO.ID	Term	Annotated	Significant	Expected	elimFisher
GO:0045214	sarcomere organization	56	43	21.86	9.1e-09
GO:0007616	long-term memory	66	48	25.76	2.6e-08
GO:0016203	muscle attachment	45	34	17.57	6.6e-07
GO:0031532	actin cytoskeleton reorganization	47	35	18.35	8.2e-07
GO:0090263	positive regulation of canonical Wnt signaling pathway	62	42	24.2	4.2e-06
GO:0009069	serine family amino acid metabolic process	262	147	102.27	4.9e-06
GO:0002181	cytoplasmic translation	169	94	65.97	7.8e-06
GO:0000209	protein polyubiquitination	132	76	51.53	1.1e-05
GO:1903688	positive regulation of border follicle cell migration	24	20	9.37	1.1e-05
GO:0048010	vascular endothelial growth factor receptor signaling pathway	45	32	17.57	1.2e-05
GO:0006099	tricarboxylic acid cycle	38	28	14.83	1.5e-05
GO:0071363	cellular response to growth factor stimulus	337	197	131.55	1.6e-05
GO:0048813	dendrite morphogenesis	221	123	86.27	2.3e-05
GO:1902532	negative regulation of intracellular signal transduction	258	141	100.71	2.8e-05
GO:0007274	neuromuscular synaptic transmission	83	51	32.4	2.8e-05
GO:0048488	synaptic vesicle endocytosis	55	39	21.47	3e-05
GO:0030335	positive regulation of cell migration	194	112	75.73	3.6e-05
GO:0072659	protein localization to plasma membrane	141	88	55.04	3.7e-05
GO:1901739	regulation of myoblast fusion	14	13	5.46	4.3e-05
GO:0006869	lipid transport	163	94	63.63	6.3e-05
GO:0006544	glycine metabolic process	40	28	15.61	6.9e-05
GO:0006103	2-oxoglutarate metabolic process	19	16	7.42	7e-05
GO:0030837	negative regulation of actin filament polymerization	24	19	9.37	7.2e-05
GO:0006886	intracellular protein transport	526	265	205.33	7.6e-05
GO:0006537	glutamate biosynthetic process	10	10	3.9	8.1e-05
GO:0042060	wound healing	228	123	89	8.5e-05
GO:0048513	animal organ development	2228	1059	869.71	8.7e-05
GO:0032956	regulation of actin cytoskeleton organization	167	103	65.19	9.4e-05
