GO.ID	Term	Annotated	Significant	Expected	elimFisher
GO:0035814	negative regulation of renal sodium excretion	28	22	8.59	2.3e-07
GO:0048638	regulation of developmental growth	209	97	64.13	1.1e-06
GO:0010745	negative regulation of macrophage derived foam cell differentiation	19	16	5.83	2.1e-06
GO:0051094	positive regulation of developmental process	472	217	144.84	5.2e-06
GO:0007156	homophilic cell adhesion via plasma membrane adhesion molecules	42	27	12.89	7.1e-06
GO:0018149	peptide cross-linking	20	16	6.14	7.6e-06
GO:0014070	response to organic cyclic compound	642	273	197	8.9e-06
GO:0071260	cellular response to mechanical stimulus	56	33	17.18	1.1e-05
GO:0010872	regulation of cholesterol esterification	15	13	4.6	1.1e-05
GO:0001523	retinoid metabolic process	39	25	11.97	1.7e-05
GO:0051240	positive regulation of multicellular organismal process	512	218	157.11	1.7e-05
GO:1903078	positive regulation of protein localization to plasma membrane	19	15	5.83	2e-05
GO:0048172	regulation of short-term neuronal synaptic plasticity	19	15	5.83	2e-05
GO:0007157	heterophilic cell-cell adhesion via plasma membrane cell adhesion molecules	31	21	9.51	2.3e-05
GO:0019991	septate junction assembly	9	9	2.76	2.4e-05
GO:0055117	regulation of cardiac muscle contraction	38	24	11.66	3.5e-05
GO:0014068	positive regulation of phosphatidylinositol 3-kinase signaling	38	24	11.66	3.5e-05
GO:0006954	inflammatory response	167	84	51.25	4e-05
GO:0045597	positive regulation of cell differentiation	233	112	71.5	5.7e-05
GO:0051093	negative regulation of developmental process	307	149	94.21	6.5e-05
GO:0003002	regionalization	138	64	42.35	7.2e-05
GO:0007417	central nervous system development	260	126	79.78	0.00012
GO:0043052	thermotaxis	25	17	7.67	0.00013
GO:0040012	regulation of locomotion	392	194	120.29	0.00014
GO:0050729	positive regulation of inflammatory response	36	22	11.05	0.00015
GO:0050806	positive regulation of synaptic transmission	104	55	31.91	0.00019
GO:0001558	regulation of cell growth	113	53	34.68	2e-04
GO:0040011	locomotion	899	414	275.87	0.00022
GO:0050766	positive regulation of phagocytosis	30	19	9.21	0.00022
GO:0015718	monocarboxylic acid transport	53	29	16.26	0.00023
GO:0030218	erythrocyte differentiation	46	26	14.12	0.00024
GO:0006898	receptor-mediated endocytosis	141	70	43.27	0.00025
GO:2000811	negative regulation of anoikis	12	10	3.68	0.00025
GO:0051946	regulation of glutamate uptake involved in transmission of nerve impulse	7	7	2.15	0.00026
GO:0010710	regulation of collagen catabolic process	7	7	2.15	0.00026
GO:0055082	cellular chemical homeostasis	338	155	103.72	0.00028
GO:0006468	protein phosphorylation	498	210	152.82	0.00029
GO:0035295	tube development	355	159	108.94	0.00029
GO:1903307	positive regulation of regulated secretory pathway	14	11	4.3	0.00031
GO:0030007	cellular potassium ion homeostasis	14	11	4.3	0.00031
GO:0045989	positive regulation of striated muscle contraction	14	11	4.3	0.00031
GO:0060976	coronary vasculature development	22	15	6.75	0.00032
GO:1902004	positive regulation of amyloid-beta formation	22	15	6.75	0.00032
GO:0030198	extracellular matrix organization	126	62	38.66	0.00032
GO:2000026	regulation of multicellular organismal development	491	216	150.67	0.00033
GO:0017158	regulation of calcium ion-dependent exocytosis	20	14	6.14	0.00034
GO:0032369	negative regulation of lipid transport	18	13	5.52	0.00034
GO:0051899	membrane depolarization	54	29	16.57	0.00035
GO:0044057	regulation of system process	358	182	109.86	0.00037
GO:0007274	neuromuscular synaptic transmission	47	26	14.42	0.00038
GO:0007626	locomotory behavior	167	79	51.25	0.00038
GO:0050906	detection of stimulus involved in sensory perception	31	19	9.51	0.00041
GO:0045216	cell-cell junction organization	125	62	38.36	0.00043
GO:0042325	regulation of phosphorylation	489	199	150.05	0.00046
GO:0043525	positive regulation of neuron apoptotic process	29	18	8.9	0.00047
GO:0048066	developmental pigmentation	90	43	27.62	0.00048
GO:1901509	regulation of endothelial tube morphogenesis	9	8	2.76	0.00051
GO:0014015	positive regulation of gliogenesis	9	8	2.76	0.00051
GO:0051480	regulation of cytosolic calcium ion concentration	95	50	29.15	0.00052
GO:0043051	regulation of pharyngeal pumping	27	17	8.29	0.00053
GO:0090288	negative regulation of cellular response to growth factor stimulus	27	17	8.29	0.00053
