GO.ID	Term	Annotated	Significant	Expected	elimFisher
GO:0007156	homophilic cell adhesion via plasma membrane adhesion molecules	42	27	8.4	4.9e-10
GO:0040011	locomotion	899	350	179.8	1.1e-08
GO:0014068	positive regulation of phosphatidylinositol 3-kinase signaling	38	23	7.6	5.1e-08
GO:1903078	positive regulation of protein localization to plasma membrane	19	15	3.8	5.4e-08
GO:0007157	heterophilic cell-cell adhesion via plasma membrane cell adhesion molecules	31	20	6.2	8.3e-08
GO:0071260	cellular response to mechanical stimulus	56	29	11.2	1.1e-07
GO:0051093	negative regulation of developmental process	307	124	61.4	3.1e-07
GO:0007274	neuromuscular synaptic transmission	47	25	9.4	4.4e-07
GO:0019991	septate junction assembly	9	9	1.8	5.1e-07
GO:0018107	peptidyl-threonine phosphorylation	46	24	9.2	1.2e-06
GO:0045214	sarcomere organization	38	25	7.6	1.7e-06
GO:0014070	response to organic cyclic compound	642	217	128.4	1.9e-06
GO:0050729	positive regulation of inflammatory response	36	20	7.2	2.5e-06
GO:0030007	cellular potassium ion homeostasis	14	11	2.8	4e-06
GO:2000811	negative regulation of anoikis	12	10	2.4	4.5e-06
GO:0048172	regulation of short-term neuronal synaptic plasticity	19	13	3.8	6.4e-06
GO:0010745	negative regulation of macrophage derived foam cell differentiation	19	13	3.8	6.4e-06
GO:0007411	axon guidance	50	24	10	7.9e-06
GO:1904646	cellular response to amyloid-beta	44	22	8.8	8.1e-06
GO:0051241	negative regulation of multicellular organismal process	388	143	77.6	8.3e-06
GO:0007009	plasma membrane organization	66	29	13.2	8.4e-06
GO:0035633	maintenance of blood-brain barrier	22	14	4.4	9.9e-06
GO:0051946	regulation of glutamate uptake involved in transmission of nerve impulse	7	7	1.4	1.3e-05
GO:0010710	regulation of collagen catabolic process	7	7	1.4	1.3e-05
GO:0048646	anatomical structure formation involved in morphogenesis	399	165	79.8	1.6e-05
GO:0048638	regulation of developmental growth	209	79	41.8	1.7e-05
GO:0032331	negative regulation of chondrocyte differentiation	11	9	2.2	1.9e-05
GO:1901509	regulation of endothelial tube morphogenesis	9	8	1.8	1.9e-05
GO:0008542	visual learning	43	21	8.6	2.1e-05
GO:0032989	cellular component morphogenesis	387	157	77.4	2.4e-05
GO:0007528	neuromuscular junction development	135	57	27	2.4e-05
GO:0042325	regulation of phosphorylation	489	167	97.8	2.8e-05
GO:0043525	positive regulation of neuron apoptotic process	29	16	5.8	2.9e-05
GO:0009967	positive regulation of signal transduction	558	187	111.6	3e-05
GO:0007589	body fluid secretion	47	22	9.4	3.1e-05
GO:0051893	regulation of focal adhesion assembly	37	21	7.4	3.1e-05
GO:0002092	positive regulation of receptor internalization	21	13	4.2	3.2e-05
GO:0002026	regulation of the force of heart contraction	21	13	4.2	3.2e-05
GO:0042060	wound healing	135	54	27	3.2e-05
GO:0043001	Golgi to plasma membrane protein transport	35	18	7	3.3e-05
GO:0051966	regulation of synaptic transmission, glutamatergic	38	19	7.6	3.4e-05
GO:0043627	response to estrogen	98	37	19.6	3.5e-05
GO:0002011	morphogenesis of an epithelial sheet	24	14	4.8	4e-05
GO:0010996	response to auditory stimulus	14	10	2.8	4.5e-05
GO:0043051	regulation of pharyngeal pumping	27	15	5.4	4.7e-05
GO:0046627	negative regulation of insulin receptor signaling pathway	19	12	3.8	4.9e-05
GO:0010715	regulation of extracellular matrix disassembly	19	12	3.8	4.9e-05
GO:0001523	retinoid metabolic process	39	19	7.8	5.3e-05
GO:0008217	regulation of blood pressure	75	30	15	5.3e-05
GO:0051240	positive regulation of multicellular organismal process	512	181	102.4	5.9e-05
GO:2001140	positive regulation of phospholipid transport	6	6	1.2	6.4e-05
GO:0032024	positive regulation of insulin secretion	62	26	12.4	6.4e-05
GO:0050806	positive regulation of synaptic transmission	104	51	20.8	7e-05
GO:0007160	cell-matrix adhesion	77	40	15.4	7.6e-05
GO:0051928	positive regulation of calcium ion transport	37	21	7.4	8e-05
GO:0007188	adenylate cyclase-modulating G protein-coupled receptor signaling pathway	28	15	5.6	8.2e-05
GO:0030167	proteoglycan catabolic process	8	7	1.6	8.4e-05
GO:1902842	negative regulation of netrin-activated signaling pathway	8	7	1.6	8.4e-05
GO:0060298	positive regulation of sarcomere organization	8	7	1.6	8.4e-05
GO:0051491	positive regulation of filopodium assembly	34	17	6.8	8.7e-05
GO:0018105	peptidyl-serine phosphorylation	63	26	12.6	8.9e-05
GO:0007417	central nervous system development	260	110	52	8.9e-05
GO:0007186	G protein-coupled receptor signaling pathway	211	88	42.2	9.8e-05
GO:0044351	macropinocytosis	20	12	4	1e-04
GO:0018149	peptide cross-linking	20	12	4	1e-04
GO:0007229	integrin-mediated signaling pathway	20	12	4	1e-04
GO:0010888	negative regulation of lipid storage	20	12	4	1e-04
GO:0035176	social behavior	60	25	12	1e-04
GO:0045165	cell fate commitment	121	42	24.2	1e-04
GO:0048146	positive regulation of fibroblast proliferation	47	21	9.4	0.00011
GO:0017158	regulation of calcium ion-dependent exocytosis	20	14	4	0.00011
GO:0006468	protein phosphorylation	498	176	99.6	0.00011
GO:0042130	negative regulation of T cell proliferation	15	10	3	0.00011
GO:0042100	B cell proliferation	15	10	3	0.00011
GO:0051047	positive regulation of secretion	237	97	47.4	0.00011
GO:0007215	glutamate receptor signaling pathway	23	13	4.6	0.00012
GO:0062014	negative regulation of small molecule metabolic process	66	32	13.2	0.00012
GO:0006898	receptor-mediated endocytosis	141	63	28.2	0.00012
GO:0070374	positive regulation of ERK1 and ERK2 cascade	38	18	7.6	0.00013
GO:0002683	negative regulation of immune system process	115	52	23	0.00015
GO:0032941	secretion by tissue	13	9	2.6	0.00016
GO:0007628	adult walking behavior	42	19	8.4	0.00019
GO:0055082	cellular chemical homeostasis	338	135	67.6	0.00019
GO:1903532	positive regulation of secretion by cell	205	81	41	0.00019
GO:0050920	regulation of chemotaxis	91	42	18.2	2e-04
GO:0007350	blastoderm segmentation	36	17	7.2	0.00021
GO:0050919	negative chemotaxis	24	13	4.8	0.00021
GO:0045216	cell-cell junction organization	125	56	25	0.00022
GO:0030036	actin cytoskeleton organization	225	94	45	0.00022
GO:0010613	positive regulation of cardiac muscle hypertrophy	33	16	6.6	0.00022
GO:0035270	endocrine system development	30	15	6	0.00023
GO:0033363	secretory granule organization	11	8	2.2	0.00023
GO:0010460	positive regulation of heart rate	11	8	2.2	0.00023
GO:0048854	brain morphogenesis	11	8	2.2	0.00023
GO:0051239	regulation of multicellular organismal process	1150	410	230	0.00025
GO:0072507	divalent inorganic cation homeostasis	161	71	32.2	3e-04
GO:0060042	retina morphogenesis in camera-type eye	29	17	5.8	0.00031
GO:0007631	feeding behavior	96	44	19.2	0.00031
GO:0051092	positive regulation of NF-kappaB transcription factor activity	9	7	1.8	0.00031
GO:0014015	positive regulation of gliogenesis	9	7	1.8	0.00031
GO:0007626	locomotory behavior	167	74	33.4	0.00032
GO:0030900	forebrain development	125	53	25	0.00032
GO:1990504	dense core granule exocytosis	5	5	1	0.00032
GO:0061091	regulation of phospholipid translocation	5	5	1	0.00032
GO:1902362	melanocyte apoptotic process	5	5	1	0.00032
GO:2000182	regulation of progesterone biosynthetic process	5	5	1	0.00032
GO:0090024	negative regulation of neutrophil chemotaxis	5	5	1	0.00032
GO:0048668	collateral sprouting	5	5	1	0.00032
GO:0071206	establishment of protein localization to juxtaparanode region of axon	5	5	1	0.00032
GO:0100001	regulation of skeletal muscle contraction by action potential	5	5	1	0.00032
GO:0090215	regulation of 1-phosphatidylinositol-4-phosphate 5-kinase activity	5	5	1	0.00032
GO:1903779	regulation of cardiac conduction	34	16	6.8	0.00034
GO:1902004	positive regulation of amyloid-beta formation	22	12	4.4	0.00034
GO:0019228	neuronal action potential	22	12	4.4	0.00034
GO:0060291	long-term synaptic potentiation	56	27	11.2	0.00035
GO:0007635	chemosensory behavior	40	21	8	0.00035
GO:0051094	positive regulation of developmental process	472	179	94.4	0.00035
GO:0009593	detection of chemical stimulus	31	15	6.2	0.00036
GO:0050673	epithelial cell proliferation	134	52	26.8	0.00036
GO:2000649	regulation of sodium ion transmembrane transporter activity	25	13	5	0.00036
GO:0045922	negative regulation of fatty acid metabolic process	25	13	5	0.00036
GO:0010754	negative regulation of cGMP-mediated signaling	7	6	1.4	0.00037
GO:0072659	protein localization to plasma membrane	152	68	30.4	0.00037
GO:0043403	skeletal muscle tissue regeneration	14	9	2.8	0.00038
GO:0050905	neuromuscular process	49	24	9.8	0.00038
GO:0010634	positive regulation of epithelial cell migration	102	41	20.4	0.00039
GO:0007173	epidermal growth factor receptor signaling pathway	61	24	12.2	0.00039
GO:0045995	regulation of embryonic development	72	27	14.4	0.00043
GO:0010469	regulation of signaling receptor activity	58	23	11.6	0.00045
GO:0071363	cellular response to growth factor stimulus	227	77	45.4	0.00045
GO:0030593	neutrophil chemotaxis	48	27	9.6	0.00047
GO:0051591	response to cAMP	76	28	15.2	0.00048
GO:0001662	behavioral fear response	17	10	3.4	0.00049
GO:0033700	phospholipid efflux	17	10	3.4	0.00049
GO:0007026	negative regulation of microtubule depolymerization	17	10	3.4	0.00049
GO:0030198	extracellular matrix organization	126	56	25.2	5e-04
GO:0050805	negative regulation of synaptic transmission	84	34	16.8	5e-04
