GO.ID	Term	Annotated	Significant	Expected	elimFisher
GO:0008347	glial cell migration	45	32	15.33	4.1e-07
GO:0008045	motor neuron axon guidance	64	40	21.8	2.9e-06
GO:0060412	ventricular septum morphogenesis	33	24	11.24	6.4e-06
GO:0030336	negative regulation of cell migration	103	60	35.09	6.6e-06
GO:0048598	embryonic morphogenesis	523	245	178.16	1.1e-05
GO:0007200	phospholipase C-activating G protein-coupled receptor signaling pathway	38	26	12.94	1.6e-05
GO:0007474	imaginal disc-derived wing vein specification	40	27	13.63	1.6e-05
GO:0045944	positive regulation of transcription by RNA polymerase II	644	268	219.38	2.1e-05
GO:0000122	negative regulation of transcription by RNA polymerase II	489	209	166.58	2.5e-05
GO:0045214	sarcomere organization	56	34	19.08	3.9e-05
GO:0007632	visual behavior	63	37	21.46	5e-05
GO:0007424	open tracheal system development	244	134	83.12	6e-05
GO:0035001	dorsal trunk growth, open tracheal system	17	14	5.79	6e-05
GO:0007612	learning	115	65	39.18	6.3e-05
GO:0007156	homophilic cell adhesion via plasma membrane adhesion molecules	38	25	12.94	6.3e-05
GO:0050909	sensory perception of taste	38	25	12.94	6.3e-05
GO:0007422	peripheral nervous system development	86	47	29.3	6.6e-05
GO:0006909	phagocytosis	121	65	41.22	7.5e-05
GO:0007399	nervous system development	1689	742	575.37	8.3e-05
GO:0046777	protein autophosphorylation	108	56	36.79	9.8e-05
GO:0016199	axon midline choice point recognition	37	24	12.6	0.00012
GO:0042060	wound healing	228	110	77.67	0.00013
GO:0007494	midgut development	35	23	11.92	0.00013
GO:0007268	chemical synaptic transmission	452	223	153.98	0.00014
GO:0043087	regulation of GTPase activity	245	111	83.46	0.00014
GO:0046673	negative regulation of compound eye retinal cell programmed cell death	8	8	2.73	0.00018
GO:0007605	sensory perception of sound	134	66	45.65	0.00018
GO:0048730	epidermis morphogenesis	18	14	6.13	0.00019
GO:0034333	adherens junction assembly	18	14	6.13	0.00019
GO:0000904	cell morphogenesis involved in differentiation	679	323	231.3	2e-04
GO:0051239	regulation of multicellular organismal process	1313	574	447.28	0.00021
GO:0007476	imaginal disc-derived wing morphogenesis	260	127	88.57	0.00021
GO:0007519	skeletal muscle tissue development	113	57	38.49	0.00022
GO:0003179	heart valve morphogenesis	38	24	12.94	0.00023
GO:0007169	transmembrane receptor protein tyrosine kinase signaling pathway	325	141	110.71	0.00024
GO:0023051	regulation of signaling	1641	716	559.01	0.00024
GO:0007631	feeding behavior	85	45	28.96	0.00025
GO:0009967	positive regulation of signal transduction	643	287	219.04	0.00026
GO:0030514	negative regulation of BMP signaling pathway	30	20	10.22	0.00026
GO:0048596	embryonic camera-type eye morphogenesis	28	19	9.54	0.00027
GO:0045475	locomotor rhythm	58	33	19.76	0.00029
GO:0043473	pigmentation	196	90	66.77	0.00034
GO:0007411	axon guidance	332	167	113.1	4e-04
GO:0030198	extracellular matrix organization	96	49	32.7	0.00042
GO:0097746	blood vessel diameter maintenance	37	23	12.6	0.00043
GO:0021510	spinal cord development	68	37	23.16	0.00043
GO:2000736	regulation of stem cell differentiation	82	43	27.93	0.00045
GO:0072002	Malpighian tubule development	59	33	20.1	0.00045
GO:0071407	cellular response to organic cyclic compound	264	116	89.93	0.00046
GO:0022603	regulation of anatomical structure morphogenesis	441	203	150.23	0.00046
GO:0002052	positive regulation of neuroblast proliferation	35	22	11.92	0.00046
GO:1901700	response to oxygen-containing compound	886	363	301.82	5e-04
GO:0007215	glutamate receptor signaling pathway	30	22	10.22	0.00051
GO:0045467	R7 cell development	29	19	9.88	0.00053
GO:0045608	negative regulation of inner ear auditory receptor cell differentiation	7	7	2.38	0.00053
GO:0051926	negative regulation of calcium ion transport	23	16	7.84	0.00054
GO:0007179	transforming growth factor beta receptor signaling pathway	102	51	34.75	0.00061
GO:0050805	negative regulation of synaptic transmission	53	30	18.05	0.00061
GO:0043588	skin development	122	68	41.56	0.00062
GO:0007601	visual perception	88	45	29.98	0.00068
GO:0030335	positive regulation of cell migration	194	94	66.09	0.00077
GO:0045598	regulation of fat cell differentiation	69	43	23.51	0.00081
GO:0006022	aminoglycan metabolic process	125	60	42.58	0.00082
GO:1903306	negative regulation of regulated secretory pathway	14	11	4.77	0.00084
GO:0051241	negative regulation of multicellular organismal process	483	218	164.54	0.00085
GO:2000027	regulation of animal organ morphogenesis	96	48	32.7	0.00087
GO:0021954	central nervous system neuron development	54	30	18.4	0.00093
GO:0045087	innate immune response	190	90	64.72	0.00097
GO:0048172	regulation of short-term neuronal synaptic plasticity	16	12	5.45	0.00098
GO:0048532	anatomical structure arrangement	16	12	5.45	0.00098
GO:0002385	mucosal immune response	28	18	9.54	0.00103
GO:0016079	synaptic vesicle exocytosis	87	44	29.64	0.00104
GO:0007414	axonal defasciculation	18	13	6.13	0.00107
GO:0031279	regulation of cyclase activity	18	13	6.13	0.00107
GO:0002065	columnar/cuboidal epithelial cell differentiation	85	46	28.96	0.00107
GO:0017143	insecticide metabolic process	26	17	8.86	0.00108
GO:0060122	inner ear receptor cell stereocilium organization	26	17	8.86	0.00108
GO:0046667	compound eye retinal cell programmed cell death	28	22	9.54	0.00109
GO:0043052	thermotaxis	24	16	8.18	0.00111
GO:0042811	pheromone biosynthetic process	20	14	6.81	0.00111
GO:0048252	lauric acid metabolic process	20	14	6.81	0.00111
GO:2001257	regulation of cation channel activity	59	32	20.1	0.00111
GO:1902904	negative regulation of supramolecular fiber organization	59	32	20.1	0.00111
GO:0050872	white fat cell differentiation	22	15	7.49	0.00112
GO:0071689	muscle thin filament assembly	9	8	3.07	0.00113
GO:0097084	vascular associated smooth muscle cell development	9	8	3.07	0.00113
GO:0007015	actin filament organization	222	108	75.63	0.00114
GO:0021537	telencephalon development	192	86	65.41	0.00118
GO:0008407	chaeta morphogenesis	39	23	13.29	0.00123
GO:0035151	regulation of tube size, open tracheal system	64	34	21.8	0.00128
GO:0007219	Notch signaling pathway	208	92	70.86	0.00132
GO:0030036	actin cytoskeleton organization	399	191	135.92	0.00133
GO:0120192	tight junction assembly	76	39	25.89	0.00139
GO:0035567	non-canonical Wnt signaling pathway	55	30	18.74	0.00139
GO:0016331	morphogenesis of embryonic epithelium	198	88	67.45	0.00139
GO:0060326	cell chemotaxis	69	36	23.51	0.00143
GO:0050804	modulation of chemical synaptic transmission	254	129	86.53	0.00147
GO:0018108	peptidyl-tyrosine phosphorylation	94	51	32.02	0.00154
GO:0021555	midbrain-hindbrain boundary morphogenesis	6	6	2.04	0.00156
GO:0007540	sex determination, establishment of X:A ratio	6	6	2.04	0.00156
GO:0007604	phototransduction, UV	6	6	2.04	0.00156
GO:2000974	negative regulation of pro-B cell differentiation	6	6	2.04	0.00156
GO:0008039	synaptic target recognition	44	25	14.99	0.0016
GO:0072089	stem cell proliferation	44	25	14.99	0.0016
GO:0071396	cellular response to lipid	222	97	75.63	0.0016
GO:0071417	cellular response to organonitrogen compound	269	115	91.64	0.00162
GO:0042689	regulation of crystal cell differentiation	11	9	3.75	0.00163
GO:0032148	activation of protein kinase B activity	11	9	3.75	0.00163
GO:0040003	chitin-based cuticle development	113	54	38.49	0.00166
GO:0031175	neuron projection development	772	357	262.99	0.0017
GO:0008016	regulation of heart contraction	105	57	35.77	0.0017
GO:0045995	regulation of embryonic development	89	47	30.32	0.00175
GO:0022408	negative regulation of cell-cell adhesion	65	34	22.14	0.00181
GO:0016055	Wnt signaling pathway	257	124	87.55	0.00181
GO:0043297	apical junction assembly	89	44	30.32	0.00188
GO:0001525	angiogenesis	162	79	55.19	0.00195
GO:0014016	neuroblast differentiation	49	27	16.69	0.00195
GO:0061005	cell differentiation involved in kidney development	40	23	13.63	0.00196
GO:0061337	cardiac conduction	40	23	13.63	0.00196
GO:0007044	cell-substrate junction assembly	40	23	13.63	0.00196
GO:0007419	ventral cord development	40	23	13.63	0.00196
GO:0007526	larval somatic muscle development	40	23	13.63	0.00196
GO:0035025	positive regulation of Rho protein signal transduction	13	10	4.43	0.00198
GO:0046331	lateral inhibition	13	10	4.43	0.00198
GO:0035289	posterior head segmentation	13	10	4.43	0.00198
GO:0007188	adenylate cyclase-modulating G protein-coupled receptor signaling pathway	70	36	23.85	0.00199
GO:0010594	regulation of endothelial cell migration	70	36	23.85	0.00199
GO:0001662	behavioral fear response	27	17	9.2	0.00199
GO:0098609	cell-cell adhesion	265	133	90.27	0.00199
GO:1904064	positive regulation of cation transmembrane transport	63	33	21.46	0.00204
GO:0032870	cellular response to hormone stimulus	289	122	98.45	0.00205
GO:0048585	negative regulation of response to stimulus	745	309	253.79	0.00206
GO:0007435	salivary gland morphogenesis	104	50	35.43	0.00206
GO:0048813	dendrite morphogenesis	221	101	75.28	0.00209
GO:0048047	mating behavior, sex discrimination	25	16	8.52	0.00211
GO:0050919	negative chemotaxis	25	16	8.52	0.00211
GO:0001659	temperature homeostasis	75	38	25.55	0.00214
GO:0050795	regulation of behavior	75	38	25.55	0.00214
GO:0035270	endocrine system development	97	50	33.04	0.00215
GO:0008355	olfactory learning	38	22	12.94	0.00217
GO:0016056	rhodopsin mediated signaling pathway	38	22	12.94	0.00217
GO:0042676	compound eye cone cell fate commitment	15	11	5.11	0.00219
GO:0035160	maintenance of epithelial integrity, open tracheal system	15	11	5.11	0.00219
GO:0030195	negative regulation of blood coagulation	15	11	5.11	0.00219
GO:0036120	cellular response to platelet-derived growth factor stimulus	15	11	5.11	0.00219
GO:0035152	regulation of tube architecture, open tracheal system	114	65	38.83	0.00221
GO:0002053	positive regulation of mesenchymal cell proliferation	23	15	7.84	0.00221
GO:0016477	cell migration	693	327	236.07	0.00222
GO:0030218	erythrocyte differentiation	61	32	20.78	0.00229
GO:0010025	wax biosynthetic process	17	12	5.79	0.0023
