GO.ID	Term	Annotated	Significant	Expected	elimFisher
GO:0030336	negative regulation of cell migration	103	56	24.28	1.2e-11
GO:0007411	axon guidance	332	158	78.25	4.7e-11
GO:0000122	negative regulation of transcription by RNA polymerase II	489	175	115.26	2.6e-10
GO:0045944	positive regulation of transcription by RNA polymerase II	644	214	151.8	4.6e-09
GO:0008045	motor neuron axon guidance	64	36	15.09	1.7e-08
GO:0008347	glial cell migration	45	28	10.61	3.4e-08
GO:0045214	sarcomere organization	56	32	13.2	6.5e-08
GO:0007605	sensory perception of sound	134	59	31.58	1.2e-07
GO:0051241	negative regulation of multicellular organismal process	483	191	113.85	1.2e-07
GO:0007474	imaginal disc-derived wing vein specification	40	25	9.43	1.6e-07
GO:0060412	ventricular septum morphogenesis	33	22	7.78	1.7e-07
GO:0048598	embryonic morphogenesis	523	212	123.27	2e-07
GO:0045475	locomotor rhythm	58	32	13.67	2e-07
GO:0007200	phospholipase C-activating G protein-coupled receptor signaling pathway	38	24	8.96	2.2e-07
GO:0007422	peripheral nervous system development	86	42	20.27	2.6e-07
GO:0007476	imaginal disc-derived wing morphogenesis	260	117	61.28	3e-07
GO:0007519	skeletal muscle tissue development	113	51	26.63	3.4e-07
GO:0030514	negative regulation of BMP signaling pathway	30	20	7.07	6.4e-07
GO:0007498	mesoderm development	147	61	34.65	9.2e-07
GO:0007156	homophilic cell adhesion via plasma membrane adhesion molecules	38	23	8.96	1.2e-06
GO:0007268	chemical synaptic transmission	452	193	106.54	1.7e-06
GO:0048813	dendrite morphogenesis	221	91	52.09	1.9e-06
GO:0008039	synaptic target recognition	44	25	10.37	2.1e-06
GO:0007399	nervous system development	1689	622	398.11	4.6e-06
GO:0022603	regulation of anatomical structure morphogenesis	441	183	103.95	4.6e-06
GO:0070374	positive regulation of ERK1 and ERK2 cascade	59	30	13.91	4.6e-06
GO:0051050	positive regulation of transport	431	161	101.59	5.4e-06
GO:0030335	positive regulation of cell migration	194	84	45.73	6.8e-06
GO:0001894	tissue homeostasis	132	60	31.11	7e-06
GO:0002011	morphogenesis of an epithelial sheet	52	27	12.26	8.3e-06
GO:0000904	cell morphogenesis involved in differentiation	679	293	160.05	9.1e-06
GO:0046673	negative regulation of compound eye retinal cell programmed cell death	8	8	1.89	9.4e-06
GO:0006909	phagocytosis	121	50	28.52	1e-05
GO:0003007	heart morphogenesis	178	81	41.96	1e-05
GO:0045467	R7 cell development	29	18	6.84	1.1e-05
GO:0008344	adult locomotory behavior	131	57	30.88	1.2e-05
GO:0046777	protein autophosphorylation	108	49	25.46	1.2e-05
GO:0016199	axon midline choice point recognition	37	21	8.72	1.4e-05
GO:0016203	muscle attachment	45	24	10.61	1.5e-05
GO:0007419	ventral cord development	40	22	9.43	1.7e-05
GO:0016079	synaptic vesicle exocytosis	87	41	20.51	1.8e-05
GO:0050919	negative chemotaxis	25	16	5.89	1.9e-05
GO:0007494	midgut development	35	20	8.25	2e-05
GO:0048172	regulation of short-term neuronal synaptic plasticity	16	12	3.77	2e-05
GO:0008355	olfactory learning	38	21	8.96	2.5e-05
GO:0003179	heart valve morphogenesis	38	21	8.96	2.5e-05
GO:0051240	positive regulation of multicellular organismal process	616	217	145.2	2.9e-05
GO:0030036	actin cytoskeleton organization	399	167	94.05	2.9e-05
GO:0007613	memory	136	57	32.06	3.6e-05
GO:0048667	cell morphogenesis involved in neuron differentiation	602	258	141.9	3.7e-05
GO:0009967	positive regulation of signal transduction	643	240	151.56	3.9e-05
GO:0007298	border follicle cell migration	104	43	24.51	4e-05
GO:0007157	heterophilic cell-cell adhesion via plasma membrane cell adhesion molecules	19	13	4.48	4.2e-05
GO:0051239	regulation of multicellular organismal process	1313	478	309.48	4.7e-05
GO:0007274	neuromuscular synaptic transmission	83	36	19.56	5e-05
GO:2000243	positive regulation of reproductive process	74	33	17.44	5.3e-05
GO:0035001	dorsal trunk growth, open tracheal system	17	12	4.01	5.3e-05
GO:0009880	embryonic pattern specification	203	84	47.85	6.3e-05
GO:0035160	maintenance of epithelial integrity, open tracheal system	15	11	3.54	6.4e-05
GO:0071689	muscle thin filament assembly	9	8	2.12	6.7e-05
GO:0098609	cell-cell adhesion	265	118	62.46	6.8e-05
GO:0035176	social behavior	27	16	6.36	7.4e-05
GO:0032148	activation of protein kinase B activity	11	9	2.59	7.6e-05
GO:0043087	regulation of GTPase activity	245	94	57.75	7.7e-05
GO:0040003	chitin-based cuticle development	113	45	26.63	8e-05
GO:0002052	positive regulation of neuroblast proliferation	35	19	8.25	8.3e-05
GO:0042060	wound healing	228	90	53.74	8.3e-05
GO:0043473	pigmentation	196	75	46.2	9.5e-05
GO:0008585	female gonad development	69	34	16.26	1e-04
GO:0007179	transforming growth factor beta receptor signaling pathway	102	44	24.04	0.00011
GO:0007219	Notch signaling pathway	208	82	49.03	0.00012
GO:0048645	animal organ formation	86	36	20.27	0.00012
GO:0002762	negative regulation of myeloid leukocyte differentiation	18	12	4.24	0.00012
GO:0019991	septate junction assembly	47	23	11.08	0.00013
GO:0007367	segment polarity determination	28	16	6.6	0.00014
GO:0048596	embryonic camera-type eye morphogenesis	28	16	6.6	0.00014
GO:0045766	positive regulation of angiogenesis	53	25	12.49	0.00014
GO:0002053	positive regulation of mesenchymal cell proliferation	23	14	5.42	0.00014
GO:0016319	mushroom body development	68	30	16.03	0.00014
GO:0035019	somatic stem cell population maintenance	59	27	13.91	0.00015
GO:2001257	regulation of cation channel activity	59	27	13.91	0.00015
GO:0007169	transmembrane receptor protein tyrosine kinase signaling pathway	325	125	76.6	0.00015
GO:0006936	muscle contraction	139	59	32.76	0.00016
GO:0003002	regionalization	569	209	134.12	0.00016
GO:0051897	positive regulation of protein kinase B signaling	31	17	7.31	0.00017
GO:0030111	regulation of Wnt signaling pathway	182	74	42.9	0.00017
GO:0007604	phototransduction, UV	6	6	1.41	0.00017
GO:0007507	heart development	373	155	87.92	0.00017
GO:0030198	extracellular matrix organization	96	47	22.63	0.00018
GO:0002064	epithelial cell development	387	144	91.22	0.00019
GO:0018105	peptidyl-serine phosphorylation	122	51	28.76	2e-04
GO:0031290	retinal ganglion cell axon guidance	14	10	3.3	2e-04
GO:0045087	innate immune response	190	71	44.78	2e-04
GO:0048546	digestive tract morphogenesis	92	40	21.69	0.00022
GO:0030010	establishment of cell polarity	117	51	27.58	0.00022
GO:0050909	sensory perception of taste	38	22	8.96	0.00023
GO:0001745	compound eye morphogenesis	290	126	68.36	0.00023
GO:0007386	compartment pattern specification	12	9	2.83	0.00024
GO:0007418	ventral midline development	12	9	2.83	0.00024
GO:0048790	maintenance of presynaptic active zone structure	8	7	1.89	0.00025
GO:0014032	neural crest cell development	43	21	10.14	0.00026
GO:0002684	positive regulation of immune system process	257	93	60.58	0.00026
GO:0043153	entrainment of circadian clock by photoperiod	19	12	4.48	0.00026
GO:0045198	establishment of epithelial cell apical/basal polarity	19	12	4.48	0.00026
GO:0050922	negative regulation of chemotaxis	19	12	4.48	0.00026
GO:0032870	cellular response to hormone stimulus	289	100	68.12	0.00026
GO:0021794	thalamus development	10	8	2.36	0.00027
GO:0045599	negative regulation of fat cell differentiation	24	14	5.66	0.00027
GO:0007612	learning	115	61	27.11	0.00027
GO:0042127	regulation of cell population proliferation	755	257	177.96	0.00027
GO:0045995	regulation of embryonic development	89	40	20.98	0.00027
GO:0060326	cell chemotaxis	69	33	16.26	0.00027
GO:0072002	Malpighian tubule development	59	29	13.91	0.00028
GO:0021987	cerebral cortex development	89	36	20.98	0.00028
GO:0007517	muscle organ development	278	123	65.53	0.00028
GO:0035265	organ growth	151	59	35.59	3e-04
GO:0071396	cellular response to lipid	222	75	52.33	0.00031
GO:0050804	modulation of chemical synaptic transmission	254	111	59.87	0.00031
GO:0031018	endocrine pancreas development	45	25	10.61	0.00032
GO:0001662	behavioral fear response	27	15	6.36	0.00033
GO:0060441	epithelial tube branching involved in lung morphogenesis	27	15	6.36	0.00033
GO:0060071	Wnt signaling pathway, planar cell polarity pathway	38	19	8.96	0.00034
GO:0050795	regulation of behavior	75	36	17.68	0.00035
GO:0046326	positive regulation of glucose import	17	11	4.01	0.00036
GO:0048169	regulation of long-term neuronal synaptic plasticity	17	11	4.01	0.00036
GO:0048103	somatic stem cell division	17	11	4.01	0.00036
GO:0035277	spiracle morphogenesis, open tracheal system	22	13	5.19	0.00037
GO:0060291	long-term synaptic potentiation	22	13	5.19	0.00037
GO:0000165	MAPK cascade	306	115	72.13	0.00037
