GO.ID	Term	Annotated	Significant	Expected	elimFisher
GO:0046701	insecticide catabolic process	55	7	0.6	2.2e-06
GO:0019233	sensory perception of pain	50	6	0.55	1.7e-05
GO:0040040	thermosensory behavior	51	6	0.56	1.9e-05
GO:0008364	pupal chitin-based cuticle development	17	4	0.19	3e-05
GO:0042053	regulation of dopamine metabolic process	14	3	0.15	0.00043
GO:0070989	oxidative demethylation	36	4	0.4	0.00063
GO:0010815	bradykinin catabolic process	17	3	0.19	0.00079
GO:0021510	spinal cord development	17	3	0.19	0.00079
GO:0017085	response to insecticide	74	10	0.81	0.00081
GO:0090326	positive regulation of locomotion involved in locomotory behavior	18	3	0.2	0.00094
GO:1901385	regulation of voltage-gated calcium channel activity	18	3	0.2	0.00094
GO:0031150	sorocarp stalk development	18	3	0.2	0.00094
GO:0001919	regulation of receptor recycling	18	3	0.2	0.00094
GO:0045762	positive regulation of adenylate cyclase activity	5	2	0.05	0.00117
GO:0008542	visual learning	43	4	0.47	0.00124
GO:0071277	cellular response to calcium ion	45	4	0.49	0.00147
GO:0051447	negative regulation of meiotic cell cycle	22	3	0.24	0.00172
GO:0097011	cellular response to granulocyte macrophage colony-stimulating factor stimulus	6	2	0.07	0.00175
GO:0046680	response to DDT	23	3	0.25	0.00196
GO:0009605	response to external stimulus	1114	28	12.24	0.00206
GO:0051050	positive regulation of transport	552	16	6.07	0.00213
GO:2000249	regulation of actin cytoskeleton reorganization	24	3	0.26	0.00222
GO:0033197	response to vitamin E	7	2	0.08	0.00243
GO:1900271	regulation of long-term synaptic potentiation	25	3	0.27	0.0025
GO:0045471	response to ethanol	130	6	1.43	0.00309
GO:0045859	regulation of protein kinase activity	131	6	1.44	0.00321
GO:0043950	positive regulation of cAMP-mediated signaling	8	2	0.09	0.00322
GO:0014055	acetylcholine secretion, neurotransmission	8	2	0.09	0.00322
GO:0050792	regulation of viral process	56	4	0.62	0.00329
GO:0048511	rhythmic process	177	7	1.95	0.00338
GO:0007188	adenylate cyclase-modulating G protein-coupled receptor signaling pathway	28	3	0.31	0.00348
GO:0043113	receptor clustering	58	4	0.64	0.00374
GO:0090257	regulation of muscle system process	171	9	1.88	0.00376
GO:0051791	medium-chain fatty acid metabolic process	9	2	0.1	0.0041
GO:0090119	vesicle-mediated cholesterol transport	9	2	0.1	0.0041
GO:2000292	regulation of defecation	9	2	0.1	0.0041
GO:1903669	positive regulation of chemorepellent activity	9	2	0.1	0.0041
GO:0007610	behavior	541	23	5.95	0.00411
GO:0035249	synaptic transmission, glutamatergic	61	4	0.67	0.00449
GO:1901216	positive regulation of neuron death	62	4	0.68	0.00476
GO:0010814	substance P catabolic process	10	2	0.11	0.00509
GO:0010816	calcitonin catabolic process	10	2	0.11	0.00509
GO:0046449	creatinine metabolic process	10	2	0.11	0.00509
GO:0009822	alkaloid catabolic process	32	3	0.35	0.0051
GO:0019432	triglyceride biosynthetic process	32	3	0.35	0.0051
GO:0010613	positive regulation of cardiac muscle hypertrophy	33	3	0.36	0.00557
GO:0006907	pinocytosis	33	3	0.36	0.00557
GO:0006950	response to stress	1342	25	14.75	0.00562
GO:0043523	regulation of neuron apoptotic process	65	4	0.71	0.00563
GO:0042110	T cell activation	105	5	1.15	0.00598
GO:1903054	negative regulation of extracellular matrix organization	11	2	0.12	0.00618
GO:0090649	response to oxygen-glucose deprivation	11	2	0.12	0.00618
GO:1903037	regulation of leukocyte cell-cell adhesion	68	4	0.75	0.0066
GO:0048813	dendrite morphogenesis	69	4	0.76	0.00695
GO:0019226	transmission of nerve impulse	36	3	0.4	0.00711
GO:0046651	lymphocyte proliferation	70	4	0.77	0.00731
GO:0008286	insulin receptor signaling pathway	70	4	0.77	0.00731
GO:0010880	regulation of release of sequestered calcium ion into cytosol by sarcoplasmic reticulum	12	2	0.13	0.00736
GO:0007028	cytoplasm organization	12	2	0.13	0.00736
GO:2001014	regulation of skeletal muscle cell differentiation	12	2	0.13	0.00736
GO:1903939	regulation of TORC2 signaling	12	2	0.13	0.00736
GO:0071549	cellular response to dexamethasone stimulus	12	2	0.13	0.00736
GO:0086091	regulation of heart rate by cardiac conduction	12	2	0.13	0.00736
GO:0033603	positive regulation of dopamine secretion	12	2	0.13	0.00736
GO:0071492	cellular response to UV-A	12	2	0.13	0.00736
GO:0002933	lipid hydroxylation	37	3	0.41	0.00768
GO:1900194	negative regulation of oocyte maturation	13	2	0.14	0.00864
GO:0071493	cellular response to UV-B	13	2	0.14	0.00864
GO:0060292	long-term synaptic depression	39	3	0.43	0.00889
GO:0010243	response to organonitrogen compound	586	16	6.44	0.00939
GO:0043086	negative regulation of catalytic activity	164	6	1.8	0.00944
GO:0042391	regulation of membrane potential	216	7	2.37	0.0098
