genes,logFC,logCPM,PValue,FDR,Annotation
LOC112588737,-9.051801602,7.089968706,1.36E-43,1.72E-39,fatty acid synthase-like
LOC112590521,-8.346700997,9.023356807,5.98E-42,3.79E-38,putative fatty acyl-CoA reductase CG5065 isoform X1
LOC105186441,-8.216427665,7.049460252,1.29E-41,5.43E-38,fatty acid synthase-like
LOC105190430,-8.864538293,6.535724159,3.21E-39,1.02E-35,acyl-CoA Delta(11) desaturase
LOC105190836,-7.962461499,5.259814142,9.11E-37,2.30E-33,elongation of very long chain fatty acids protein AAEL008004 isoform X1
LOC105191801,-7.277787538,9.142354539,1.14E-36,2.40E-33,acyl-CoA Delta(11) desaturase
LOC112588736,-7.442861345,5.209136404,3.48E-36,6.29E-33,fatty acid synthase-like
LOC112588606,-7.095995287,5.041838433,1.84E-30,2.91E-27,fatty acid synthase-like
LOC112590176,-8.138425019,7.071080525,1.01E-24,1.42E-21,fatty acid synthase-like
LOC105180672,-7.38280988,9.425561419,2.33E-21,2.95E-18,fatty acid synthase
LOC105181364,4.074242283,7.623423451,2.85E-21,3.28E-18,uncharacterized protein LOC105181364
LOC105181403,4.438978597,3.806745216,7.25E-21,7.65E-18,modular serine protease
LOC105182047,-6.689553857,2.965088546,1.98E-19,1.93E-16,elongation of very long chain fatty acids protein AAEL008004
LOC105192180,4.822880769,6.716069639,8.01E-19,7.24E-16,phenoloxidase-activating factor 2 isoform X1
LOC105184051,6.003162112,3.119662834,2.10E-16,1.78E-13,major facilitator superfamily domain-containing protein 6 isoform X1
LOC105181998,4.631663276,10.54544263,2.43E-16,1.92E-13,beta-hexosaminidase subunit beta
LOC105191427,4.039645552,3.628569598,2.82E-16,2.10E-13,serine/threonine-protein kinase par-1
LOC105192121,5.440754029,3.206207555,6.68E-16,4.70E-13,uncharacterized protein LOC105192121
LOC105188614,4.017005363,4.676771836,1.26E-15,8.41E-13,ATP-binding cassette sub-family G member 4
LOC105181727,-3.753403426,3.841232289,1.66E-15,1.05E-12,uncharacterized protein LOC105181727
LOC105186861,8.120842175,13.18758359,2.32E-15,1.40E-12,pheromone-binding protein Gp-9-like
LOC105181393,-5.077600011,2.659671101,2.67E-15,1.54E-12,juvenile hormone acid O-methyltransferase-like
LOC105186184,3.414178121,6.2447415,3.33E-15,1.83E-12,transferrin-like
LOC105180631,8.135605609,3.989645344,4.26E-15,2.20E-12,laccase
LOC105183527,3.882281926,5.492139367,4.45E-15,2.20E-12,glucose dehydrogenase
LOC105192206,3.648937729,11.990431,4.52E-15,2.20E-12,poly(U)-specific endoribonuclease homolog
LOC105189112,3.680717818,6.833667296,5.96E-15,2.79E-12,amyloid beta A4 precursor protein-binding family B member 1-interacting protein isoform X3
LOC105192665,3.596285758,13.07847815,7.95E-15,3.59E-12,transferrin
LOC105183222,3.713797611,6.69839665,8.66E-15,3.78E-12,hemolymph lipopolysaccharide-binding protein
LOC105188026,3.233888813,7.358651248,1.52E-14,6.43E-12,"furin-like protease 1, isoforms 1/1-X/2 isoform X2"
LOC105188876,3.389798553,8.852313612,1.94E-14,7.92E-12,cytochrome b561 domain-containing protein 2 isoform X1
LOC105186827,5.895648436,5.687150709,2.06E-14,8.13E-12,"keratin, type II cytoskeletal 1"
LOC105189232,3.00747634,4.479525407,5.99E-14,2.30E-11,pancreatic triacylglycerol lipase isoform X1
LOC109504347,3.435238989,3.494185889,9.34E-14,3.47E-11,40S ribosomal protein S28-like
LOC105183252,5.344930929,2.766081711,1.41E-13,5.08E-11,B1 protein
LOC105181362,3.339725946,4.083101211,1.78E-13,6.27E-11,uncharacterized protein LOC105181362 isoform X1
LOC105180591,3.05748617,6.02329994,2.04E-13,6.97E-11,torso-like protein
LOC105190170,3.382403688,9.409886255,3.24E-13,1.07E-10,delta-1-pyrroline-5-carboxylate synthase isoform X2
LOC105182809,5.784232277,10.55434335,3.29E-13,1.07E-10,uncharacterized protein LOC105182809
LOC105191491,2.869486689,5.000153856,3.42E-13,1.08E-10,DNA-binding protein D-ETS-4
LOC105182098,5.899620286,8.342646331,4.92E-13,1.52E-10,tyrosine 3-monooxygenase isoform X2
LOC105182935,2.997810116,3.582171575,7.66E-13,2.27E-10,homeobox protein homothorax isoform X1
LOC105187459,6.576567624,5.829167192,7.72E-13,2.27E-10,uncharacterized protein LOC105187459 isoform X1
LOC105187969,2.900427748,5.994828314,1.10E-12,3.17E-10,carbonic anhydrase-related protein 10 isoform X1
LOC105192151,2.62994844,5.07759294,1.69E-12,4.74E-10,"BMP-binding endothelial regulator protein, partial"
LOC105186824,4.632424672,11.85153947,1.72E-12,4.74E-10,nuclear pore complex protein DDB_G0274915 isoform X1
LOC105180766,4.352349256,9.053831097,1.82E-12,4.91E-10,RNA helicase aquarius isoform X1
LOC105189745,4.054948573,6.735835107,1.93E-12,5.05E-10,alpha-tocopherol transfer protein-like isoform X1
LOC105191385,3.843964254,4.296764358,1.95E-12,5.05E-10,uncharacterized protein LOC105191385
LOC105184959,3.940217674,6.509775589,2.75E-12,6.96E-10,putative ferric-chelate reductase 1 homolog isoform X3
LOC105191415,4.861054877,4.0152186,4.70E-12,1.17E-09,O-acyltransferase like protein
LOC105182094,6.513960759,6.440612313,5.16E-12,1.26E-09,facilitated trehalose transporter Tret1
LOC105188827,3.144633958,7.156856824,5.41E-12,1.29E-09,leucine-rich repeat-containing protein 58
LOC105190300,6.233558529,5.943037026,7.30E-12,1.68E-09,elongation of very long chain fatty acids protein AAEL008004
Ickin1-1,3.540286497,11.67595461,7.31E-12,1.68E-09,omega-conotoxin-like protein 1
LOC105191352,2.645260066,7.325641093,7.88E-12,1.78E-09,sn1-specific diacylglycerol lipase alpha isoform X4
LOC105190160,4.364522252,5.048432106,9.53E-12,2.12E-09,uncharacterized protein LOC105190160
