genes,logFC,logCPM,PValue,FDR,Annotation
LOC105191040,-9.456765162,8.628889075,2.19E-73,2.78E-69,fatty acid synthase
LOC112590176,-8.443456017,7.072904832,6.81E-64,4.31E-60,fatty acid synthase-like
LOC109504628,-6.877840777,7.878916701,4.53E-56,1.91E-52,cytochrome P450 6B5-like
LOC112590521,-9.123070479,9.022292692,6.59E-55,2.09E-51,putative fatty acyl-CoA reductase CG5065 isoform X1
LOC105191801,-8.094335466,9.139216588,5.17E-53,1.31E-49,acyl-CoA Delta(11) desaturase
LOC112588736,-8.550089822,5.215000119,4.33E-52,9.14E-49,fatty acid synthase-like
LOC105190430,-8.367140698,6.540988441,4.81E-51,8.69E-48,acyl-CoA Delta(11) desaturase
LOC105181727,-5.254646457,3.79873828,4.48E-35,7.08E-32,uncharacterized protein LOC105181727
LOC105182094,4.9795391,4.925829965,1.13E-31,1.59E-28,facilitated trehalose transporter Tret1
LOC105188703,4.160738775,4.207343394,3.50E-30,4.42E-27,uncharacterized protein LOC105188703 isoform X1
LOC112590013,4.80811987,5.021533954,1.31E-29,1.51E-26,venom carboxylesterase-6-like
LOC105190160,4.138820501,4.833798593,1.38E-28,1.45E-25,uncharacterized protein LOC105190160
LOC105189745,4.642178789,7.291979838,1.18E-26,1.15E-23,alpha-tocopherol transfer protein-like isoform X1
LOC105182337,3.531031234,7.771370025,1.58E-26,1.42E-23,venom carboxylesterase-6
LOC105192591,-4.265861883,6.005169429,1.75E-26,1.48E-23,putative fatty acyl-CoA reductase CG5065
LOC105190300,7.399785762,7.089084002,6.70E-26,5.30E-23,elongation of very long chain fatty acids protein AAEL008004
LOC105181577,-7.697420846,2.845816439,1.38E-25,1.03E-22,fatty acid synthase-like
LOC112590350,3.664325057,7.616070169,2.22E-25,1.56E-22,cytochrome P450 4C1-like isoform X1
LOC105190593,3.148909409,6.368050908,2.01E-24,1.34E-21,lysophospholipid acyltransferase 2
LOC105191178,7.602617381,8.815513312,2.65E-24,1.68E-21,elongation of very long chain fatty acids protein AAEL008004
LOC105184442,-5.879373632,4.426732407,5.26E-24,3.17E-21,fatty-acid amide hydrolase 2
LOC105180631,7.813892323,3.721987535,8.38E-24,4.82E-21,laccase
LOC105184100,4.994893517,4.001889417,1.80E-23,9.92E-21,uncharacterized protein LOC105184100 isoform X2
LOC105181811,3.473143808,5.96040945,2.08E-23,1.10E-20,muscle-specific protein 20
LOC105182047,-7.854964115,2.994825603,3.41E-23,1.72E-20,elongation of very long chain fatty acids protein AAEL008004
LOC105183841,3.69123255,6.860692592,3.83E-23,1.87E-20,dorsal-ventral patterning protein Sog isoform X1
LOC105192151,2.68745257,5.124690858,1.54E-21,7.02E-19,"BMP-binding endothelial regulator protein, partial"
LOC105189493,3.105013685,3.799421748,1.55E-21,7.02E-19,calcium-dependent secretion activator isoform X1
LOC105185293,3.076624676,8.997071145,2.24E-21,9.44E-19,basement membrane-specific heparan sulfate proteoglycan core protein
LOC105186475,3.739584767,6.699875337,2.23E-21,9.44E-19,collagen alpha-1(IV) chain
LOC105186996,2.733693195,5.309108187,2.43E-21,9.91E-19,cysteine-rich protein 1
LOC105181068,2.949698666,7.140477186,3.57E-21,1.41E-18,fatty acid hydroxylase domain-containing protein 2 isoform X2
LOC105181393,-6.723713668,2.681543172,9.18E-21,3.52E-18,juvenile hormone acid O-methyltransferase-like
LOC105188434,6.790910884,9.924822324,4.07E-20,1.52E-17,pheromone-binding protein Gp-9-like
LOC105184051,6.559623253,3.654593842,8.43E-20,3.05E-17,major facilitator superfamily domain-containing protein 6 isoform X1
LOC105186541,4.158674564,3.685450146,1.17E-19,4.11E-17,serine protease 41 isoform X1
LOC105186530,3.611585053,6.232456366,1.23E-18,4.21E-16,lachesin isoform X2
LOC105190836,-6.276284634,5.28123945,2.14E-18,7.11E-16,elongation of very long chain fatty acids protein AAEL008004 isoform X1
LOC105191385,5.629335806,5.995477275,2.63E-18,8.54E-16,uncharacterized protein LOC105191385
LOC105180912,3.584015112,5.910897855,1.12E-17,3.54E-15,serine protease snake
LOC105190170,2.83523865,8.919952722,1.35E-17,4.17E-15,delta-1-pyrroline-5-carboxylate synthase isoform X2
LOC112590550,2.566465315,5.00173766,1.56E-17,4.69E-15,BMP-binding endothelial regulator protein-like
LOC105192391,2.535320198,6.697316797,1.70E-17,4.91E-15,long-chain-fatty-acid--CoA ligase 1 isoform X1
LOC105180622,4.301260452,4.187875419,1.71E-17,4.91E-15,neprilysin-4 isoform X2
LOC105189718,3.213172481,4.92595458,3.87E-17,1.09E-14,uncharacterized protein LOC105189718
LOC105180591,2.596669214,5.620851467,4.16E-17,1.14E-14,torso-like protein
LOC105182042,2.55763698,5.646817034,5.80E-17,1.56E-14,cystinosin homolog isoform X2
LOC105186476,3.713325703,7.130802814,7.04E-17,1.86E-14,collagen alpha-5(IV) chain
LOC105189203,2.554665783,7.543625022,1.17E-16,3.03E-14,uncharacterized protein LOC105189203
LOC105181288,3.358504453,4.048493411,1.40E-16,3.55E-14,synaptic vesicle glycoprotein 2B isoform X2
LOC105189292,2.527190271,5.663595968,1.57E-16,3.90E-14,endothelin-converting enzyme 2
LOC105187571,6.836318588,5.125469686,1.61E-16,3.92E-14,cytochrome P450 9e2 isoform X2
LOC105185633,5.410229392,2.230640148,2.28E-16,5.44E-14,venom protease isoform X3
LOC105189013,4.406480783,4.013965563,2.59E-16,6.08E-14,acyl-CoA Delta(11) desaturase isoform X2
LOC105190713,3.172834929,8.821996129,2.97E-16,6.83E-14,protein henna isoform X1
LOC105190862,5.189826892,5.235227835,4.07E-16,9.20E-14,protein takeout isoform X2
LOC105189626,2.945865045,6.937359739,4.54E-16,1.01E-13,cytochrome P450 4C1 isoform X1
LOC105182278,3.692658292,3.175841801,4.80E-16,1.05E-13,protein escargot-like
LOC105192666,-3.689362303,3.611211776,5.60E-16,1.20E-13,uncharacterized protein LOC105192666 isoform X2
LOC105182544,-5.977818543,8.298166612,5.84E-16,1.23E-13,fatty acid synthase
LOC105190225,-2.474727483,5.978437566,6.95E-16,1.44E-13,prolyl 3-hydroxylase 2 isoform X1
LOC105191289,2.36317439,4.38489497,1.02E-15,2.09E-13,tyrosine-protein kinase Src64B isoform X1
LOC105183252,4.998980238,2.429629799,1.36E-15,2.74E-13,B1 protein
LOC105189180,2.179719371,5.597810531,1.49E-15,2.94E-13,homeobox protein aristaless
LOC105192662,2.282965991,5.349547038,1.75E-15,3.41E-13,receptor-type tyrosine-protein phosphatase mu isoform X1
LOC105183247,6.580929616,5.41149313,2.09E-15,4.00E-13,probable chitinase 10
LOC105190123,2.876680658,7.253581415,2.20E-15,4.15E-13,uncharacterized protein LOC105190123 isoform X2
LOC105189172,2.680669478,5.223543474,2.58E-15,4.81E-13,integrin beta-PS
LOC105191971,3.939074553,4.523125008,3.13E-15,5.73E-13,flavin-containing monooxygenase FMO GS-OX3 isoform X1
LOC105188443,2.775906201,3.446264823,3.44E-15,6.13E-13,potassium/sodium hyperpolarization-activated cyclic nucleotide-gated channel 3 isoform X7
LOC112590376,8.341728066,3.502875267,3.43E-15,6.13E-13,fatty acid synthase-like
LOC105180905,2.894629396,9.9634425,4.11E-15,7.22E-13,aminopeptidase N
LOC105180521,2.887268798,4.067539105,4.70E-15,8.14E-13,feline leukemia virus subgroup C receptor-related protein 2
LOC105183408,4.415773663,4.38217565,7.86E-15,1.34E-12,serine/threonine-protein phosphatase 6 regulatory ankyrin repeat subunit B
LOC105192245,3.18902288,5.585967943,7.98E-15,1.35E-12,uncharacterized protein LOC105192245
LOC105183527,3.148974013,4.817445968,8.75E-15,1.46E-12,glucose dehydrogenase
LOC105192557,2.837316932,10.15945972,9.09E-15,1.49E-12,UDP-glucuronosyltransferase 2A3
LOC105192379,3.014465193,4.32604796,1.31E-14,2.12E-12,dipeptidyl aminopeptidase-like protein 6 isoform X2
LOC105186827,5.976570575,5.758776232,1.37E-14,2.20E-12,"keratin, type II cytoskeletal 1"
LOC105188026,2.805758126,6.978344454,1.57E-14,2.49E-12,"furin-like protease 1, isoforms 1/1-X/2 isoform X2"
LOC105181350,2.449739716,5.545063116,1.93E-14,3.02E-12,sialin isoform X1
LOC105191332,2.826943175,4.881481966,2.74E-14,4.22E-12,elongation of very long chain fatty acids protein 6
LOC105182806,3.74557231,3.961101787,3.21E-14,4.89E-12,troponin C
LOC105181411,4.185094092,3.204521397,4.05E-14,6.11E-12,modular serine protease-like
LOC105189864,2.407936663,4.210118683,4.24E-14,6.31E-12,trichohyalin
LOC105181737,3.029294924,3.760857704,4.78E-14,6.96E-12,carcinine transporter
LOC105189061,3.736614786,3.617461956,4.77E-14,6.96E-12,multidrug resistance-associated protein 4-like
LOC105181961,6.47945613,2.889206816,4.95E-14,7.11E-12,ejaculatory bulb-specific protein 3
LOC105188827,3.137753379,7.149188436,5.75E-14,8.18E-12,leucine-rich repeat-containing protein 58
LOC105188290,2.912789713,7.786941094,7.53E-14,1.06E-11,LOW QUALITY PROTEIN: ryanodine receptor
LOC105186981,4.25200999,4.104939051,7.82E-14,1.09E-11,cytochrome P450 9e2
