GO.ID	Term	Annotated	Significant	Expected	elimFisher
GO:0051241	negative regulation of multicellular organismal process	388	152	80.1	1.4e-08
GO:1904646	cellular response to amyloid-beta	44	25	9.08	1.5e-07
GO:0007528	neuromuscular junction development	135	61	27.87	2e-07
GO:0051093	negative regulation of developmental process	307	112	63.38	2.9e-07
GO:0007160	cell-matrix adhesion	77	43	15.9	9.1e-07
GO:0042325	regulation of phosphorylation	489	181	100.95	1e-06
GO:0033700	phospholipid efflux	17	13	3.51	1.2e-06
GO:0006882	cellular zinc ion homeostasis	11	10	2.27	1.2e-06
GO:0015694	mercury ion transport	11	10	2.27	1.2e-06
GO:0051491	positive regulation of filopodium assembly	34	20	7.02	1.2e-06
GO:0043627	response to estrogen	98	41	20.23	1.5e-06
GO:0030154	cell differentiation	1528	507	315.45	1.8e-06
GO:0018107	peptidyl-threonine phosphorylation	46	24	9.5	2.1e-06
GO:0070555	response to interleukin-1	58	28	11.97	2.3e-06
GO:0032879	regulation of localization	1300	493	268.38	2.3e-06
GO:0072659	protein localization to plasma membrane	152	67	31.38	2.5e-06
GO:0001667	ameboidal-type cell migration	209	109	43.15	2.6e-06
GO:1901655	cellular response to ketone	86	40	17.75	2.7e-06
GO:1903688	positive regulation of border follicle cell migration	38	21	7.84	2.8e-06
GO:0048639	positive regulation of developmental growth	118	50	24.36	3.7e-06
GO:0048661	positive regulation of smooth muscle cell proliferation	23	15	4.75	4.5e-06
GO:0030644	cellular chloride ion homeostasis	16	12	3.3	4.6e-06
GO:0050714	positive regulation of protein secretion	116	51	23.95	5.2e-06
GO:0018105	peptidyl-serine phosphorylation	63	29	13.01	5.2e-06
GO:0070327	thyroid hormone transport	10	9	2.06	5.5e-06
GO:1901086	benzylpenicillin metabolic process	10	9	2.06	5.5e-06
GO:0071716	leukotriene transport	10	9	2.06	5.5e-06
GO:0038183	bile acid signaling pathway	12	10	2.48	6e-06
GO:0046627	negative regulation of insulin receptor signaling pathway	19	13	3.92	9.2e-06
GO:0050804	modulation of chemical synaptic transmission	296	122	61.11	9.7e-06
GO:0001938	positive regulation of endothelial cell proliferation	24	15	4.95	9.8e-06
GO:0022603	regulation of anatomical structure morphogenesis	320	130	66.06	1.2e-05
GO:0000281	mitotic cytokinesis	75	32	15.48	1.2e-05
GO:0045995	regulation of embryonic development	72	31	14.86	1.4e-05
GO:0048146	positive regulation of fibroblast proliferation	47	23	9.7	1.4e-05
GO:0006895	Golgi to endosome transport	22	14	4.54	1.5e-05
GO:0045214	sarcomere organization	38	23	7.84	1.5e-05
GO:0015722	canalicular bile acid transport	15	11	3.1	1.7e-05
GO:1904486	response to 17alpha-ethynylestradiol	15	11	3.1	1.7e-05
GO:0046949	fatty-acyl-CoA biosynthetic process	63	28	13.01	1.7e-05
GO:0050729	positive regulation of inflammatory response	36	19	7.43	2e-05
GO:0001702	gastrulation with mouth forming second	18	14	3.72	2.1e-05
GO:0015911	long-chain fatty acid import across plasma membrane	13	10	2.68	2.1e-05
