GO.ID	Term	Annotated	Significant	Expected	elimFisher
GO:0051093	negative regulation of developmental process	307	112	60.56	3.2e-08
GO:0051241	negative regulation of multicellular organismal process	388	147	76.54	3.3e-08
GO:0007528	neuromuscular junction development	135	61	26.63	5.2e-08
GO:1904646	cellular response to amyloid-beta	44	25	8.68	5.9e-08
GO:0072659	protein localization to plasma membrane	152	67	29.99	1.7e-07
GO:0042325	regulation of phosphorylation	489	176	96.47	2.6e-07
GO:0007160	cell-matrix adhesion	77	42	15.19	5.1e-07
GO:0051491	positive regulation of filopodium assembly	34	20	6.71	5.8e-07
GO:0033700	phospholipid efflux	17	13	3.35	7.1e-07
GO:0051240	positive regulation of multicellular organismal process	512	184	101	7.8e-07
GO:0006882	cellular zinc ion homeostasis	11	10	2.17	7.9e-07
GO:0015694	mercury ion transport	11	10	2.17	7.9e-07
GO:1901655	cellular response to ketone	86	40	16.97	9.4e-07
GO:0048639	positive regulation of developmental growth	118	50	23.28	1.1e-06
GO:1903688	positive regulation of border follicle cell migration	38	21	7.5	1.3e-06
GO:0018105	peptidyl-serine phosphorylation	63	29	12.43	2e-06
GO:0050714	positive regulation of protein secretion	116	51	22.88	2.1e-06
GO:0048661	positive regulation of smooth muscle cell proliferation	23	15	4.54	2.5e-06
GO:0022603	regulation of anatomical structure morphogenesis	320	128	63.13	2.7e-06
GO:0030644	cellular chloride ion homeostasis	16	12	3.16	2.8e-06
GO:0050804	modulation of chemical synaptic transmission	296	120	58.39	2.9e-06
GO:0071396	cellular response to lipid	244	99	48.13	3.1e-06
GO:0070555	response to interleukin-1	58	27	11.44	3.4e-06
GO:0043627	response to estrogen	98	39	19.33	3.5e-06
GO:0070327	thyroid hormone transport	10	9	1.97	3.7e-06
GO:1901086	benzylpenicillin metabolic process	10	9	1.97	3.7e-06
GO:0071716	leukotriene transport	10	9	1.97	3.7e-06
GO:0038183	bile acid signaling pathway	12	10	2.37	3.9e-06
GO:2000243	positive regulation of reproductive process	137	63	27.03	4.5e-06
GO:0000281	mitotic cytokinesis	75	32	14.8	4.6e-06
GO:0045995	regulation of embryonic development	72	31	14.2	5.1e-06
GO:0046627	negative regulation of insulin receptor signaling pathway	19	13	3.75	5.4e-06
GO:0001938	positive regulation of endothelial cell proliferation	24	15	4.73	5.4e-06
GO:0032879	regulation of localization	1300	484	256.45	7.6e-06
GO:0045214	sarcomere organization	38	23	7.5	8.2e-06
GO:0006895	Golgi to endosome transport	22	14	4.34	8.4e-06
GO:0046777	protein autophosphorylation	48	23	9.47	9.9e-06
GO:0030154	cell differentiation	1528	490	301.43	1e-05
GO:0015722	canalicular bile acid transport	15	11	2.96	1.1e-05
GO:1904486	response to 17alpha-ethynylestradiol	15	11	2.96	1.1e-05
GO:0001934	positive regulation of protein phosphorylation	158	60	31.17	1.1e-05
GO:0006468	protein phosphorylation	498	180	98.24	1.2e-05
GO:0043113	receptor clustering	58	26	11.44	1.2e-05
GO:0001702	gastrulation with mouth forming second	18	14	3.55	1.4e-05
