GO.ID	Term	Annotated	Significant	Expected	elimFisher
GO:0007476	imaginal disc-derived wing morphogenesis	260	126	60.25	6.6e-08
GO:0061343	cell adhesion involved in heart morphogenesis	18	15	4.17	1.1e-07
GO:0008360	regulation of cell shape	90	46	20.86	1.4e-07
GO:0048190	wing disc dorsal/ventral pattern formation	53	30	12.28	1.5e-07
GO:0042060	wound healing	228	99	52.84	1.9e-07
GO:0019991	septate junction assembly	47	27	10.89	4.2e-07
GO:0007616	long-term memory	66	34	15.3	4.8e-07
GO:0060412	ventricular septum morphogenesis	33	21	7.65	7.8e-07
GO:0007169	transmembrane receptor protein tyrosine kinase signaling pathway	325	141	75.32	9.1e-07
GO:0060857	establishment of glial blood-brain barrier	16	13	3.71	1.5e-06
GO:0016203	muscle attachment	45	25	10.43	2.6e-06
GO:0007391	dorsal closure	97	47	22.48	5.9e-06
GO:0051240	positive regulation of multicellular organismal process	616	209	142.75	7.3e-06
GO:0031532	actin cytoskeleton reorganization	47	25	10.89	7.5e-06
GO:0050793	regulation of developmental process	1331	459	308.45	8.8e-06
GO:0045500	sevenless signaling pathway	22	15	5.1	9e-06
GO:0072499	photoreceptor cell axon guidance	25	16	5.79	1.5e-05
GO:0050919	negative chemotaxis	25	16	5.79	1.5e-05
GO:0008587	imaginal disc-derived wing margin morphogenesis	45	29	10.43	2.1e-05
GO:0007435	salivary gland morphogenesis	104	43	24.1	2.6e-05
GO:0046843	dorsal appendage formation	47	24	10.89	2.8e-05
GO:0007568	aging	220	80	50.98	3e-05
GO:0035147	branch fusion, open tracheal system	26	16	6.03	3.1e-05
GO:0048015	phosphatidylinositol-mediated signaling	56	27	12.98	3.4e-05
GO:0051239	regulation of multicellular organismal process	1313	456	304.28	3.5e-05
GO:0030866	cortical actin cytoskeleton organization	59	28	13.67	3.5e-05
GO:1903688	positive regulation of border follicle cell migration	24	15	5.56	4.2e-05
GO:0018105	peptidyl-serine phosphorylation	122	48	28.27	4.3e-05
GO:0030335	positive regulation of cell migration	194	82	44.96	4.3e-05
GO:0007475	apposition of dorsal and ventral imaginal disc-derived wing surfaces	17	12	3.94	4.4e-05
GO:0036335	intestinal stem cell homeostasis	17	12	3.94	4.4e-05
GO:0018107	peptidyl-threonine phosphorylation	81	35	18.77	4.8e-05
GO:0002168	instar larval development	57	27	13.21	5.1e-05
GO:0046777	protein autophosphorylation	108	47	25.03	5.3e-05
GO:0007223	Wnt signaling pathway, calcium modulating pathway	15	11	3.48	5.4e-05
GO:1902533	positive regulation of intracellular signal transduction	351	124	81.34	5.4e-05
GO:0034059	response to anoxia	9	8	2.09	5.9e-05
GO:0009605	response to external stimulus	1389	454	321.89	6.1e-05
GO:0030100	regulation of endocytosis	118	58	27.35	6.3e-05
GO:0009069	serine family amino acid metabolic process	262	88	60.72	6.4e-05
GO:0048675	axon extension	97	45	22.48	6.9e-05
GO:0072659	protein localization to plasma membrane	141	59	32.68	6.9e-05
GO:0008355	olfactory learning	38	20	8.81	7.5e-05
GO:0015711	organic anion transport	182	65	42.18	7.6e-05
GO:0008542	visual learning	25	15	5.79	8.3e-05
GO:0001745	compound eye morphogenesis	290	116	67.21	8.7e-05
GO:0045570	regulation of imaginal disc growth	44	22	10.2	9.1e-05
GO:0007097	nuclear migration	33	18	7.65	9.3e-05
GO:0051291	protein heterooligomerization	56	26	12.98	0.00011
GO:0045214	sarcomere organization	56	26	12.98	0.00011
GO:0006869	lipid transport	163	63	37.77	0.00011
GO:2001259	positive regulation of cation channel activity	31	17	7.18	0.00013
GO:0090136	epithelial cell-cell adhesion	16	11	3.71	0.00014
GO:0048085	adult chitin-containing cuticle pigmentation	72	31	16.69	0.00014
GO:0022404	molting cycle process	151	64	34.99	0.00015
GO:0042789	mRNA transcription by RNA polymerase II	6	6	1.39	0.00015
GO:0007423	sensory organ development	711	249	164.77	0.00016
GO:0048813	dendrite morphogenesis	221	80	51.22	0.00017
GO:1904064	positive regulation of cation transmembrane transport	63	35	14.6	0.00018
GO:0051017	actin filament bundle assembly	84	38	19.47	2e-04
GO:1904886	beta-catenin destruction complex disassembly	12	9	2.78	0.00021
GO:0007298	border follicle cell migration	104	48	24.1	0.00021
GO:0007552	metamorphosis	449	191	104.05	0.00022
GO:1902476	chloride transmembrane transport	24	14	5.56	0.00022
GO:0008015	blood circulation	208	81	48.2	0.00022
GO:0046854	phosphatidylinositol phosphate biosynthetic process	19	12	4.4	0.00022
GO:0045198	establishment of epithelial cell apical/basal polarity	19	12	4.4	0.00022
GO:0098901	regulation of cardiac muscle cell action potential	8	7	1.85	0.00023
