GO.ID	Term	Annotated	Significant	Expected	elimFisher
GO:0007528	neuromuscular junction development	135	94	47.05	5.2e-12
GO:0009987	cellular process	10685	3963	3723.85	7.1e-11
GO:0008152	metabolic process	7209	3003	2512.43	4.2e-09
GO:0032268	regulation of cellular protein metabolic process	1213	619	422.75	1.6e-08
GO:0045944	positive regulation of transcription by RNA polymerase II	85	54	29.62	6.1e-08
GO:0045214	sarcomere organization	38	32	13.24	6.3e-08
GO:0018107	peptidyl-threonine phosphorylation	46	34	16.03	7.1e-08
GO:0046627	negative regulation of insulin receptor signaling pathway	19	18	6.62	7.2e-08
GO:0030154	cell differentiation	1528	806	532.53	1.2e-07
GO:1902532	negative regulation of intracellular signal transduction	212	123	73.88	1.6e-07
GO:1901606	alpha-amino acid catabolic process	36	28	12.55	1.7e-07
GO:0018105	peptidyl-serine phosphorylation	63	44	21.96	2.4e-07
GO:0008285	negative regulation of cell population proliferation	138	85	48.09	2.9e-07
GO:0051241	negative regulation of multicellular organismal process	388	198	135.22	4.5e-07
GO:0071407	cellular response to organic cyclic compound	266	145	92.7	5.8e-07
GO:0009967	positive regulation of signal transduction	558	324	194.47	6.4e-07
GO:0071417	cellular response to organonitrogen compound	332	188	115.71	7.2e-07
GO:0051491	positive regulation of filopodium assembly	34	26	11.85	8.4e-07
GO:0006895	Golgi to endosome transport	22	19	7.67	9.1e-07
GO:0046949	fatty-acyl-CoA biosynthetic process	63	44	21.96	9.1e-07
GO:0072659	protein localization to plasma membrane	152	101	52.97	9.6e-07
GO:0051093	negative regulation of developmental process	307	162	106.99	1.2e-06
GO:0016311	dephosphorylation	160	94	55.76	1.3e-06
GO:0071345	cellular response to cytokine stimulus	342	194	119.19	1.3e-06
GO:0009063	cellular amino acid catabolic process	49	36	17.08	1.4e-06
GO:0007166	cell surface receptor signaling pathway	720	414	250.93	2.4e-06
GO:0032981	mitochondrial respiratory chain complex I assembly	12	12	4.18	3.2e-06
GO:0002068	glandular epithelial cell development	30	23	10.46	3.4e-06
GO:0090316	positive regulation of intracellular protein transport	80	48	27.88	3.6e-06
GO:0007565	female pregnancy	79	50	27.53	4.3e-06
GO:0006734	NADH metabolic process	34	25	11.85	4.7e-06
GO:0050729	positive regulation of inflammatory response	36	26	12.55	5.3e-06
GO:0032024	positive regulation of insulin secretion	62	41	21.61	6.1e-06
GO:0042632	cholesterol homeostasis	60	38	20.91	6.2e-06
GO:0070555	response to interleukin-1	58	37	20.21	6.4e-06
GO:0030879	mammary gland development	66	46	23	6.5e-06
GO:0007030	Golgi organization	75	45	26.14	7.3e-06
GO:0030224	monocyte differentiation	29	22	10.11	7.6e-06
GO:0043525	positive regulation of neuron apoptotic process	29	22	10.11	7.6e-06
GO:0060976	coronary vasculature development	22	18	7.67	8.4e-06
GO:0032100	positive regulation of appetite	22	18	7.67	8.4e-06
GO:0032879	regulation of localization	1300	710	453.07	9.3e-06
GO:0098609	cell-cell adhesion	242	152	84.34	1e-05
GO:0006625	protein targeting to peroxisome	37	26	12.89	1.2e-05
GO:0000281	mitotic cytokinesis	75	48	26.14	1.2e-05
GO:0061024	membrane organization	318	186	110.83	1.2e-05
GO:1903078	positive regulation of protein localization to plasma membrane	19	16	6.62	1.4e-05
GO:0090162	establishment of epithelial cell polarity	26	20	9.06	1.4e-05
GO:0050829	defense response to Gram-negative bacterium	70	42	24.4	1.5e-05
GO:0042060	wound healing	135	88	47.05	1.8e-05
GO:0042325	regulation of phosphorylation	489	273	170.42	1.9e-05
GO:0070050	neuron cellular homeostasis	16	14	5.58	2.1e-05
GO:0090303	positive regulation of wound healing	16	14	5.58	2.1e-05
GO:0022603	regulation of anatomical structure morphogenesis	320	184	111.52	2.2e-05
GO:0016197	endosomal transport	102	65	35.55	2.2e-05
GO:0032456	endocytic recycling	50	32	17.43	2.4e-05
GO:0007411	axon guidance	50	32	17.43	2.4e-05
GO:0031647	regulation of protein stability	82	47	28.58	2.5e-05
GO:0048661	positive regulation of smooth muscle cell proliferation	23	18	8.02	2.6e-05
GO:0016050	vesicle organization	114	75	39.73	3e-05
GO:0043627	response to estrogen	98	54	34.15	3e-05
GO:0071396	cellular response to lipid	244	130	85.04	3e-05
GO:0030838	positive regulation of actin filament polymerization	25	19	8.71	3.2e-05
GO:0034121	regulation of toll-like receptor signaling pathway	25	19	8.71	3.2e-05
GO:0043066	negative regulation of apoptotic process	167	94	58.2	3.2e-05
GO:0001702	gastrulation with mouth forming second	18	15	6.27	3.4e-05
GO:0060326	cell chemotaxis	92	60	32.06	3.5e-05
GO:0043001	Golgi to plasma membrane protein transport	35	27	12.2	3.6e-05
GO:0045995	regulation of embryonic development	72	42	25.09	3.8e-05
GO:0031623	receptor internalization	70	41	24.4	4.1e-05
GO:0009152	purine ribonucleotide biosynthetic process	114	79	39.73	4.3e-05
GO:0007283	spermatogenesis	90	50	31.37	4.4e-05
GO:0043123	positive regulation of I-kappaB kinase/NF-kappaB signaling	49	31	17.08	4.5e-05
GO:0009968	negative regulation of signal transduction	413	238	143.94	4.6e-05
GO:0090263	positive regulation of canonical Wnt signaling pathway	66	39	23	4.8e-05
GO:0000209	protein polyubiquitination	46	32	16.03	4.9e-05
GO:0006950	response to stress	1342	697	467.7	5e-05
GO:1904580	regulation of intracellular mRNA localization	15	13	5.23	5.3e-05
GO:0031529	ruffle organization	15	13	5.23	5.3e-05
GO:1904643	response to curcumin	15	13	5.23	5.3e-05
GO:0035865	cellular response to potassium ion	15	13	5.23	5.3e-05
GO:0030223	neutrophil differentiation	15	13	5.23	5.3e-05
GO:1901566	organonitrogen compound biosynthetic process	701	370	244.31	5.8e-05
GO:0043170	macromolecule metabolic process	4351	1880	1516.38	6.1e-05
GO:0051240	positive regulation of multicellular organismal process	512	277	178.44	6.4e-05
GO:0030324	lung development	63	41	21.96	6.9e-05
GO:0001938	positive regulation of endothelial cell proliferation	24	18	8.36	7e-05
GO:0048260	positive regulation of receptor-mediated endocytosis	62	40	21.61	7e-05
GO:0045165	cell fate commitment	121	63	42.17	7.1e-05
GO:0043542	endothelial cell migration	87	59	30.32	7.3e-05
GO:0010632	regulation of epithelial cell migration	144	99	50.19	7.4e-05
GO:0035317	imaginal disc-derived wing hair organization	9	9	3.14	7.5e-05
GO:0031427	response to methotrexate	9	9	3.14	7.5e-05
GO:0033700	phospholipid efflux	17	14	5.92	8.1e-05
GO:0031331	positive regulation of cellular catabolic process	198	115	69.01	8.2e-05
GO:0045745	positive regulation of G protein-coupled receptor signaling pathway	28	20	9.76	8.6e-05
GO:1904646	cellular response to amyloid-beta	44	28	15.33	9.1e-05
GO:0010717	regulation of epithelial to mesenchymal transition	30	21	10.46	9.2e-05
GO:0007628	adult walking behavior	42	27	14.64	9.4e-05
GO:0051893	regulation of focal adhesion assembly	37	27	12.89	9.4e-05
GO:0000422	autophagy of mitochondrion	32	22	11.15	9.5e-05
GO:0032147	activation of protein kinase activity	34	23	11.85	9.7e-05
GO:0070301	cellular response to hydrogen peroxide	38	25	13.24	9.7e-05
GO:1903688	positive regulation of border follicle cell migration	38	25	13.24	9.7e-05
GO:1902533	positive regulation of intracellular signal transduction	327	186	113.96	9.8e-05
GO:0044283	small molecule biosynthetic process	333	178	116.05	1e-04
GO:0045596	negative regulation of cell differentiation	172	84	59.94	1e-04
GO:0000122	negative regulation of transcription by RNA polymerase II	97	52	33.81	0.00011
GO:0030258	lipid modification	119	66	41.47	0.00012
