GO.ID	Term	Annotated	Significant	Expected	elimFisher
GO:0008045	motor neuron axon guidance	64	39	20.28	1.3e-06
GO:0048598	embryonic morphogenesis	523	222	165.73	4.8e-06
GO:0008347	glial cell migration	45	29	14.26	6.1e-06
GO:0007215	glutamate receptor signaling pathway	30	21	9.51	1.8e-05
GO:0046777	protein autophosphorylation	108	55	34.22	2.3e-05
GO:0006909	phagocytosis	121	60	38.34	2.8e-05
GO:0048646	anatomical structure formation involved in morphogenesis	807	327	255.72	5.1e-05
GO:0007474	imaginal disc-derived wing vein specification	40	25	12.68	5.7e-05
GO:0007200	phospholipase C-activating G protein-coupled receptor signaling pathway	38	24	12.04	6.3e-05
GO:0007605	sensory perception of sound	134	64	42.46	6.7e-05
GO:0022603	regulation of anatomical structure morphogenesis	441	180	139.74	7.6e-05
GO:0030514	negative regulation of BMP signaling pathway	30	20	9.51	8.6e-05
GO:0030336	negative regulation of cell migration	103	51	32.64	0.00011
GO:0016199	axon midline choice point recognition	37	23	11.72	0.00013
GO:0030036	actin cytoskeleton organization	399	181	126.44	0.00015
GO:0060412	ventricular septum morphogenesis	33	21	10.46	0.00016
GO:0051050	positive regulation of transport	431	176	136.58	0.00018
GO:0007419	ventral cord development	40	24	12.68	2e-04
GO:0007615	anesthesia-resistant memory	19	14	6.02	0.00021
GO:0007424	open tracheal system development	244	123	77.32	0.00021
GO:0051926	negative regulation of calcium ion transport	23	16	7.29	0.00021
GO:0070983	dendrite guidance	23	16	7.29	0.00021
GO:0098659	inorganic cation import across plasma membrane	21	15	6.65	0.00021
GO:0007476	imaginal disc-derived wing morphogenesis	260	119	82.39	0.00027
GO:0030198	extracellular matrix organization	96	47	30.42	0.00029
GO:0009612	response to mechanical stimulus	96	47	30.42	0.00029
GO:0045608	negative regulation of inner ear auditory receptor cell differentiation	7	7	2.22	0.00032
GO:0051241	negative regulation of multicellular organismal process	483	192	153.05	0.00034
GO:0018108	peptidyl-tyrosine phosphorylation	94	46	29.79	0.00034
GO:0051239	regulation of multicellular organismal process	1313	521	416.06	0.00038
GO:0023051	regulation of signaling	1641	645	520	0.00038
GO:0022407	regulation of cell-cell adhesion	146	66	46.26	0.00039
GO:0060122	inner ear receptor cell stereocilium organization	26	17	8.24	0.00042
GO:0045475	locomotor rhythm	58	31	18.38	0.00046
GO:0048172	regulation of short-term neuronal synaptic plasticity	16	12	5.07	0.00046
GO:0046669	regulation of compound eye retinal cell programmed cell death	20	14	6.34	0.00049
GO:0048252	lauric acid metabolic process	20	14	6.34	0.00049
GO:0097553	calcium ion transmembrane import into cytosol	51	28	16.16	0.00049
GO:0007632	visual behavior	63	33	19.96	5e-04
GO:0045214	sarcomere organization	56	30	17.75	0.00054
GO:0007416	synapse assembly	185	80	58.62	0.00056
GO:0001932	regulation of protein phosphorylation	451	175	142.91	0.00061
GO:0007015	actin filament organization	222	98	70.35	0.00062
GO:0019730	antimicrobial humoral response	96	46	30.42	0.00062
GO:0042044	fluid transport	31	19	9.82	0.00064
GO:0071689	muscle thin filament assembly	9	8	2.85	0.00065
GO:0046855	inositol phosphate dephosphorylation	9	8	2.85	0.00065
GO:0097084	vascular associated smooth muscle cell development	9	8	2.85	0.00065
GO:0010646	regulation of cell communication	1632	640	517.15	0.00067
GO:0051896	regulation of protein kinase B signaling	59	31	18.7	0.00068
GO:0072002	Malpighian tubule development	59	31	18.7	0.00068
GO:0006022	aminoglycan metabolic process	125	57	39.61	0.00072
GO:0007156	homophilic cell adhesion via plasma membrane adhesion molecules	38	22	12.04	0.00074
GO:0048593	camera-type eye morphogenesis	89	43	28.2	0.00074
GO:0016203	muscle attachment	45	25	14.26	0.00076
GO:0002684	positive regulation of immune system process	257	111	81.44	0.00076
GO:0001662	behavioral fear response	27	17	8.56	8e-04
GO:1900073	regulation of neuromuscular synaptic transmission	27	17	8.56	8e-04
GO:0002833	positive regulation of response to biotic stimulus	67	34	21.23	0.00087
GO:0045087	innate immune response	190	81	60.21	0.00087
GO:0050919	negative chemotaxis	25	16	7.92	0.00088
GO:0007498	mesoderm development	147	65	46.58	0.00088
GO:0003073	regulation of systemic arterial blood pressure	34	20	10.77	0.00097
GO:0001694	histamine biosynthetic process	6	6	1.9	0.00101
GO:0007540	sex determination, establishment of X:A ratio	6	6	1.9	0.00101
GO:2000974	negative regulation of pro-B cell differentiation	6	6	1.9	0.00101
GO:0072337	modified amino acid transport	21	14	6.65	0.00103
GO:0008306	associative learning	80	39	25.35	0.00103
GO:0046331	lateral inhibition	13	10	4.12	0.00105
GO:0035924	cellular response to vascular endothelial growth factor stimulus	19	13	6.02	0.00109
GO:0007157	heterophilic cell-cell adhesion via plasma membrane cell adhesion molecules	19	13	6.02	0.00109
GO:0010888	negative regulation of lipid storage	19	13	6.02	0.00109
GO:0035160	maintenance of epithelial integrity, open tracheal system	15	11	4.75	0.00112
GO:0045616	regulation of keratinocyte differentiation	17	12	5.39	0.00112
GO:1903169	regulation of calcium ion transmembrane transport	58	30	18.38	0.00116
GO:0051240	positive regulation of multicellular organismal process	616	230	195.2	0.00117
GO:0009791	post-embryonic development	622	266	197.1	0.00123
GO:0007268	chemical synaptic transmission	452	194	143.23	0.00132
GO:0007422	peripheral nervous system development	86	41	27.25	0.00135
GO:0072089	stem cell proliferation	44	24	13.94	0.00137
GO:0003018	vascular process in circulatory system	50	30	15.84	0.00139
GO:0014016	neuroblast differentiation	49	26	15.53	0.0015
GO:0014070	response to organic cyclic compound	458	181	145.13	0.00152
GO:0021954	central nervous system neuron development	54	28	17.11	0.00159
GO:0060079	excitatory postsynaptic potential	42	23	13.31	0.0016
GO:0006936	muscle contraction	139	66	44.05	0.00162
GO:0017143	insecticide metabolic process	26	16	8.24	0.00162
GO:0060173	limb development	110	50	34.86	0.00162
GO:0045931	positive regulation of mitotic cell cycle	97	45	30.74	0.00164
GO:0009967	positive regulation of signal transduction	643	261	203.75	0.00164
GO:0007399	nervous system development	1689	667	535.21	0.00165
GO:0016079	synaptic vesicle exocytosis	87	41	27.57	0.00179
GO:0060674	placenta blood vessel development	24	15	7.61	0.00181
GO:0043052	thermotaxis	24	15	7.61	0.00181
GO:0045599	negative regulation of fat cell differentiation	24	15	7.61	0.00181
GO:0046667	compound eye retinal cell programmed cell death	28	21	8.87	0.00181
GO:0033700	phospholipid efflux	8	7	2.54	0.00185
GO:0048790	maintenance of presynaptic active zone structure	8	7	2.54	0.00185
GO:0001700	embryonic development via the syncytial blastoderm	156	67	49.43	0.00187
GO:0009950	dorsal/ventral axis specification	72	35	22.82	0.00195
GO:0031349	positive regulation of defense response	67	33	21.23	0.00197
GO:0006813	potassium ion transport	103	47	32.64	0.002
GO:0061045	negative regulation of wound healing	22	14	6.97	0.00202
GO:0042060	wound healing	228	104	72.25	0.00202
GO:0030168	platelet activation	31	18	9.82	0.00213
GO:0043279	response to alkaloid	82	44	25.98	0.00218
GO:0016477	cell migration	693	286	219.6	0.00221
GO:0002164	larval development	149	70	47.22	0.00223
GO:0016331	morphogenesis of embryonic epithelium	198	82	62.74	0.00223
GO:0051967	negative regulation of synaptic transmission, glutamatergic	10	8	3.17	0.00235
GO:0045944	positive regulation of transcription by RNA polymerase II	644	237	204.07	0.00238
GO:0000122	negative regulation of transcription by RNA polymerase II	489	184	154.95	0.0024
GO:0061343	cell adhesion involved in heart morphogenesis	18	12	5.7	0.0024
GO:0034333	adherens junction assembly	18	12	5.7	0.0024
GO:0031279	regulation of cyclase activity	18	12	5.7	0.0024
GO:0051339	regulation of lyase activity	18	12	5.7	0.0024
GO:0019852	L-ascorbic acid metabolic process	18	12	5.7	0.0024
GO:0009820	alkaloid metabolic process	29	17	9.19	0.00245
GO:0035152	regulation of tube architecture, open tracheal system	114	62	36.12	0.00248
GO:0048863	stem cell differentiation	163	69	51.65	0.00252
GO:0007435	salivary gland morphogenesis	104	47	32.96	0.00254
GO:0030540	female genitalia development	16	11	5.07	0.00255
GO:0009617	response to bacterium	280	111	88.73	0.00258
GO:0007415	defasciculation of motor neuron axon	12	9	3.8	0.00258
GO:0048821	erythrocyte development	12	9	3.8	0.00258
GO:0017015	regulation of transforming growth factor beta receptor signaling pathway	58	29	18.38	0.00272
GO:0035206	regulation of hemocyte proliferation	27	16	8.56	0.00281
GO:0042220	response to cocaine	27	16	8.56	0.00281
GO:0006584	catecholamine metabolic process	41	22	12.99	0.00283
GO:0035159	regulation of tube length, open tracheal system	41	22	12.99	0.00283
GO:0002009	morphogenesis of an epithelium	751	316	237.98	0.00284
GO:0051851	modulation by host of symbiont process	34	19	10.77	0.00295
GO:0042886	amide transport	134	58	42.46	0.00295
GO:0051937	catecholamine transport	46	24	14.58	0.00303
GO:0048565	digestive tract development	161	71	51.02	0.00303
GO:0022404	molting cycle process	151	70	47.85	0.00311
GO:0021675	nerve development	51	26	16.16	0.00315
GO:0098917	retrograde trans-synaptic signaling	5	5	1.58	0.00319
GO:0006212	uracil catabolic process	5	5	1.58	0.00319
GO:0030007	cellular potassium ion homeostasis	5	5	1.58	0.00319
GO:0035165	embryonic crystal cell differentiation	5	5	1.58	0.00319
GO:0061106	negative regulation of stomach neuroendocrine cell differentiation	5	5	1.58	0.00319
GO:2000227	negative regulation of pancreatic A cell differentiation	5	5	1.58	0.00319
GO:0034351	negative regulation of glial cell apoptotic process	5	5	1.58	0.00319
GO:2000977	regulation of forebrain neuron differentiation	5	5	1.58	0.00319
GO:0051494	negative regulation of cytoskeleton organization	61	30	19.33	0.00319
GO:0010812	negative regulation of cell-substrate adhesion	25	15	7.92	0.00321
GO:0008284	positive regulation of cell population proliferation	399	152	126.44	0.00322
GO:0001894	tissue homeostasis	132	67	41.83	0.00334
GO:0043542	endothelial cell migration	92	42	29.15	0.00334
GO:0042386	hemocyte differentiation	43	26	13.63	0.00337
