GO.ID	Term	Annotated	Significant	Expected	elimFisher
GO:0008045	motor neuron axon guidance	64	35	13.36	2.6e-09
GO:0030336	negative regulation of cell migration	103	46	21.5	4.3e-08
GO:0007605	sensory perception of sound	134	55	27.97	7.6e-08
GO:0048598	embryonic morphogenesis	523	186	109.18	2.3e-07
GO:0045214	sarcomere organization	56	29	11.69	2.9e-07
GO:0007411	axon guidance	332	135	69.31	3.3e-07
GO:0008347	glial cell migration	45	25	9.39	3.3e-07
GO:0007015	actin filament organization	222	88	46.35	3.5e-07
GO:0007474	imaginal disc-derived wing vein specification	40	23	8.35	4.2e-07
GO:0051241	negative regulation of multicellular organismal process	483	165	100.83	4.3e-07
GO:0007498	mesoderm development	147	57	30.69	4.4e-07
GO:0007476	imaginal disc-derived wing morphogenesis	260	109	54.28	4.8e-07
GO:0030514	negative regulation of BMP signaling pathway	30	19	6.26	5.4e-07
GO:0007268	chemical synaptic transmission	452	164	94.36	9.5e-07
GO:0016203	muscle attachment	45	24	9.39	1.5e-06
GO:0016199	axon midline choice point recognition	37	21	7.72	1.8e-06
GO:0007419	ventral cord development	40	22	8.35	2.1e-06
GO:0000122	negative regulation of transcription by RNA polymerase II	489	144	102.08	2.5e-06
GO:0007424	open tracheal system development	244	110	50.94	2.5e-06
GO:0045475	locomotor rhythm	58	28	12.11	2.9e-06
GO:0030036	actin cytoskeleton organization	399	156	83.3	3.2e-06
GO:0046777	protein autophosphorylation	108	47	22.55	4e-06
GO:0060412	ventricular septum morphogenesis	33	19	6.89	4.2e-06
GO:0006813	potassium ion transport	103	44	21.5	5.9e-06
GO:0009887	animal organ morphogenesis	1047	372	218.57	6.6e-06
GO:0007422	peripheral nervous system development	86	36	17.95	7.8e-06
GO:0007157	heterophilic cell-cell adhesion via plasma membrane cell adhesion molecules	19	13	3.97	1e-05
GO:0009967	positive regulation of signal transduction	643	208	134.23	1.4e-05
GO:0007156	homophilic cell adhesion via plasma membrane adhesion molecules	38	20	7.93	1.5e-05
GO:0007215	glutamate receptor signaling pathway	30	20	6.26	1.6e-05
GO:0019991	septate junction assembly	47	23	9.81	1.7e-05
GO:0007416	synapse assembly	185	75	38.62	1.8e-05
GO:0042060	wound healing	228	85	47.6	1.9e-05
GO:0035160	maintenance of epithelial integrity, open tracheal system	15	11	3.13	1.9e-05
GO:0007613	memory	136	57	28.39	2e-05
GO:0021954	central nervous system neuron development	54	25	11.27	2.4e-05
GO:0071689	muscle thin filament assembly	9	8	1.88	2.6e-05
GO:0051239	regulation of multicellular organismal process	1313	422	274.11	2.6e-05
GO:0007435	salivary gland morphogenesis	104	40	21.71	2.8e-05
GO:0035152	regulation of tube architecture, open tracheal system	114	56	23.8	2.8e-05
GO:0007507	heart development	373	131	77.87	3e-05
GO:0070983	dendrite guidance	23	14	4.8	3.4e-05
GO:0014070	response to organic cyclic compound	458	141	95.61	4e-05
GO:0000904	cell morphogenesis involved in differentiation	679	249	141.75	4.4e-05
GO:0007519	skeletal muscle tissue development	113	42	23.59	4.6e-05
GO:0051050	positive regulation of transport	431	143	89.98	4.8e-05
GO:0048172	regulation of short-term neuronal synaptic plasticity	16	11	3.34	4.9e-05
GO:0007200	phospholipase C-activating G protein-coupled receptor signaling pathway	38	22	7.93	4.9e-05
GO:0072337	modified amino acid transport	21	13	4.38	5.1e-05
GO:0098609	cell-cell adhesion	265	107	55.32	6e-05
GO:0050832	defense response to fungus	35	18	7.31	6e-05
GO:0072089	stem cell proliferation	44	21	9.19	6.2e-05
GO:0007391	dorsal closure	97	37	20.25	6.8e-05
GO:0046578	regulation of Ras protein signal transduction	111	48	23.17	7.9e-05
GO:0051240	positive regulation of multicellular organismal process	616	183	128.6	8.1e-05
GO:0048813	dendrite morphogenesis	221	78	46.14	8.1e-05
GO:0007415	defasciculation of motor neuron axon	12	9	2.51	8.8e-05
GO:0016477	cell migration	693	249	144.67	8.8e-05
GO:0045944	positive regulation of transcription by RNA polymerase II	644	173	134.44	9.5e-05
GO:0060560	developmental growth involved in morphogenesis	207	80	43.21	9.7e-05
GO:0001736	establishment of planar polarity	125	50	26.1	1e-04
GO:0007169	transmembrane receptor protein tyrosine kinase signaling pathway	325	107	67.85	1e-04
GO:0007480	imaginal disc-derived leg morphogenesis	78	31	16.28	0.00011
GO:0016319	mushroom body development	68	28	14.2	0.00011
GO:0048790	maintenance of presynaptic active zone structure	8	7	1.67	0.00011
GO:0090287	regulation of cellular response to growth factor stimulus	151	63	31.52	0.00013
GO:2000027	regulation of animal organ morphogenesis	96	36	20.04	0.00013
GO:0048667	cell morphogenesis involved in neuron differentiation	602	219	125.68	0.00014
GO:0003073	regulation of systemic arterial blood pressure	34	17	7.1	0.00015
GO:0055117	regulation of cardiac muscle contraction	34	17	7.1	0.00015
GO:0045639	positive regulation of myeloid cell differentiation	37	18	7.72	0.00015
GO:0007274	neuromuscular synaptic transmission	83	35	17.33	0.00015
GO:0048252	lauric acid metabolic process	20	12	4.18	0.00015
GO:2000649	regulation of sodium ion transmembrane transporter activity	20	12	4.18	0.00015
GO:0043279	response to alkaloid	82	35	17.12	0.00016
GO:0006936	muscle contraction	139	55	29.02	0.00018
GO:0002064	epithelial cell development	387	124	80.79	0.00019
GO:0048844	artery morphogenesis	54	26	11.27	2e-04
GO:0060122	inner ear receptor cell stereocilium organization	26	14	5.43	0.00021
GO:0035159	regulation of tube length, open tracheal system	41	19	8.56	0.00022
GO:0008355	olfactory learning	38	18	7.93	0.00023
GO:0140115	export across plasma membrane	18	11	3.76	0.00023
GO:0048730	epidermis morphogenesis	18	11	3.76	0.00023
