GO.ID	Term	Annotated	Significant	Expected	elimFisher
GO:0014068	positive regulation of phosphatidylinositol 3-kinase signaling	38	29	12.58	5.8e-08
GO:0035814	negative regulation of renal sodium excretion	28	23	9.27	1.3e-07
GO:0045597	positive regulation of cell differentiation	233	127	77.14	3.3e-07
GO:0051093	negative regulation of developmental process	307	164	101.64	1.5e-06
GO:0007156	homophilic cell adhesion via plasma membrane adhesion molecules	42	29	13.91	2e-06
GO:0043525	positive regulation of neuron apoptotic process	29	22	9.6	2.9e-06
GO:0040011	locomotion	899	439	297.64	4.3e-06
GO:0048172	regulation of short-term neuronal synaptic plasticity	19	16	6.29	6.5e-06
GO:0008217	regulation of blood pressure	75	49	24.83	7.6e-06
GO:0050729	positive regulation of inflammatory response	36	25	11.92	8.7e-06
GO:0030335	positive regulation of cell migration	229	115	75.82	1.2e-05
GO:0003002	regionalization	138	70	45.69	1.3e-05
GO:0007274	neuromuscular synaptic transmission	47	30	15.56	1.5e-05
GO:0007157	heterophilic cell-cell adhesion via plasma membrane cell adhesion molecules	31	22	10.26	1.8e-05
GO:0050806	positive regulation of synaptic transmission	104	62	34.43	2.2e-05
GO:0018149	peptide cross-linking	20	16	6.62	2.2e-05
GO:0007417	central nervous system development	260	134	86.08	2.4e-05
GO:0010596	negative regulation of endothelial cell migration	15	13	4.97	2.9e-05
GO:0006937	regulation of muscle contraction	122	76	40.39	3.2e-05
GO:0050805	negative regulation of synaptic transmission	84	46	27.81	3.4e-05
GO:0007635	chemosensory behavior	40	26	13.24	3.5e-05
GO:0042325	regulation of phosphorylation	489	217	161.9	6.3e-05
GO:0043001	Golgi to plasma membrane protein transport	35	23	11.59	7.8e-05
GO:0035336	long-chain fatty-acyl-CoA metabolic process	25	18	8.28	7.8e-05
GO:0001523	retinoid metabolic process	39	28	12.91	8.1e-05
GO:0043051	regulation of pharyngeal pumping	27	19	8.94	8.2e-05
GO:0014070	response to organic cyclic compound	642	297	212.55	8.3e-05
GO:0051240	positive regulation of multicellular organismal process	512	243	169.51	8.4e-05
GO:0042330	taxis	243	129	80.45	8.9e-05
GO:0048638	regulation of developmental growth	209	105	69.19	9.4e-05
GO:0001558	regulation of cell growth	113	57	37.41	9.7e-05
GO:0032331	negative regulation of chondrocyte differentiation	11	10	3.64	0.00012
GO:0055117	regulation of cardiac muscle contraction	38	24	12.58	0.00014
GO:0030656	regulation of vitamin metabolic process	8	8	2.65	0.00014
GO:1903779	regulation of cardiac conduction	34	22	11.26	0.00016
GO:1903532	positive regulation of secretion by cell	205	110	67.87	0.00016
GO:2000243	positive regulation of reproductive process	137	66	45.36	0.00017
GO:0035270	endocrine system development	30	20	9.93	0.00017
GO:0048146	positive regulation of fibroblast proliferation	47	28	15.56	0.00017
GO:0008611	ether lipid biosynthetic process	28	19	9.27	0.00018
GO:0071260	cellular response to mechanical stimulus	56	32	18.54	0.00018
GO:0048168	regulation of neuronal synaptic plasticity	55	38	18.21	0.00019
GO:0042060	wound healing	135	68	44.7	0.00021
GO:0007173	epidermal growth factor receptor signaling pathway	61	34	20.2	0.00022
GO:0048646	anatomical structure formation involved in morphogenesis	399	198	132.1	0.00024
GO:0019233	sensory perception of pain	50	29	16.55	0.00025
GO:0045833	negative regulation of lipid metabolic process	72	42	23.84	0.00027
GO:0003401	axis elongation	10	9	3.31	0.00033
GO:0048260	positive regulation of receptor-mediated endocytosis	62	34	20.53	0.00034
GO:0046627	negative regulation of insulin receptor signaling pathway	19	14	6.29	0.00035
GO:0003073	regulation of systemic arterial blood pressure	29	19	9.6	0.00035
GO:0043052	thermotaxis	25	17	8.28	0.00037
GO:0030856	regulation of epithelial cell differentiation	51	29	16.88	4e-04
GO:0006355	regulation of transcription, DNA-templated	576	232	190.7	0.00042
GO:1903998	regulation of eating behavior	47	35	15.56	0.00042
GO:0006954	inflammatory response	167	87	55.29	0.00043
GO:0001894	tissue homeostasis	72	38	23.84	0.00043
GO:0050849	negative regulation of calcium-mediated signaling	7	7	2.32	0.00043
GO:0006909	phagocytosis	136	70	45.03	0.00044
GO:0030182	neuron differentiation	344	166	113.89	0.00044
GO:0045165	cell fate commitment	121	58	40.06	0.00048
GO:0035107	appendage morphogenesis	49	31	16.22	0.00051
GO:2000811	negative regulation of anoikis	12	10	3.97	0.00051
GO:0001525	angiogenesis	101	54	33.44	0.00054
GO:0032228	regulation of synaptic transmission, GABAergic	34	21	11.26	0.00056
GO:0051491	positive regulation of filopodium assembly	34	21	11.26	0.00056
GO:0007626	locomotory behavior	167	91	55.29	0.00057
GO:0045989	positive regulation of striated muscle contraction	14	11	4.64	0.00064
GO:0045214	sarcomere organization	38	26	12.58	0.00065
GO:0008285	negative regulation of cell population proliferation	138	76	45.69	7e-04
GO:0007411	axon guidance	50	28	16.55	7e-04
GO:0014910	regulation of smooth muscle cell migration	28	18	9.27	0.00071
GO:0007188	adenylate cyclase-modulating G protein-coupled receptor signaling pathway	28	18	9.27	0.00071
GO:0009987	cellular process	10685	3642	3537.53	0.00071
GO:0051241	negative regulation of multicellular organismal process	388	202	128.46	0.00073
GO:0035082	axoneme assembly	22	15	7.28	8e-04
GO:0035023	regulation of Rho protein signal transduction	22	15	7.28	8e-04
GO:1902170	cellular response to reactive nitrogen species	20	14	6.62	0.00081
GO:0007615	anesthesia-resistant memory	20	14	6.62	0.00081
GO:0062014	negative regulation of small molecule metabolic process	66	39	21.85	0.00081
GO:0051954	positive regulation of amine transport	62	37	20.53	0.00088
GO:0031670	cellular response to nutrient	37	22	12.25	0.00088
GO:0051928	positive regulation of calcium ion transport	37	22	12.25	0.00088
GO:0018107	peptidyl-threonine phosphorylation	46	26	15.23	9e-04
GO:0030218	erythrocyte differentiation	46	26	15.23	9e-04
GO:0048041	focal adhesion assembly	46	29	15.23	9e-04
GO:1901509	regulation of endothelial tube morphogenesis	9	8	2.98	0.00091
GO:2000292	regulation of defecation	9	8	2.98	0.00091
GO:0014015	positive regulation of gliogenesis	9	8	2.98	0.00091
GO:1904193	negative regulation of cholangiocyte apoptotic process	9	8	2.98	0.00091
GO:0035176	social behavior	60	32	19.86	0.00095
GO:0035774	positive regulation of insulin secretion involved in cellular response to glucose stimulus	35	21	11.59	0.00097
GO:0048839	inner ear development	35	21	11.59	0.00097
GO:0006898	receptor-mediated endocytosis	141	73	46.68	0.00098
GO:0050673	epithelial cell proliferation	134	77	44.36	0.00099
GO:0099173	postsynapse organization	77	39	25.49	0.00105
GO:0001935	endothelial cell proliferation	58	31	19.2	0.00108
GO:0007186	G protein-coupled receptor signaling pathway	211	115	69.86	0.00109
GO:1902533	positive regulation of intracellular signal transduction	327	162	108.26	0.00111
GO:0007160	cell-matrix adhesion	77	48	25.49	0.00112
GO:0007628	adult walking behavior	42	24	13.91	0.00114
GO:0055082	cellular chemical homeostasis	338	173	111.9	0.00116
GO:0018105	peptidyl-serine phosphorylation	63	33	20.86	0.0012
GO:0007416	synapse assembly	82	51	27.15	0.00122
GO:0030198	extracellular matrix organization	126	64	41.72	0.00124
GO:0031960	response to corticosteroid	95	51	31.45	0.00125
GO:0007528	neuromuscular junction development	135	71	44.7	0.00126
GO:0055074	calcium ion homeostasis	145	77	48.01	0.00126
GO:0007601	visual perception	40	23	13.24	0.00128
GO:0035994	response to muscle stretch	29	18	9.6	0.00129
GO:0033363	secretory granule organization	11	9	3.64	0.00129
GO:0002031	G protein-coupled receptor internalization	11	9	3.64	0.00129
GO:0010460	positive regulation of heart rate	11	9	3.64	0.00129
GO:1902931	negative regulation of alcohol biosynthetic process	11	9	3.64	0.00129
GO:1904637	cellular response to ionomycin	6	6	1.99	0.00131
GO:2001140	positive regulation of phospholipid transport	6	6	1.99	0.00131
GO:0014889	muscle atrophy	6	6	1.99	0.00131
GO:1902083	negative regulation of peptidyl-cysteine S-nitrosylation	6	6	1.99	0.00131
GO:1903999	negative regulation of eating behavior	6	6	1.99	0.00131
GO:0071245	cellular response to carbon monoxide	6	6	1.99	0.00131
GO:1901700	response to oxygen-containing compound	967	430	320.15	0.00137
GO:0007589	body fluid secretion	47	26	15.56	0.00138
GO:0090288	negative regulation of cellular response to growth factor stimulus	27	17	8.94	0.0014
GO:0051899	membrane depolarization	54	29	17.88	0.0014
GO:0008306	associative learning	66	34	21.85	0.00148
GO:0048639	positive regulation of developmental growth	118	55	39.07	0.00151
GO:0002053	positive regulation of mesenchymal cell proliferation	13	10	4.3	0.00154
GO:1900194	negative regulation of oocyte maturation	13	10	4.3	0.00154
GO:0045725	positive regulation of glycogen biosynthetic process	13	10	4.3	0.00154
GO:0043627	response to estrogen	98	47	32.45	0.00155
GO:0051896	regulation of protein kinase B signaling	59	31	19.53	0.00156
GO:0042594	response to starvation	136	62	45.03	0.00156
GO:0030500	regulation of bone mineralization	34	23	11.26	0.00166
GO:0045216	cell-cell junction organization	125	61	41.38	0.00167
GO:0002026	regulation of the force of heart contraction	21	14	6.95	0.00168
GO:0032222	regulation of synaptic transmission, cholinergic	21	14	6.95	0.00168
GO:0033280	response to vitamin D	15	11	4.97	0.00169
GO:0030322	stabilization of membrane potential	15	11	4.97	0.00169
GO:1900746	regulation of vascular endothelial growth factor signaling pathway	15	11	4.97	0.00169
GO:0042100	B cell proliferation	15	11	4.97	0.00169
GO:0001763	morphogenesis of a branching structure	69	39	22.84	0.00173
