GO.ID	Term	Annotated	Significant	Expected	elimFisher
GO:0014068	positive regulation of phosphatidylinositol 3-kinase signaling	38	28	8.6	3.2e-11
GO:0040011	locomotion	899	384	203.43	1.9e-10
GO:0007156	homophilic cell adhesion via plasma membrane adhesion molecules	42	29	9.5	5.6e-09
GO:0007274	neuromuscular synaptic transmission	47	29	10.64	9.7e-09
GO:0051093	negative regulation of developmental process	307	145	69.47	1.4e-08
GO:0043525	positive regulation of neuron apoptotic process	29	21	6.56	1.6e-08
GO:0051241	negative regulation of multicellular organismal process	388	166	87.8	3.1e-08
GO:0007528	neuromuscular junction development	135	66	30.55	3.7e-08
GO:0006355	regulation of transcription, DNA-templated	576	188	130.34	1e-07
GO:0048172	regulation of short-term neuronal synaptic plasticity	19	15	4.3	3e-07
GO:0071260	cellular response to mechanical stimulus	56	30	12.67	4.5e-07
GO:0007157	heterophilic cell-cell adhesion via plasma membrane cell adhesion molecules	31	20	7.01	7.1e-07
GO:0050729	positive regulation of inflammatory response	36	22	8.15	7.7e-07
GO:0030335	positive regulation of cell migration	229	107	51.82	8.4e-07
GO:0018105	peptidyl-serine phosphorylation	63	32	14.26	9.1e-07
GO:0043001	Golgi to plasma membrane protein transport	35	21	7.92	2.1e-06
GO:0018107	peptidyl-threonine phosphorylation	46	25	10.41	2.9e-06
GO:0032331	negative regulation of chondrocyte differentiation	11	10	2.49	3e-06
GO:0035176	social behavior	60	30	13.58	3e-06
GO:0046627	negative regulation of insulin receptor signaling pathway	19	14	4.3	3.2e-06
GO:0048168	regulation of neuronal synaptic plasticity	55	35	12.45	3.6e-06
GO:0048146	positive regulation of fibroblast proliferation	47	25	10.64	4.8e-06
GO:0007411	axon guidance	50	26	11.31	5.5e-06
GO:0032989	cellular component morphogenesis	387	164	87.57	5.7e-06
GO:0007631	feeding behavior	96	52	21.72	5.8e-06
GO:0007628	adult walking behavior	42	23	9.5	6.1e-06
GO:0035023	regulation of Rho protein signal transduction	22	15	4.98	6.6e-06
GO:0042325	regulation of phosphorylation	489	185	110.65	6.7e-06
GO:0051893	regulation of focal adhesion assembly	37	21	8.37	7.2e-06
GO:0030010	establishment of cell polarity	131	52	29.64	7.9e-06
GO:0030182	neuron differentiation	344	153	77.84	8.3e-06
GO:0072659	protein localization to plasma membrane	152	73	34.39	9e-06
GO:0007173	epidermal growth factor receptor signaling pathway	61	32	13.8	1e-05
GO:0007009	plasma membrane organization	66	31	14.93	1.1e-05
GO:0008217	regulation of blood pressure	75	38	16.97	1.1e-05
GO:0045214	sarcomere organization	38	25	8.6	1.1e-05
GO:0007416	synapse assembly	82	46	18.56	1.4e-05
GO:0007417	central nervous system development	260	121	58.83	1.4e-05
GO:2000811	negative regulation of anoikis	12	10	2.72	1.4e-05
GO:0010613	positive regulation of cardiac muscle hypertrophy	33	19	7.47	1.5e-05
GO:0007186	G protein-coupled receptor signaling pathway	211	103	47.75	1.5e-05
GO:2000243	positive regulation of reproductive process	137	53	31	1.6e-05
GO:0048646	anatomical structure formation involved in morphogenesis	399	172	90.29	1.6e-05
GO:0043627	response to estrogen	98	41	22.18	1.6e-05
GO:0007589	body fluid secretion	47	24	10.64	1.9e-05
GO:0002026	regulation of the force of heart contraction	21	14	4.75	2e-05
GO:1903078	positive regulation of protein localization to plasma membrane	19	13	4.3	2.7e-05
GO:0051491	positive regulation of filopodium assembly	34	19	7.69	2.7e-05
GO:0071407	cellular response to organic cyclic compound	266	104	60.19	2.8e-05
GO:0042060	wound healing	135	60	30.55	2.9e-05
GO:1902305	regulation of sodium ion transmembrane transport	38	23	8.6	3e-05
GO:0050803	regulation of synapse structure or activity	125	60	28.29	3.8e-05
GO:0010634	positive regulation of epithelial cell migration	102	46	23.08	3.9e-05
GO:0030322	stabilization of membrane potential	15	11	3.39	4.2e-05
GO:0010596	negative regulation of endothelial cell migration	15	11	3.39	4.2e-05
GO:0042100	B cell proliferation	15	11	3.39	4.2e-05
GO:0019228	neuronal action potential	22	14	4.98	4.4e-05
GO:0043051	regulation of pharyngeal pumping	27	16	6.11	4.4e-05
GO:0010812	negative regulation of cell-substrate adhesion	27	16	6.11	4.4e-05
GO:0022612	gland morphogenesis	35	19	7.92	4.6e-05
GO:0048041	focal adhesion assembly	46	29	10.41	4.7e-05
GO:1901509	regulation of endothelial tube morphogenesis	9	8	2.04	4.9e-05
GO:1904193	negative regulation of cholangiocyte apoptotic process	9	8	2.04	4.9e-05
GO:0002053	positive regulation of mesenchymal cell proliferation	13	10	2.94	5e-05
GO:0045725	positive regulation of glycogen biosynthetic process	13	10	2.94	5e-05
GO:0070374	positive regulation of ERK1 and ERK2 cascade	38	20	8.6	5.3e-05
GO:0001934	positive regulation of protein phosphorylation	158	66	35.75	5.3e-05
GO:0033363	secretory granule organization	11	9	2.49	5.4e-05
GO:0010460	positive regulation of heart rate	11	9	2.49	5.4e-05
GO:0006898	receptor-mediated endocytosis	141	64	31.91	5.7e-05
GO:0044351	macropinocytosis	20	13	4.53	6e-05
GO:0018149	peptide cross-linking	20	13	4.53	6e-05
GO:0017158	regulation of calcium ion-dependent exocytosis	20	13	4.53	6e-05
GO:0050905	neuromuscular process	49	27	11.09	6.1e-05
GO:0071396	cellular response to lipid	244	97	55.21	6.3e-05
GO:0046579	positive regulation of Ras protein signal transduction	25	15	5.66	6.3e-05
GO:1904646	cellular response to amyloid-beta	44	22	9.96	6.3e-05
GO:0051239	regulation of multicellular organismal process	1150	464	260.22	6.3e-05
GO:0031960	response to corticosteroid	95	43	21.5	7.7e-05
GO:0007635	chemosensory behavior	40	26	9.05	7.9e-05
GO:0007188	adenylate cyclase-modulating G protein-coupled receptor signaling pathway	28	16	6.34	8.1e-05
GO:0014059	regulation of dopamine secretion	28	16	6.34	8.1e-05
GO:0032502	developmental process	2781	936	629.29	8.1e-05
GO:0001523	retinoid metabolic process	39	20	8.82	8.5e-05
GO:0051492	regulation of stress fiber assembly	23	14	5.2	8.9e-05
GO:0009967	positive regulation of signal transduction	558	216	126.26	8.9e-05
GO:0045807	positive regulation of endocytosis	106	47	23.99	9.2e-05
GO:0045785	positive regulation of cell adhesion	125	57	28.29	9.2e-05
GO:0006937	regulation of muscle contraction	122	67	27.61	9.6e-05
GO:0014823	response to activity	63	28	14.26	9.8e-05
GO:1903779	regulation of cardiac conduction	34	18	7.69	0.00011
GO:0008544	epidermis development	82	37	18.56	0.00012
GO:0050806	positive regulation of synaptic transmission	104	57	23.53	0.00012
GO:0055074	calcium ion homeostasis	145	67	32.81	0.00013
GO:1904637	cellular response to ionomycin	6	6	1.36	0.00013
GO:2001140	positive regulation of phospholipid transport	6	6	1.36	0.00013
GO:0014889	muscle atrophy	6	6	1.36	0.00013
GO:0030007	cellular potassium ion homeostasis	14	10	3.17	0.00014
GO:0043113	receptor clustering	58	26	13.12	0.00015
GO:0030198	extracellular matrix organization	126	59	28.51	0.00015
GO:0046928	regulation of neurotransmitter secretion	69	34	15.61	0.00016
GO:0045216	cell-cell junction organization	125	54	28.29	0.00016
GO:0010976	positive regulation of neuron projection development	32	17	7.24	0.00017
GO:0007200	phospholipase C-activating G protein-coupled receptor signaling pathway	12	9	2.72	0.00017
GO:0043931	ossification involved in bone maturation	12	9	2.72	0.00017
GO:0030501	positive regulation of bone mineralization	19	12	4.3	0.00018
GO:0043267	negative regulation of potassium ion transport	19	12	4.3	0.00018
GO:0030167	proteoglycan catabolic process	8	7	1.81	0.00019
GO:1903944	negative regulation of hepatocyte apoptotic process	8	7	1.81	0.00019
GO:0048483	autonomic nervous system development	8	7	1.81	0.00019
GO:0030656	regulation of vitamin metabolic process	8	7	1.81	0.00019
GO:1902842	negative regulation of netrin-activated signaling pathway	8	7	1.81	0.00019
GO:0060298	positive regulation of sarcomere organization	8	7	1.81	0.00019
GO:0048790	maintenance of presynaptic active zone structure	10	8	2.26	2e-04
GO:0030199	collagen fibril organization	41	20	9.28	0.00021
GO:0048639	positive regulation of developmental growth	118	49	26.7	0.00022
GO:0051240	positive regulation of multicellular organismal process	512	210	115.86	0.00022
GO:0055117	regulation of cardiac muscle contraction	38	22	8.6	0.00024
GO:0001662	behavioral fear response	17	11	3.85	0.00024
GO:0046326	positive regulation of glucose import	17	11	3.85	0.00024
GO:0022602	ovulation cycle process	17	11	3.85	0.00024
GO:0007626	locomotory behavior	167	85	37.79	0.00025
GO:0050673	epithelial cell proliferation	134	67	30.32	0.00027
