GO.ID	Term	Annotated	Significant	Expected	elimFisher
GO:0009987	cellular process	10685	2260	2078.72	2.2e-29
GO:0000184	nuclear-transcribed mRNA catabolic process, nonsense-mediated decay	76	42	14.79	4.1e-12
GO:0043170	macromolecule metabolic process	4351	1155	846.47	1.3e-11
GO:0008152	metabolic process	7209	1688	1402.48	5.3e-09
GO:0000462	maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)	14	11	2.72	3e-06
GO:0032268	regulation of cellular protein metabolic process	1213	316	235.98	9.2e-06
GO:0010501	RNA secondary structure unwinding	28	16	5.45	1.1e-05
GO:0006418	tRNA aminoacylation for protein translation	31	17	6.03	1.2e-05
GO:0010216	maintenance of DNA methylation	11	9	2.14	1.5e-05
GO:1902969	mitotic DNA replication	18	12	3.5	1.6e-05
GO:0034644	cellular response to UV	73	30	14.2	1.7e-05
GO:0006333	chromatin assembly or disassembly	50	23	9.73	1.8e-05
GO:0006312	mitotic recombination	16	11	3.11	2.4e-05
GO:1901796	regulation of signal transduction by p53 class mediator	78	34	15.17	2.7e-05
GO:0090329	regulation of DNA-dependent DNA replication	27	15	5.25	3.3e-05
GO:0009555	pollen development	37	18	7.2	5.9e-05
GO:0000463	maturation of LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)	8	7	1.56	7e-05
GO:0044818	mitotic G2/M transition checkpoint	8	7	1.56	7e-05
GO:0006283	transcription-coupled nucleotide-excision repair	20	12	3.89	7.5e-05
GO:0034728	nucleosome organization	44	20	8.56	7.8e-05
GO:0006364	rRNA processing	59	41	11.48	8.7e-05
GO:0044774	mitotic DNA integrity checkpoint signaling	23	13	4.47	8.9e-05
GO:0007131	reciprocal meiotic recombination	29	15	5.64	1e-04
GO:0051276	chromosome organization	409	153	79.57	0.00011
GO:0006271	DNA strand elongation involved in DNA replication	13	9	2.53	0.00013
GO:0006289	nucleotide-excision repair	49	29	9.53	0.00014
GO:0006886	intracellular protein transport	557	151	108.36	0.00016
GO:0000398	mRNA splicing, via spliceosome	107	37	20.82	0.00016
GO:0006626	protein targeting to mitochondrion	37	17	7.2	0.00023
GO:0010569	regulation of double-strand break repair via homologous recombination	19	11	3.7	0.00024
GO:0006284	base-excision repair	9	7	1.75	0.00026
GO:0006397	mRNA processing	158	58	30.74	0.00026
GO:0090305	nucleic acid phosphodiester bond hydrolysis	35	19	6.81	0.00027
GO:0044417	translocation of molecules into host	5	5	0.97	0.00028
GO:0070651	nonfunctional rRNA decay	7	6	1.36	0.00031
GO:0045910	negative regulation of DNA recombination	7	6	1.36	0.00031
GO:0046686	response to cadmium ion	62	24	12.06	0.00034
GO:0007040	lysosome organization	35	16	6.81	0.00037
GO:0032212	positive regulation of telomere maintenance via telomerase	17	10	3.31	0.00039
GO:0071364	cellular response to epidermal growth factor stimulus	32	15	6.23	4e-04
GO:0000028	ribosomal small subunit assembly	12	8	2.33	0.00047
GO:2000780	negative regulation of double-strand break repair	12	8	2.33	0.00047
GO:0071480	cellular response to gamma radiation	15	9	2.92	0.00063
GO:0006293	nucleotide-excision repair, preincision complex stabilization	10	7	1.95	0.00072
GO:0002312	B cell activation involved in immune response	10	7	1.95	0.00072
GO:1904356	regulation of telomere maintenance via telomere lengthening	38	21	7.39	0.00073
GO:0022618	ribonucleoprotein complex assembly	92	36	17.9	0.00074
GO:0051984	positive regulation of chromosome segregation	13	8	2.53	0.00102
GO:0071028	nuclear mRNA surveillance	13	10	2.53	0.00104
GO:0000076	DNA replication checkpoint signaling	8	6	1.56	0.00105
GO:0031053	primary miRNA processing	8	6	1.56	0.00105
GO:0016078	tRNA catabolic process	8	6	1.56	0.00105
GO:0008340	determination of adult lifespan	59	22	11.48	0.00106
GO:0000122	negative regulation of transcription by RNA polymerase II	97	32	18.87	0.00108
GO:0000291	nuclear-transcribed mRNA catabolic process, exonucleolytic	19	10	3.7	0.00125
GO:2001242	regulation of intrinsic apoptotic signaling pathway	49	19	9.53	0.00133
GO:0031123	RNA 3'-end processing	49	19	9.53	0.00133
GO:0000470	maturation of LSU-rRNA	12	11	2.33	0.00142
GO:0000460	maturation of 5.8S rRNA	11	9	2.14	0.00142
GO:0065004	protein-DNA complex assembly	53	20	10.31	0.00149
GO:0008156	negative regulation of DNA replication	11	7	2.14	0.00165
GO:0018205	peptidyl-lysine modification	140	42	27.24	0.00175
GO:0032456	endocytic recycling	50	19	9.73	0.00176
GO:2001021	negative regulation of response to DNA damage stimulus	26	16	5.06	0.00194
GO:0031297	replication fork processing	14	8	2.72	0.00198
GO:0000077	DNA damage checkpoint signaling	20	10	3.89	0.00207
GO:0031453	positive regulation of heterochromatin assembly	17	9	3.31	0.00209
GO:0006303	double-strand break repair via nonhomologous end joining	17	9	3.31	0.00209
GO:2001020	regulation of response to DNA damage stimulus	76	38	14.79	0.00234
GO:0061077	chaperone-mediated protein folding	30	13	5.84	0.00238
GO:0010587	miRNA catabolic process	9	6	1.75	0.00263
GO:0010467	gene expression	1783	522	346.87	0.00305
GO:0006457	protein folding	81	34	15.76	0.00309
GO:1902275	regulation of chromatin organization	38	19	7.39	0.00321
GO:0010918	positive regulation of mitochondrial membrane potential	12	7	2.33	0.00329
GO:0009644	response to high light intensity	12	7	2.33	0.00329
GO:0070301	cellular response to hydrogen peroxide	38	15	7.39	0.00341
GO:1903332	regulation of protein folding	15	8	2.92	0.00352
GO:0016570	histone modification	158	45	30.74	0.00376
GO:0009451	RNA modification	49	21	9.53	0.00378
GO:0007062	sister chromatid cohesion	28	12	5.45	0.00388
GO:0000466	maturation of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)	7	5	1.36	0.0041
GO:0000469	cleavage involved in rRNA processing	7	5	1.36	0.0041
GO:0002098	tRNA wobble uridine modification	7	5	1.36	0.0041
GO:0071215	cellular response to abscisic acid stimulus	7	5	1.36	0.0041
GO:0000732	strand displacement	7	5	1.36	0.0041
GO:0061734	parkin-mediated stimulation of mitophagy in response to mitochondrial depolarization	7	5	1.36	0.0041
