GO.ID	Term	Annotated	Significant	Expected	elimFisher
GO:0040011	locomotion	899	240	102.46	2.7e-10
GO:1903507	negative regulation of nucleic acid-templated transcription	256	59	29.18	7.4e-10
GO:0060291	long-term synaptic potentiation	56	24	6.38	4e-08
GO:0007157	heterophilic cell-cell adhesion via plasma membrane cell adhesion molecules	31	16	3.53	4.2e-08
GO:0006355	regulation of transcription, DNA-templated	576	116	65.64	1.1e-07
GO:0042325	regulation of phosphorylation	489	117	55.73	1.1e-07
GO:0086013	membrane repolarization during cardiac muscle cell action potential	9	8	1.03	2.3e-07
GO:0030335	positive regulation of cell migration	229	66	26.1	2.4e-07
GO:0008542	visual learning	43	18	4.9	3.5e-07
GO:0007186	G protein-coupled receptor signaling pathway	211	58	24.05	3.7e-07
GO:0007156	homophilic cell adhesion via plasma membrane adhesion molecules	42	20	4.79	5.4e-07
GO:0016339	calcium-dependent cell-cell adhesion via plasma membrane cell adhesion molecules	32	15	3.65	5.7e-07
GO:0032502	developmental process	2781	531	316.94	1.1e-06
GO:0007628	adult walking behavior	42	17	4.79	1.3e-06
GO:0008039	synaptic target recognition	16	10	1.82	1.5e-06
GO:0007215	glutamate receptor signaling pathway	23	12	2.62	1.9e-06
GO:0035249	synaptic transmission, glutamatergic	61	26	6.95	2.2e-06
GO:0009968	negative regulation of signal transduction	413	92	47.07	2.6e-06
GO:0097151	positive regulation of inhibitory postsynaptic potential	11	8	1.25	3.4e-06
GO:0043542	endothelial cell migration	87	33	9.92	3.4e-06
GO:0048814	regulation of dendrite morphogenesis	36	15	4.1	3.6e-06
GO:0072659	protein localization to plasma membrane	152	37	17.32	5.1e-06
GO:0008284	positive regulation of cell population proliferation	165	39	18.8	6.2e-06
GO:1903688	positive regulation of border follicle cell migration	38	15	4.33	7.9e-06
GO:0033603	positive regulation of dopamine secretion	12	8	1.37	9.1e-06
GO:0086091	regulation of heart rate by cardiac conduction	12	8	1.37	9.1e-06
GO:1904504	positive regulation of lipophagy	12	8	1.37	9.1e-06
GO:0001941	postsynaptic membrane organization	40	20	4.56	9.1e-06
GO:0009886	post-embryonic animal morphogenesis	77	23	8.78	9.2e-06
GO:0001975	response to amphetamine	30	13	3.42	9.6e-06
GO:2000463	positive regulation of excitatory postsynaptic potential	19	10	2.17	1.3e-05
GO:0007528	neuromuscular junction development	135	40	15.39	1.3e-05
GO:0008285	negative regulation of cell population proliferation	138	39	15.73	1.3e-05
GO:0097104	postsynaptic membrane assembly	7	6	0.8	1.4e-05
GO:1904646	cellular response to amyloid-beta	44	16	5.01	1.4e-05
GO:0071277	cellular response to calcium ion	45	16	5.13	1.9e-05
GO:0033688	regulation of osteoblast proliferation	5	5	0.57	1.9e-05
GO:0051965	positive regulation of synapse assembly	29	14	3.31	2.1e-05
GO:0051968	positive regulation of synaptic transmission, glutamatergic	13	8	1.48	2.1e-05
GO:0060307	regulation of ventricular cardiac muscle cell membrane repolarization	10	7	1.14	2.2e-05
GO:0030534	adult behavior	78	32	8.89	2.2e-05
GO:0050805	negative regulation of synaptic transmission	84	30	9.57	2.5e-05
GO:0043627	response to estrogen	98	26	11.17	2.6e-05
GO:0051893	regulation of focal adhesion assembly	37	17	4.22	3.2e-05
GO:0010812	negative regulation of cell-substrate adhesion	27	15	3.08	3.2e-05
GO:0042682	regulation of compound eye cone cell fate specification	17	9	1.94	3.3e-05
GO:0022602	ovulation cycle process	17	9	1.94	3.3e-05
GO:0007416	synapse assembly	82	37	9.35	3.4e-05
GO:0007158	neuron cell-cell adhesion	21	10	2.39	3.9e-05
GO:0010632	regulation of epithelial cell migration	144	50	16.41	3.9e-05
GO:2000177	regulation of neural precursor cell proliferation	38	14	4.33	4e-05
GO:0030154	cell differentiation	1528	322	174.14	4.1e-05
GO:0007411	axon guidance	50	20	5.7	4.3e-05
GO:0051241	negative regulation of multicellular organismal process	388	98	44.22	4.4e-05
GO:0042053	regulation of dopamine metabolic process	14	8	1.6	4.4e-05
GO:0070593	dendrite self-avoidance	8	6	0.91	5e-05
GO:0010882	regulation of cardiac muscle contraction by calcium ion signaling	8	6	0.91	5e-05
GO:0006468	protein phosphorylation	498	112	56.76	5.3e-05
GO:0001709	cell fate determination	39	14	4.44	5.6e-05
GO:0071396	cellular response to lipid	244	52	27.81	6.2e-05
GO:0019228	neuronal action potential	22	10	2.51	6.4e-05
GO:0035176	social behavior	60	18	6.84	8e-05
GO:0035094	response to nicotine	31	12	3.53	8.1e-05
GO:0060024	rhythmic synaptic transmission	15	8	1.71	8.6e-05
GO:0010656	negative regulation of muscle cell apoptotic process	15	8	1.71	8.6e-05
GO:0006929	substrate-dependent cell migration	15	8	1.71	8.6e-05
GO:0051592	response to calcium ion	72	27	8.21	8.6e-05
GO:0045216	cell-cell junction organization	125	39	14.25	9e-05
GO:0090288	negative regulation of cellular response to growth factor stimulus	27	11	3.08	9.3e-05
GO:0006898	receptor-mediated endocytosis	141	32	16.07	9.4e-05
GO:0010715	regulation of extracellular matrix disassembly	19	9	2.17	1e-04
GO:0055085	transmembrane transport	452	117	51.51	1e-04
GO:0043252	sodium-independent organic anion transport	6	5	0.68	1e-04
GO:0030199	collagen fibril organization	41	14	4.67	1e-04
GO:0072137	condensed mesenchymal cell proliferation	12	7	1.37	0.00012
GO:0090394	negative regulation of excitatory postsynaptic potential	9	6	1.03	0.00013
GO:0090280	positive regulation of calcium ion import	9	6	1.03	0.00013
GO:0008016	regulation of heart contraction	109	41	12.42	0.00014
GO:0042981	regulation of apoptotic process	311	78	35.44	0.00015
GO:0097091	synaptic vesicle clustering	16	8	1.82	0.00015
GO:0034260	negative regulation of GTPase activity	16	8	1.82	0.00015
GO:0050919	negative chemotaxis	24	10	2.74	0.00016
GO:2000310	regulation of NMDA receptor activity	20	9	2.28	0.00016
GO:0050804	modulation of chemical synaptic transmission	296	88	33.73	0.00016
GO:0051240	positive regulation of multicellular organismal process	512	131	58.35	0.00017
GO:0006937	regulation of muscle contraction	122	44	13.9	0.00017
GO:0021766	hippocampus development	38	13	4.33	0.00018
GO:0019220	regulation of phosphate metabolic process	583	142	66.44	0.00021
GO:0001934	positive regulation of protein phosphorylation	158	43	18.01	0.00021
GO:0060041	retina development in camera-type eye	49	18	5.58	0.00023
GO:0046579	positive regulation of Ras protein signal transduction	25	10	2.85	0.00023
GO:0002695	negative regulation of leukocyte activation	39	13	4.44	0.00024
GO:0051384	response to glucocorticoid	77	20	8.78	0.00029
GO:0001953	negative regulation of cell-matrix adhesion	10	6	1.14	3e-04
GO:0010955	negative regulation of protein processing	10	6	1.14	3e-04
GO:0030336	negative regulation of cell migration	60	21	6.84	0.00031
GO:0048789	cytoskeletal matrix organization at active zone	7	5	0.8	0.00033
GO:0048841	regulation of axon extension involved in axon guidance	7	5	0.8	0.00033
GO:0002087	regulation of respiratory gaseous exchange by nervous system process	7	5	0.8	0.00033
GO:0071872	cellular response to epinephrine stimulus	7	5	0.8	0.00033
GO:1901098	positive regulation of autophagosome maturation	7	5	0.8	0.00033
GO:0009887	animal organ morphogenesis	358	90	40.8	0.00034
GO:0042220	response to cocaine	26	10	2.96	0.00034
GO:0071260	cellular response to mechanical stimulus	56	16	6.38	0.00036
GO:0007169	transmembrane receptor protein tyrosine kinase signaling pathway	219	53	24.96	0.00037
GO:0040040	thermosensory behavior	51	15	5.81	0.00039
GO:0061178	regulation of insulin secretion involved in cellular response to glucose stimulus	51	15	5.81	0.00039
GO:0002698	negative regulation of immune effector process	22	9	2.51	0.00039
GO:0030511	positive regulation of transforming growth factor beta receptor signaling pathway	14	7	1.6	0.00041
GO:0050922	negative regulation of chemotaxis	14	7	1.6	0.00041
GO:0030007	cellular potassium ion homeostasis	14	7	1.6	0.00041
GO:0051093	negative regulation of developmental process	307	85	34.99	0.00041
GO:0006940	regulation of smooth muscle contraction	48	17	5.47	0.00041
GO:0008585	female gonad development	36	12	4.1	0.00042
GO:0051930	regulation of sensory perception of pain	18	8	2.05	0.00043
GO:0048092	negative regulation of male pigmentation	18	8	2.05	0.00043
GO:0001525	angiogenesis	101	28	11.51	0.00043
GO:2000026	regulation of multicellular organismal development	491	119	55.96	0.00043
GO:0017085	response to insecticide	74	19	8.43	0.00048
GO:0030324	lung development	63	17	7.18	0.00051
GO:0019233	sensory perception of pain	50	19	5.7	0.00052
GO:1901655	cellular response to ketone	86	21	9.8	0.00052
GO:0060191	regulation of lipase activity	47	14	5.36	0.00053
GO:0050680	negative regulation of epithelial cell proliferation	32	11	3.65	0.00054
GO:0010738	regulation of protein kinase A signaling	11	6	1.25	6e-04
GO:1901888	regulation of cell junction assembly	107	42	12.19	0.00061
GO:0007626	locomotory behavior	167	57	19.03	0.00061
GO:0022008	neurogenesis	451	123	51.4	0.00064
GO:0071495	cellular response to endogenous stimulus	611	135	69.63	0.00065
GO:0071902	positive regulation of protein serine/threonine kinase activity	19	8	2.17	0.00066
GO:0009595	detection of biotic stimulus	19	8	2.17	0.00066
GO:0030593	neutrophil chemotaxis	48	14	5.47	0.00067
GO:0048813	dendrite morphogenesis	69	26	7.86	0.00068
GO:0014910	regulation of smooth muscle cell migration	28	10	3.19	0.00068
