GO.ID	Term	Annotated	Significant	Expected	elimFisher
GO:0006364	rRNA processing	182	111	62.1	1.5e-07
GO:0000398	mRNA splicing, via spliceosome	266	125	90.76	7.2e-06
GO:0006412	translation	549	240	187.33	3.2e-05
GO:0044818	mitotic G2/M transition checkpoint	19	15	6.48	8.1e-05
GO:0000462	maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)	53	35	18.08	1e-04
GO:0071364	cellular response to epidermal growth factor stimulus	27	19	9.21	0.00013
GO:0006368	transcription elongation from RNA polymerase II promoter	86	46	29.34	0.00016
GO:0043484	regulation of RNA splicing	102	52	34.8	0.00031
GO:0006418	tRNA aminoacylation for protein translation	39	24	13.31	0.00041
GO:0036297	interstrand cross-link repair	19	14	6.48	0.00049
GO:0000466	maturation of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)	33	21	11.26	5e-04
GO:0007616	long-term memory	66	36	22.52	5e-04
GO:0016446	somatic hypermutation of immunoglobulin genes	7	7	2.39	0.00054
GO:0006284	base-excision repair	30	22	10.24	0.00054
GO:0015872	dopamine transport	25	17	8.53	0.00056
GO:0010605	negative regulation of macromolecule metabolic process	1401	552	478.05	0.00067
GO:0006397	mRNA processing	362	173	123.52	0.00076
GO:0008033	tRNA processing	93	47	31.73	0.00076
GO:0030033	microvillus assembly	14	11	4.78	0.00086
GO:0070593	dendrite self-avoidance	14	11	4.78	0.00086
GO:0016319	mushroom body development	68	36	23.2	0.00104
GO:0000959	mitochondrial RNA metabolic process	28	18	9.55	0.00105
GO:0008306	associative learning	80	41	27.3	0.00113
GO:0000463	maturation of LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)	22	15	7.51	0.00114
GO:0032486	Rap protein signal transduction	9	8	3.07	0.00115
GO:0050856	regulation of T cell receptor signaling pathway	9	8	3.07	0.00115
GO:0010628	positive regulation of gene expression	356	149	121.47	0.00117
GO:0009451	RNA modification	121	64	41.29	0.00123
GO:0034605	cellular response to heat	64	34	21.84	0.00132
GO:0032268	regulation of cellular protein metabolic process	1189	469	405.71	0.0014
GO:0052548	regulation of endopeptidase activity	132	62	45.04	0.00142
GO:0051701	biological process involved in interaction with host	62	33	21.16	0.00148
GO:0022413	reproductive process in single-celled organism	6	6	2.05	0.00157
GO:0016973	poly(A)+ mRNA export from nucleus	11	9	3.75	0.00165
GO:0048589	developmental growth	609	241	207.8	0.00205
GO:0051304	chromosome separation	63	33	21.5	0.0021
GO:0022618	ribonucleoprotein complex assembly	182	81	62.1	0.00213
GO:0045433	male courtship behavior, veined wing generated song production	25	16	8.53	0.00215
GO:0006298	mismatch repair	25	16	8.53	0.00215
GO:0001505	regulation of neurotransmitter levels	174	81	59.37	0.00219
GO:0007221	positive regulation of transcription of Notch receptor target	15	11	5.12	0.00222
GO:0007271	synaptic transmission, cholinergic	23	15	7.85	0.00225
GO:0042254	ribosome biogenesis	370	193	126.25	0.00235
GO:0010907	positive regulation of glucose metabolic process	19	13	6.48	0.00236
GO:0007528	neuromuscular junction development	171	76	58.35	0.00299
GO:0001510	RNA methylation	57	30	19.45	0.003
GO:0000480	endonucleolytic cleavage in 5'-ETS of tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)	8	7	2.73	0.00301
GO:0046777	protein autophosphorylation	108	51	36.85	0.00314
GO:0010608	posttranscriptional regulation of gene expression	428	177	146.04	0.00318
GO:0007215	glutamate receptor signaling pathway	30	18	10.24	0.00325
GO:0051607	defense response to virus	55	29	18.77	0.00337
GO:0006367	transcription initiation from RNA polymerase II promoter	121	56	41.29	0.00353
GO:0048731	system development	2943	1086	1004.21	0.00355
GO:0030422	production of siRNA involved in RNA interference	10	8	3.41	0.004
GO:0009266	response to temperature stimulus	181	88	61.76	0.00402
GO:0042675	compound eye cone cell differentiation	24	15	8.19	0.00413
GO:0000184	nuclear-transcribed mRNA catabolic process, nonsense-mediated decay	97	46	33.1	0.00441
GO:0006406	mRNA export from nucleus	57	35	19.45	0.00455
GO:0000414	regulation of histone H3-K36 methylation	5	5	1.71	0.00462
GO:2000002	negative regulation of DNA damage checkpoint	5	5	1.71	0.00462
GO:0010216	maintenance of DNA methylation	5	5	1.71	0.00462
GO:0043570	maintenance of DNA repeat elements	5	5	1.71	0.00462
GO:0014052	regulation of gamma-aminobutyric acid secretion	5	5	1.71	0.00462
GO:0050966	detection of mechanical stimulus involved in sensory perception of pain	5	5	1.71	0.00462
GO:0045950	negative regulation of mitotic recombination	5	5	1.71	0.00462
GO:1902275	regulation of chromatin organization	20	13	6.82	0.00465
GO:2001252	positive regulation of chromosome organization	49	26	16.72	0.00481
GO:0000076	DNA replication checkpoint signaling	14	10	4.78	0.00487
GO:0009411	response to UV	90	43	30.71	0.00489
GO:0034471	ncRNA 5'-end processing	16	11	5.46	0.00493
GO:0040029	regulation of gene expression, epigenetic	100	47	34.12	0.00499
GO:2000112	regulation of cellular macromolecule biosynthetic process	1743	660	594.75	0.00523
GO:0048284	organelle fusion	78	38	26.62	0.00527
GO:0051172	negative regulation of nitrogen compound metabolic process	1146	436	391.04	0.00538
GO:0001824	blastocyst development	47	25	16.04	0.00542
GO:0051817	modulation of process of other organism involved in symbiotic interaction	47	25	16.04	0.00542
GO:0051346	negative regulation of hydrolase activity	123	56	41.97	0.00543
GO:0051247	positive regulation of protein metabolic process	680	263	232.03	0.00545
GO:0007166	cell surface receptor signaling pathway	1199	464	409.12	0.00546
GO:0007156	homophilic cell adhesion via plasma membrane adhesion molecules	38	21	12.97	0.0059
GO:0000070	mitotic sister chromatid segregation	126	57	42.99	0.00597
GO:0001932	regulation of protein phosphorylation	451	179	153.89	0.00645
GO:0000723	telomere maintenance	88	45	30.03	0.0067
GO:0034329	cell junction assembly	316	129	107.83	0.00673
GO:0098781	ncRNA transcription	79	38	26.96	0.00686
GO:0050804	modulation of chemical synaptic transmission	254	109	86.67	0.00687
GO:0006997	nucleus organization	104	48	35.49	0.00703
GO:0050769	positive regulation of neurogenesis	132	59	45.04	0.00714
GO:0006285	base-excision repair, AP site formation	7	6	2.39	0.0078
GO:0048053	R1/R6 development	7	6	2.39	0.0078
GO:2000301	negative regulation of synaptic vesicle exocytosis	7	6	2.39	0.0078
GO:0010793	regulation of mRNA export from nucleus	7	6	2.39	0.0078
GO:0048750	compound eye corneal lens morphogenesis	7	6	2.39	0.0078
GO:0014002	astrocyte development	7	6	2.39	0.0078
GO:0097066	response to thyroid hormone	7	6	2.39	0.0078
GO:1901213	regulation of transcription from RNA polymerase II promoter involved in heart development	7	6	2.39	0.0078
GO:0051983	regulation of chromosome segregation	60	30	20.47	0.00788
GO:0007613	memory	136	70	46.41	0.00789
GO:0006396	RNA processing	707	366	241.24	0.00798
GO:0016071	mRNA metabolic process	547	262	186.65	0.00806
GO:0007626	locomotory behavior	264	109	90.08	0.0082
GO:0051239	regulation of multicellular organismal process	1313	497	448.02	0.00831
GO:1902531	regulation of intracellular signal transduction	727	281	248.07	0.00834
GO:0006283	transcription-coupled nucleotide-excision repair	53	27	18.08	0.00837
GO:0032784	regulation of DNA-templated transcription, elongation	53	27	18.08	0.00837
GO:0050433	regulation of catecholamine secretion	21	13	7.17	0.00842
GO:0046676	negative regulation of insulin secretion	21	13	7.17	0.00842
GO:0051251	positive regulation of lymphocyte activation	70	34	23.89	0.00852
GO:0031327	negative regulation of cellular biosynthetic process	846	324	288.67	0.00859
GO:0042771	intrinsic apoptotic signaling pathway in response to DNA damage by p53 class mediator	19	12	6.48	0.00908
GO:0031668	cellular response to extracellular stimulus	154	67	52.55	0.00918
GO:0006370	7-methylguanosine mRNA capping	30	17	10.24	0.00926
GO:0033262	regulation of nuclear cell cycle DNA replication	9	7	3.07	0.00953
GO:1903205	regulation of hydrogen peroxide-induced cell death	9	7	3.07	0.00953
GO:0032211	negative regulation of telomere maintenance via telomerase	9	7	3.07	0.00953
GO:0071028	nuclear mRNA surveillance	9	7	3.07	0.00953
GO:0010569	regulation of double-strand break repair via homologous recombination	17	11	5.8	0.00968
GO:0071356	cellular response to tumor necrosis factor	44	23	15.01	0.00983
