GO.ID	Term	Annotated	Significant	Expected	elimFisher
GO:0006364	rRNA processing	182	110	38.86	1.4e-13
GO:0000398	mRNA splicing, via spliceosome	266	105	56.8	7.3e-12
GO:0042254	ribosome biogenesis	370	192	79	1.7e-10
GO:0000462	maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)	53	35	11.32	5.5e-09
GO:0002181	cytoplasmic translation	169	69	36.08	6e-09
GO:0000184	nuclear-transcribed mRNA catabolic process, nonsense-mediated decay	97	45	20.71	2.9e-08
GO:0006284	base-excision repair	30	21	6.41	9e-07
GO:0006457	protein folding	125	50	26.69	1.5e-06
GO:0000463	maturation of LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)	22	15	4.7	3e-06
GO:0022618	ribonucleoprotein complex assembly	182	74	38.86	4.3e-06
GO:0006418	tRNA aminoacylation for protein translation	39	24	8.33	5.9e-06
GO:0006368	transcription elongation from RNA polymerase II promoter	86	40	18.36	6.5e-06
GO:0006397	mRNA processing	362	147	77.29	9e-06
GO:0036297	interstrand cross-link repair	19	13	4.06	1.4e-05
GO:0016446	somatic hypermutation of immunoglobulin genes	7	7	1.49	2e-05
GO:0006283	transcription-coupled nucleotide-excision repair	53	25	11.32	2.5e-05
GO:0006298	mismatch repair	25	15	5.34	3e-05
GO:0016973	poly(A)+ mRNA export from nucleus	11	9	2.35	3.3e-05
GO:0006406	mRNA export from nucleus	57	33	12.17	3.4e-05
GO:0033260	nuclear DNA replication	30	16	6.41	0.00012
GO:0030422	production of siRNA involved in RNA interference	10	8	2.14	0.00013
GO:0000480	endonucleolytic cleavage in 5'-ETS of tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)	8	7	1.71	0.00013
GO:0000466	maturation of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)	33	21	7.05	0.00013
GO:0000724	double-strand break repair via homologous recombination	75	34	16.01	0.00015
GO:0006296	nucleotide-excision repair, DNA incision, 5'-to lesion	25	14	5.34	0.00016
GO:0001522	pseudouridine synthesis	15	10	3.2	2e-04
GO:0034660	ncRNA metabolic process	374	204	79.86	0.00026
GO:2001252	positive regulation of chromosome organization	49	25	10.46	0.00026
GO:0000723	telomere maintenance	88	43	18.79	0.00028
GO:0000054	ribosomal subunit export from nucleus	18	11	3.84	0.00029
GO:0000070	mitotic sister chromatid segregation	126	48	26.9	0.00031
GO:0008380	RNA splicing	320	135	68.33	0.00032
GO:0008033	tRNA processing	93	46	19.86	0.00033
GO:0006413	translational initiation	150	54	32.03	0.00037
GO:0045910	negative regulation of DNA recombination	21	15	4.48	0.00042
GO:0000447	endonucleolytic cleavage in ITS1 to separate SSU-rRNA from 5.8S rRNA and LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)	16	10	3.42	0.00043
GO:0045950	negative regulation of mitotic recombination	5	5	1.07	0.00044
GO:2000002	negative regulation of DNA damage checkpoint	5	5	1.07	0.00044
GO:0043570	maintenance of DNA repeat elements	5	5	1.07	0.00044
GO:0010216	maintenance of DNA methylation	5	5	1.07	0.00044
GO:0006370	7-methylguanosine mRNA capping	30	15	6.41	0.00048
GO:0010793	regulation of mRNA export from nucleus	7	6	1.49	0.00054
GO:0009411	response to UV	90	33	19.22	6e-04
GO:0031123	RNA 3'-end processing	96	39	20.5	0.00061
GO:0006293	nucleotide-excision repair, preincision complex stabilization	14	9	2.99	0.00063
GO:0000959	mitochondrial RNA metabolic process	28	17	5.98	0.00063
GO:0007062	sister chromatid cohesion	43	19	9.18	0.00064
GO:0032210	regulation of telomere maintenance via telomerase	31	15	6.62	0.00074
GO:0042273	ribosomal large subunit biogenesis	66	37	14.09	0.00078
GO:0016071	mRNA metabolic process	547	222	116.79	0.00083
GO:0001824	blastocyst development	47	20	10.04	0.00084
GO:0070126	mitochondrial translational termination	38	17	8.11	0.00104
GO:0006289	nucleotide-excision repair	85	41	18.15	0.00105
GO:0006360	transcription by RNA polymerase I	51	21	10.89	0.00106
