GO.ID	Term	Annotated	Significant	Expected	elimFisher
GO:0007156	homophilic cell adhesion via plasma membrane adhesion molecules	38	21	4.85	4.8e-10
GO:0051241	negative regulation of multicellular organismal process	483	126	61.68	1.7e-08
GO:0070593	dendrite self-avoidance	14	11	1.79	3.5e-08
GO:0007411	axon guidance	332	92	42.4	5.3e-08
GO:0016319	mushroom body development	68	26	8.68	9e-08
GO:0008344	adult locomotory behavior	131	39	16.73	1.9e-07
GO:0045433	male courtship behavior, veined wing generated song production	25	14	3.19	3.2e-07
GO:0000122	negative regulation of transcription by RNA polymerase II	489	101	62.45	3.3e-07
GO:1903688	positive regulation of border follicle cell migration	24	13	3.06	1.4e-06
GO:0051240	positive regulation of multicellular organismal process	616	155	78.67	1.8e-06
GO:0048814	regulation of dendrite morphogenesis	61	22	7.79	2.8e-06
GO:0007613	memory	136	53	17.37	3e-06
GO:0050808	synapse organization	365	106	46.61	3.3e-06
GO:0007616	long-term memory	66	23	8.43	3.3e-06
GO:0045467	R7 cell development	29	14	3.7	3.4e-06
GO:0051124	synaptic assembly at neuromuscular junction	124	38	15.84	3.4e-06
GO:0007422	peripheral nervous system development	86	30	10.98	3.5e-06
GO:0007268	chemical synaptic transmission	452	132	57.72	3.6e-06
GO:0007043	cell-cell junction assembly	110	37	14.05	4.5e-06
GO:0071805	potassium ion transmembrane transport	72	24	9.19	4.9e-06
GO:0070983	dendrite guidance	23	12	2.94	6.2e-06
GO:0007476	imaginal disc-derived wing morphogenesis	260	78	33.2	6.8e-06
GO:0008045	motor neuron axon guidance	64	22	8.17	6.9e-06
GO:0007274	neuromuscular synaptic transmission	83	26	10.6	7.4e-06
GO:0048149	behavioral response to ethanol	60	21	7.66	8.1e-06
GO:0046843	dorsal appendage formation	47	18	6	8.5e-06
GO:0050806	positive regulation of synaptic transmission	61	25	7.79	8.9e-06
GO:0002052	positive regulation of neuroblast proliferation	35	15	4.47	9.6e-06
GO:0014059	regulation of dopamine secretion	14	9	1.79	9.6e-06
GO:0035220	wing disc development	414	119	52.87	1.2e-05
GO:0001709	cell fate determination	165	41	21.07	1.5e-05
GO:0003014	renal system process	63	21	8.05	1.9e-05
GO:0008039	synaptic target recognition	44	20	5.62	2e-05
GO:0035159	regulation of tube length, open tracheal system	41	16	5.24	2e-05
GO:0035019	somatic stem cell population maintenance	59	20	7.53	2.3e-05
GO:0048598	embryonic morphogenesis	523	120	66.79	2.4e-05
GO:0050805	negative regulation of synaptic transmission	53	22	6.77	2.5e-05
GO:0048813	dendrite morphogenesis	221	68	28.22	2.6e-05
GO:0007155	cell adhesion	461	132	58.87	2.7e-05
GO:0048749	compound eye development	357	105	45.59	2.8e-05
GO:0008355	olfactory learning	38	15	4.85	3.1e-05
GO:0007626	locomotory behavior	264	82	33.71	3.2e-05
GO:0014052	regulation of gamma-aminobutyric acid secretion	5	5	0.64	3.4e-05
GO:0007588	excretion	19	10	2.43	3.4e-05
GO:0007399	nervous system development	1689	385	215.69	3.6e-05
GO:0035909	aorta morphogenesis	23	11	2.94	4.4e-05
GO:0034765	regulation of ion transmembrane transport	162	46	20.69	4.6e-05
GO:0015766	disaccharide transport	27	12	3.45	4.9e-05
GO:0007605	sensory perception of sound	134	34	17.11	5e-05
GO:0016477	cell migration	693	168	88.5	5.4e-05
GO:0048085	adult chitin-containing cuticle pigmentation	72	22	9.19	5.6e-05
GO:0045944	positive regulation of transcription by RNA polymerase II	644	119	82.24	6e-05
GO:0016318	ommatidial rotation	20	10	2.55	6.1e-05
GO:0030336	negative regulation of cell migration	103	28	13.15	6.2e-05
GO:0009612	response to mechanical stimulus	96	33	12.26	6.3e-05
GO:0008049	male courtship behavior	70	30	8.94	6.9e-05
GO:0008347	glial cell migration	45	16	5.75	7.7e-05
GO:0048565	digestive tract development	161	41	20.56	7.9e-05
