#RefSeq_Assembly_id	#Species_name
GCF_000204515.1	Acromyrmex echinatior
GCF_014905175.1	Aphidius gifuensis
GCF_001442555.1	Apis cerana
GCF_000469605.1	Apis dorsata
GCF_000184785.3	Apis florea
GCF_014066325.1	Apis laboriosa
GCF_003254395.2	Apis mellifera
GCF_000344095.2	Athalia rosae
GCF_000143395.1	Atta cephalotes
GCF_001594045.1	Atta colombica
GCF_010883055.1	Belonocnema kinseyi
GCF_011952205.1	Bombus bifarius
GCF_000188095.3	Bombus impatiens
GCF_014825855.1	Bombus pyrosoma
GCF_000214255.1	Bombus terrestris
GCF_011952275.1	Bombus vancouverensis nearcticus
GCF_011952255.1	Bombus vosnesenskii
GCF_003227725.1	Camponotus floridanus
GCF_000341935.1	Cephus cinctus
GCF_001652005.1	Ceratina calcarata
GCF_000503995.1	Ceratosolen solmsi marchali
GCF_013357705.1	Chelonus insularis
GCF_013123115.1	Colletes gigas
GCF_000648655.2	Copidosoma floridanum
GCF_020080835.1	Cotesia glomerata
GCF_001594065.1	Cyphomyrmex costatus
GCF_001412515.2	Diachasma alloeum
GCF_001313825.1	Dinoponera quadriceps
GCF_021155765.1	Diprion similis
GCF_001272555.1	Dufourea novaeangliae
GCF_001483705.1	Eufriesea mexicana
GCF_000806365.1	Fopius arisanus
GCF_003651465.1	Formica exsecta
GCF_011392965.1	Frieseomelitta varia
GCF_001263275.1	Habropoda laboriosa
GCF_003227715.1	Harpegnathos saltator
GCF_015476425.1	Leptopilina heterotoma
GCF_000217595.1	Linepithema humile
GCF_000220905.1	Megachile rotundata
GCF_011865705.1	Megalopta genalis
GCF_000572035.2	Microplitis demolitor
GCF_013373865.1	Monomorium pharaonis
GCF_000002325.3	Nasonia vitripennis
GCF_021155785.1	Neodiprion fabricii
GCF_021901455.1	Neodiprion lecontei
GCF_021155775.1	Neodiprion pinetum
GCF_021901495.1	Neodiprion virginiana
GCF_003710045.1	Nomia melanderi
GCF_005281655.1	Nylanderia fulva
GCF_010583005.1	Odontomachus brunneus
GCF_003672135.1	Ooceraea biroi
GCF_000612105.2	Orussus abietinus
GCF_907164935.1	Osmia bicornis bicornis
GCF_012274295.1	Osmia lignaria
GCF_000187915.1	Pogonomyrmex barbatus
GCF_001313835.1	Polistes canadensis
GCF_001465965.1	Polistes dominula
GCF_010416935.1	Polistes fuscatus
GCF_002006095.1	Pseudomyrmex gracilis
GCF_016802725.1	Solenopsis invicta
GCF_003070985.1	Temnothorax curvispinosus
GCF_001594075.1	Trachymyrmex cornetzi
GCF_001594115.1	Trachymyrmex septentrionalis
GCF_001594055.1	Trachymyrmex zeteki
GCF_000599845.2	Trichogramma pretiosum
GCF_019457755.1	Venturia canescens
GCF_910589235.1	Vespa crabro
GCF_014083535.2	Vespa mandarinia
GCF_014466175.1	Vespula pensylvanica
GCF_000949405.1	Vollenhovia emeryi
GCF_000956235.1	Wasmannia auropunctata
