Protein	GO.term
Anamorsin	GO:0009987
Anamorsin	GO:0008150
Anamorsin	GO:0030097
Centrin-1	GO:0009987
Centrin-1	GO:0008150
Centrin-1	GO:0007067
Fut8	GO:0008152
Fut8	GO:0008150
Fut8	GO:0009987
Fut8	GO:0006491
Fut8	GO:1900407
Fut8	GO:0007585
Fut8	GO:0046368
Fut8	GO:0018279
G10031	GO:0008150
G10031	GO:0008152
G10031	GO:0009987
G10031	GO:2000373
G10031	GO:0051716
G10031	GO:0051129
G10031	GO:0051054
G10031	GO:0043170
G10062	GO:1901362
G10062	GO:0006325
G10062	GO:0051716
G10062	GO:0008150
G10062	GO:0051173
G10062	GO:0009987
G10062	GO:2000373
G10062	GO:0008152
G10062	GO:0051129
G10062	GO:0051054
G10460	GO:0009987
G10460	GO:0008150
G10543	GO:0008150
G10737.1.p1	GO:0009987
G10737.1.p1	GO:0008150
G10737.3.p1	GO:0009987
G10737.3.p1	GO:0008150
G10737	GO:0009987
G10737	GO:0008150
G10949	GO:0009987
G10949	GO:0008150
G10993	GO:0008150
G11039	GO:0008152
G11039	GO:0008150
G11039	GO:0009987
G11155	GO:0009987
G11155	GO:0008150
G1152	GO:0008150
G11645	GO:0009987
G11645	GO:0043170
G11645	GO:0008150
G11645	GO:2000373
G11645	GO:0008152
G11645	GO:0051054
G11645	GO:0051129
G11723	GO:0009987
G11723	GO:0008150
G11963	GO:0009987
G11963	GO:0008150
G12043	GO:0009987
G12043	GO:0008150
G1205	GO:0008150
G1205	GO:0009987
G12104	GO:0009987
G12104	GO:0008150
G12261	GO:0008150
G1230	GO:0009987
G1230	GO:0008150
G12305	GO:0043170
G12305	GO:0009987
G12305	GO:2000373
G12305	GO:0019219
G12305	GO:0051716
G12305	GO:0008150
G12305	GO:0051054
G12305	GO:0051129
G12308	GO:0008150
G12308	GO:0009987
G12476	GO:0008150
G12556	GO:0008150
G12582	GO:0008150
G12582	GO:0009987
G1260	GO:0008150
G1270	GO:0009987
G1270	GO:0008150
G12860	GO:0008150
G12860	GO:0009987
G12949	GO:0008150
G12949	GO:0009987
G13435	GO:0008150
G13435	GO:0009987
G13580	GO:0008150
G13580	GO:0009987
G13662	GO:0008150
G13662	GO:0009987
G13735	GO:0051640
G13735	GO:0045026
G13735	GO:0051248
G13735	GO:0006468
G13735	GO:0030447
G13735	GO:0051129
G13735	GO:0034613
G13735	GO:0031139
G13735	GO:0019953
G13735	GO:0008152
G13735	GO:0032268
G13735	GO:0051301
G13735	GO:0070727
G13735	GO:0008150
G13735	GO:0031136
G13735	GO:0010200
G13735	GO:0042325
G13744	GO:0009987
G13744	GO:0008150
G13753	GO:0008150
G13775	GO:0008152
G13775	GO:0008150
G13775	GO:0032446
G13775	GO:0009987
G13775	GO:0048585
G13803	GO:0009987
G13803	GO:0008150
G13838	GO:0008150
G13838	GO:0009987
G1387	GO:0009987
G1387	GO:0008150
G13902	GO:0008152
G13902	GO:0008150
G13902	GO:0009987
G13902	GO:0043170
G14118	GO:0008150
G14172	GO:0008150
G14172	GO:0051716
G14172	GO:0043170
G14172	GO:0008152
G14172	GO:2000373
G14172	GO:0009987
G14172	GO:0051054
G14172	GO:0051129
G14379	GO:0008150
G14379	GO:0009987
G14393	GO:0009987
G14393	GO:0008150
G14415	GO:0008150
G14454	GO:0002684
G14454	GO:0032268
G14454	GO:0010467
G14454	GO:0009987
G14454	GO:0008150
G14454	GO:0008152
G14454	GO:0043603
G14594	GO:0008150
G14594	GO:0009987
G14645	GO:0009987
G14645	GO:0008150
G14655	GO:0009987
G14655	GO:0008150
G14833	GO:0008150
G14859	GO:0009987
G14859	GO:0008152
G14859	GO:0008150
G15000	GO:0008150
G15000	GO:0009987
G15001	GO:0008150
G15001	GO:0009987
G15002	GO:0008150
G15003	GO:0008150
G15003	GO:0009987
G15004	GO:0008150
G15004	GO:0009987
G15005	GO:0008150
G15005	GO:0009987
G15006	GO:0008150
G15006	GO:0009987
G15007	GO:0009987
G15007	GO:0008150
G15008	GO:0008150
G15009	GO:0008150
G15010	GO:0009987
G15010	GO:0008150
G15011	GO:0009987
G15011	GO:0008150
G15012	GO:0008150
G15012	GO:0009987
G15013	GO:0009987
G15013	GO:0008150
G15014	GO:0009987
G15014	GO:0008150
G15015	GO:0008150
G15015	GO:0009987
G15018	GO:0008150
G15019	GO:0008150
G15020	GO:0008150
G15020	GO:0009987
G15021	GO:0008150
G15021	GO:0009987
G15022	GO:0008150
G15023	GO:0009987
G15023	GO:0008150
G15024	GO:0009987
G15024	GO:0008150
G15026	GO:0007186
G15026	GO:0009987
G15026	GO:0008150
G15026	GO:0051716
G15027	GO:0008150
G15027	GO:0009987
G15028	GO:0009987
G15028	GO:0008150
G15029	GO:0009987
G15029	GO:0008150
G15030	GO:0008150
G15031	GO:0008150
G15032	GO:0009987
G15032	GO:0008150
G15033	GO:0009987
G15033	GO:0008150
G15034	GO:0009987
G15034	GO:0008150
G15035	GO:0008150
G15042	GO:0008150
G15043	GO:0009987
G15043	GO:0008150
G15044	GO:0008150
G15044	GO:0009987
G15045	GO:0008150
G15046	GO:0008150
G15046	GO:0009987
G15047	GO:0008150
G15047	GO:0009987
G15048	GO:0008150
G15048	GO:0009987
G15049	GO:0008150
G15050	GO:0009987
G15050	GO:0008150
G15051	GO:0009987
G15051	GO:0008150
G15052	GO:0008150
G15052	GO:0009987
G15059	GO:0009987
G15059	GO:0008150
G15060	GO:0009987
G15060	GO:0008150
G15061	GO:0008150
G15062	GO:0008150
G15063	GO:0008150
G15064	GO:0008150
G15065	GO:0008150
G15066	GO:0008150
G15067	GO:0008150
G15067	GO:0009987
G15068	GO:0008150
G15069	GO:0008150
G15070	GO:0008150
G15071	GO:0008150
G15072	GO:0008150
G15073	GO:0008150
G15074	GO:0008150
G15075	GO:0009987
G15075	GO:0008150
G15076	GO:0008150
G15077	GO:0008150
G15077	GO:0009987
G1514	GO:0008150
G1514	GO:0008152
G1514	GO:0009987
G1637	GO:0009987
G1637	GO:0008150
G1711	GO:0008150
G1711	GO:0008152
G1711	GO:0009987
G175	GO:0009987
G175	GO:0008150
G175.4.p1	GO:0009987
G175.4.p1	GO:0008150
G175.5.p1	GO:0009987
G175.5.p1	GO:0008150
G175.6.p1	GO:0009987
G175.6.p1	GO:0008150
G1766	GO:0008152
G1766	GO:0008150
G1766	GO:0043170
G1803	GO:0009987
G1803	GO:0008150
G2012	GO:0008150
G2056	GO:0008150
G2096	GO:0043170
G2096	GO:0048584
G2096	GO:0009987
G2096	GO:2000373
G2096	GO:0008150
G2096	GO:0051716
G2096	GO:0008152
G2096	GO:0051054
G2096	GO:0051129
G210	GO:0008150
G2153	GO:0008150
G2153	GO:0009987
G2153	GO:0008152
G2269	GO:0008150
G2269	GO:0009987
G2279	GO:0008150
G2281	GO:0008150
G2428	GO:0008150
G2428	GO:0009987
G2592	GO:0008150
G2627	GO:0008150
G267	GO:0008150
G269	GO:0008150
G3003	GO:0008150
G3003	GO:0009987
G3023	GO:0008150
G3023	GO:0009987
G3093	GO:0009987
G3093	GO:0008150
G3162	GO:0008150
G3243	GO:0008150
G3312	GO:0008150
G38	GO:0008150
G3862	GO:0008150
G3899	GO:0009987
G3899	GO:0008150
G3924	GO:0008150
G4472	GO:0008152
G4472	GO:0008150
G4472	GO:0043170
G4472	GO:0009987
G4472	GO:0015031
G4714	GO:0009987
G4714	GO:0008150
G4814	GO:0008150
G490	GO:0008150
G500	GO:0008150
G500	GO:0009987
G5031	GO:0043170
G5031	GO:0008150
G5031	GO:0009987
G5031	GO:0008152
G5266	GO:0009987
G5266	GO:0008152
G5266	GO:0008150
G5266	GO:0051173
G5266	GO:2000373
G5266	GO:0051054
G5266	GO:0051716
G5266	GO:0051129
G5266	GO:0043170
G5395	GO:0008150
G5399	GO:0009987
G5399	GO:0008150
G5408	GO:0008150
G5408	GO:0009987
G542	GO:0008150
G5499	GO:0009987
G5499	GO:0008150
G5669	GO:0008150
G5669	GO:0009987
G5669	GO:0008152
G5733	GO:0009987
G5733	GO:0008150
G5738	GO:0008150
G6048	GO:0008150
G6087	GO:0009987
G6087	GO:0008150
G6179	GO:0008150
G6181	GO:0008150
G633	GO:0008150
G633	GO:0009987
G6399	GO:0008150
G6399	GO:0009987
G6406	GO:0008150
G647	GO:0008150
G647	GO:0009987
G647.3.p1	GO:0009987
G647.3.p1	GO:0008150
G647.4.p1	GO:0008150
G647.4.p1	GO:0009987
G6534	GO:0008150
G6534	GO:0008152
G6534	GO:2000373
G6534	GO:0018130
G6534	GO:0009987
G6534	GO:0051054
G6534	GO:0051129
G6534	GO:0043170
G6542	GO:0008150
G6542	GO:0009987
G6577	GO:0008150
G6627	GO:0008150
G6627	GO:0009987
G6718	GO:0009987
G6718	GO:0008150
G6845	GO:0008150
G7000	GO:0009987
G7000	GO:0008150
G7131	GO:0008150
G7294	GO:0008150
G7381	GO:0051716
G7381	GO:0051173
G7381	GO:0008150
G7381	GO:0008152
G7381	GO:2000373
G7381	GO:0006325
G7381	GO:0051054
G7381	GO:0051129
G7381	GO:0009987
G7552	GO:0008150
G7552	GO:0009987
G7921	GO:0009987
G7921	GO:0008150
G7927	GO:0009987
G7927	GO:0008150
G7991	GO:0008150
G7991.2.p1	GO:0008150
G7991.4.p3	GO:0008150
G8105	GO:0051716
G8105	GO:0051173
G8105	GO:0008152
G8105	GO:2000373
G8105	GO:0009987
G8105	GO:0008150
G8105	GO:0051054
G8105	GO:0051129
G8105	GO:0043170
G8112	GO:0008152
G8112	GO:0009987
G8112	GO:0051716
G8112	GO:0043170
G8112	GO:2000373
G8112	GO:0051054
G8112	GO:0051129
G8112	GO:0008150
G8254	GO:0008150
G829	GO:0009987
G829	GO:0008150
G8552	GO:0008150
G8604	GO:0008150
G8604	GO:0008152
G8604	GO:0009987
G8746	GO:0008150
G8751	GO:0008150
G8994	GO:0008150
G9056	GO:0008150
G9752	GO:0008150
G9752	GO:0009987
G9841	GO:0008150
G9841	GO:0009987
Glomulin	GO:0006733
Glomulin	GO:0009987
Glomulin	GO:0009161
Glomulin	GO:0009156
Glomulin	GO:0008150
Importin-4.1.p1	GO:0006325
Importin-4.1.p1	GO:0009987
Importin-4.1.p1	GO:0008150
Importin-4.1.p1	GO:0006607
Importin-4.2.p1	GO:0009987
Importin-4.2.p1	GO:0008150
Importin-4.2.p1	GO:0006325
Importin-4.2.p1	GO:0006607
Importin-4.3.p1	GO:0008150
Importin-4.3.p1	GO:0009987
Importin-4.3.p1	GO:0006606
Importin-4.5.p1	GO:0006325
Importin-4.5.p1	GO:0009987
Importin-4.5.p1	GO:0008150
Importin-4.5.p1	GO:0006607
LOC105180459	GO:0009987
LOC105180459	GO:0051301
LOC105180459	GO:0032879
LOC105180459	GO:0008152
LOC105180459	GO:0008150
LOC105180459	GO:0043170
LOC105180459	GO:0042325
LOC105180459	GO:1903688
LOC105180459	GO:0045725
LOC105180459	GO:0034059
LOC105180460	GO:0008152
LOC105180460	GO:0034587
LOC105180460	GO:0008150
LOC105180460	GO:0009987
LOC105180460	GO:0010529
LOC105180460	GO:2000617
LOC105180460	GO:0043046
LOC105180460	GO:0060213
LOC105180460	GO:0061178
LOC105180460	GO:0030718
LOC105180460	GO:0050829
LOC105180460	GO:0010501
LOC105180460	GO:0007126
LOC105180460	GO:0035093
LOC105180460	GO:0010669
LOC105180460	GO:0071442
LOC105180460	GO:0007283
LOC105180460	GO:0051321
LOC105180460	GO:0000966
LOC105180462.1.p1	GO:0008150
LOC105180462.1.p1	GO:0009987
LOC105180462.1.p1	GO:0045724
LOC105180462.1.p1	GO:0035437
LOC105180462.1.p1	GO:0061036
LOC105180462	GO:0008150
LOC105180462	GO:0009987
LOC105180462	GO:0045724
LOC105180462	GO:0061036
LOC105180462	GO:0035437
LOC105180462.6.p1	GO:0008150
LOC105180462.6.p1	GO:0009987
LOC105180462.6.p1	GO:0045724
LOC105180462.6.p1	GO:0035437
LOC105180462.6.p1	GO:0061036
LOC105180464	GO:0009987
LOC105180464	GO:0008150
LOC105180465	GO:0008150
LOC105180465	GO:0009987
LOC105180465	GO:0008152
LOC105180465	GO:0051597
LOC105180465	GO:0001889
LOC105180465	GO:0014075
LOC105180465	GO:0060992
LOC105180465	GO:0032355
LOC105180465	GO:0071243
LOC105180465	GO:0045471
LOC105180468	GO:0032268
LOC105180468	GO:0051301
LOC105180468	GO:0010467
LOC105180468	GO:0008152
LOC105180468	GO:0042325
LOC105180468	GO:0009987
LOC105180468	GO:0007275
LOC105180468	GO:0040011
LOC105180468	GO:0008150
LOC105180468	GO:0030154
LOC105180468	GO:0030509
LOC105180468	GO:0061151
LOC105180468	GO:0048762
LOC105180468	GO:0061149
LOC105180468	GO:0060395
LOC105180468	GO:0010862
LOC105180468	GO:0048392
LOC105180468	GO:0061036
LOC105180468	GO:0061047
LOC105180468	GO:0072192
LOC105180468	GO:0034504
LOC105180468	GO:0045839
LOC105180468	GO:0030501
LOC105180468	GO:0001658
LOC105180468	GO:0010453
LOC105180468	GO:0003139
LOC105180468	GO:0007182
LOC105180468	GO:0010524
LOC105180468	GO:2000137
LOC105180468	GO:0042306
LOC105180468	GO:0048661
LOC105180468	GO:0003130
LOC105180468	GO:1901341
LOC105180468	GO:0072101
LOC105180468	GO:2000007
LOC105180468	GO:0001938
LOC105180468	GO:0003215
LOC105180468	GO:0002062
LOC105180468	GO:0051042
LOC105180468	GO:0045669
LOC105180468	GO:0060391
LOC105180468	GO:2000005
LOC105180468	GO:0035993
LOC105180468	GO:0055020
LOC105180468	GO:0043407
LOC105180468	GO:0032967
LOC105180468	GO:0030513
LOC105180468	GO:0071893
LOC105180468	GO:0072200
LOC105180468	GO:0061155
LOC105180468	GO:0060433
LOC105180468	GO:0032092
LOC105180469	GO:0008150
LOC105180469	GO:0009987
LOC105180469	GO:0051640
LOC105180470	GO:0008150
LOC105180470	GO:0030198
LOC105180470	GO:0009987
LOC105180471	GO:0016192
LOC105180471	GO:0007018
LOC105180471	GO:0009987
LOC105180471	GO:0008150
LOC105180471	GO:0008152
LOC105180471	GO:0001919
LOC105180471	GO:0032438
LOC105180471	GO:0040010
LOC105180471	GO:0043001
LOC105180471	GO:0032418
LOC105180471	GO:0071346
LOC105180471	GO:0022027
LOC105180471	GO:1901953
LOC105180471	GO:0031146
LOC105180471	GO:0006895
LOC105180471	GO:0032487
LOC105180471	GO:0040018
LOC105180471	GO:0033624
LOC105180471	GO:0007173
LOC105180471	GO:0007270
LOC105180471	GO:1903429
LOC105180471	GO:0045022
LOC105180471	GO:1990048
LOC105180471	GO:1904647
LOC105180471	GO:0007274
LOC105180471	GO:0021766
LOC105180471	GO:0045886
LOC105180471	GO:0045887
LOC105180471	GO:0032467
LOC105180471	GO:0032801
LOC105180471	GO:0030421
LOC105180471	GO:0031641
LOC105180471	GO:1902473
LOC105180471	GO:1903746
LOC105180471	GO:0007528
LOC105180471	GO:0051965
LOC105180471	GO:0007019
LOC105180471	GO:0021772
LOC105180471	GO:0043523
LOC105180471	GO:0006942
LOC105180471	GO:1990049
LOC105180471	GO:0061001
LOC105180471	GO:0000003
LOC105180471	GO:0032024
LOC105180471	GO:0043161
LOC105180471	GO:1990090
LOC105180471	GO:0007411
LOC105180471	GO:0008345
LOC105180471	GO:0007631
LOC105180472	GO:0009987
LOC105180472	GO:0008152
LOC105180472	GO:0008150
