genes,logFC,logCPM,PValue,FDR,Annotation
LOC105188415,-1.506886696,7.864119828,6.44E-42,8.15E-38,activating signal cointegrator 1 complex subunit 2 isoform X2
LOC112589758,-2.185641835,7.400801976,3.05E-38,1.69E-34,"LOW QUALITY PROTEIN: uncharacterized protein LOC112589758, partial"
LOC105182798,1.472570774,9.328181079,3.99E-38,1.69E-34,uncharacterized protein LOC105182798 isoform X1
LOC112589664,2.975352686,5.566814187,1.17E-37,3.69E-34,Krueppel homolog 1-like
LOC105187009,1.734403444,6.674949096,3.41E-37,8.63E-34,zinc finger protein 768-like isoform X2
LOC105192616,2.231836709,6.216636637,3.43E-35,7.23E-32,heparan sulfate glucosamine 3-O-sulfotransferase 5
LOC105184625,-1.286912014,7.888876896,2.78E-34,5.02E-31,coiled-coil domain-containing protein 186 isoform X3
LOC109503618,1.559446597,6.812116008,5.91E-34,9.35E-31,sex determination protein fruitless-like
LOC105183382,-1.708507679,5.292221719,5.24E-32,7.37E-29,THAP domain-containing protein 3 isoform X2
LOC105182436,-1.446464468,6.203899238,1.38E-31,1.74E-28,structural maintenance of chromosomes protein 2
LOC105186885,1.441004694,6.820847033,2.64E-31,2.95E-28,"ATP synthase lipid-binding protein, mitochondrial"
LOC105185574,1.438043674,7.274216635,2.80E-31,2.95E-28,toll-like receptor 6
LOC105184022,-1.388130227,6.912563565,1.32E-30,1.28E-27,origin recognition complex subunit 1
LOC105187921,1.382625583,8.440710834,2.27E-30,2.06E-27,protein Tob1
LOC105189698,-1.490634451,6.969720872,1.20E-29,1.01E-26,putative leucine-rich repeat-containing protein DDB_G0290503
LOC105186942,1.413514934,7.336098461,1.52E-29,1.21E-26,proton channel OtopLc isoform X1
LOC105187049,1.71925106,5.882443007,2.75E-29,2.05E-26,mRNA decay activator protein ZFP36L2-like
LOC105185095,1.38000268,9.269845143,2.93E-29,2.06E-26,cAMP-dependent protein kinase catalytic subunit
LOC112589091,1.507910792,7.131600405,1.15E-28,7.68E-26,uncharacterized protein LOC112589091
